module;src_file;score;issue;opts;
python3.12;methodobject.c;0.5;"-march=x86-64 is used but it should be replaced by a more architecture specific option or -march=native.";"GNU GIMPLE 11.2.0 -mtune=generic -march=x86-64 -g -g -O3 -O3 -O3 -O3 -O3 -fno-openmp -fno-openacc -fcf-protection=none -fPIC -fno-semantic-interposition -fuse-linker-plugin -ffat-lto-objects -flto-partition=none -flinker-output=exec ";
python3.12;methodobject.c;;"-funroll-loops is missing. ";"";
python3.12;bltinmodule.c;0.5;"-march=x86-64 is used but it should be replaced by a more architecture specific option or -march=native.";"GNU GIMPLE 11.2.0 -mtune=generic -march=x86-64 -g -g -O3 -O3 -O3 -O3 -O3 -fno-openmp -fno-openacc -fcf-protection=none -fPIC -fno-semantic-interposition -fuse-linker-plugin -ffat-lto-objects -flto-partition=none -flinker-output=exec ";
python3.12;bltinmodule.c;;"-funroll-loops is missing. ";"";
python3.12;pycore_gc.h;0.5;"-march=x86-64 is used but it should be replaced by a more architecture specific option or -march=native.";"GNU GIMPLE 11.2.0 -mtune=generic -march=x86-64 -g -g -O3 -O3 -O3 -O3 -O3 -fno-openmp -fno-openacc -fcf-protection=none -fPIC -fno-semantic-interposition -fuse-linker-plugin -ffat-lto-objects -flto-partition=none -flinker-output=exec ";
python3.12;pycore_gc.h;;"-funroll-loops is missing. ";"";
python3.12;longintrepr.h;0.5;"-march=x86-64 is used but it should be replaced by a more architecture specific option or -march=native.";"GNU GIMPLE 11.2.0 -mtune=generic -march=x86-64 -g -g -O3 -O3 -O3 -O3 -O3 -fno-openmp -fno-openacc -fcf-protection=none -fPIC -fno-semantic-interposition -fuse-linker-plugin -ffat-lto-objects -flto-partition=none -flinker-output=exec ";
python3.12;longintrepr.h;;"-funroll-loops is missing. ";"";
python3.12;cellobject.c;0.5;"-march=x86-64 is used but it should be replaced by a more architecture specific option or -march=native.";"GNU GIMPLE 11.2.0 -mtune=generic -march=x86-64 -g -g -O3 -O3 -O3 -O3 -O3 -fno-openmp -fno-openacc -fcf-protection=none -fPIC -fno-semantic-interposition -fuse-linker-plugin -ffat-lto-objects -flto-partition=none -flinker-output=exec ";
python3.12;cellobject.c;;"-funroll-loops is missing. ";"";
python3.12;ceval.c;0.5;"-march=x86-64 is used but it should be replaced by a more architecture specific option or -march=native.";"GNU GIMPLE 11.2.0 -mtune=generic -march=x86-64 -g -g -O3 -O3 -O3 -O3 -O3 -fno-openmp -fno-openacc -fcf-protection=none -fPIC -fno-semantic-interposition -fuse-linker-plugin -ffat-lto-objects -flto-partition=none -flinker-output=exec ";
python3.12;ceval.c;;"-funroll-loops is missing. ";"";
python3.12;pycore_frame.h;0.5;"-march=x86-64 is used but it should be replaced by a more architecture specific option or -march=native.";"GNU GIMPLE 11.2.0 -mtune=generic -march=x86-64 -g -g -O3 -O3 -O3 -O3 -O3 -fno-openmp -fno-openacc -fcf-protection=none -fPIC -fno-semantic-interposition -fuse-linker-plugin -ffat-lto-objects -flto-partition=none -flinker-output=exec ";
python3.12;pycore_frame.h;;"-funroll-loops is missing. ";"";
python3.12;posixmodule.c.h;0.5;"-march=x86-64 is used but it should be replaced by a more architecture specific option or -march=native.";"GNU GIMPLE 11.2.0 -mtune=generic -march=x86-64 -g -g -O3 -O3 -O3 -O3 -O3 -fno-openmp -fno-openacc -fcf-protection=none -fPIC -fno-semantic-interposition -fuse-linker-plugin -ffat-lto-objects -flto-partition=none -flinker-output=exec ";
python3.12;posixmodule.c.h;;"-funroll-loops is missing. ";"";
python3.12;enumobject.c;0.5;"-march=x86-64 is used but it should be replaced by a more architecture specific option or -march=native.";"GNU GIMPLE 11.2.0 -mtune=generic -march=x86-64 -g -g -O3 -O3 -O3 -O3 -O3 -fno-openmp -fno-openacc -fcf-protection=none -fPIC -fno-semantic-interposition -fuse-linker-plugin -ffat-lto-objects -flto-partition=none -flinker-output=exec ";
python3.12;enumobject.c;;"-funroll-loops is missing. ";"";
python3.12;_abc.c;0.5;"-march=x86-64 is used but it should be replaced by a more architecture specific option or -march=native.";"GNU GIMPLE 11.2.0 -mtune=generic -march=x86-64 -g -g -O3 -O3 -O3 -O3 -O3 -fno-openmp -fno-openacc -fcf-protection=none -fPIC -fno-semantic-interposition -fuse-linker-plugin -ffat-lto-objects -flto-partition=none -flinker-output=exec ";
python3.12;_abc.c;;"-funroll-loops is missing. ";"";
python3.12;intrinsics.c;0.5;"-march=x86-64 is used but it should be replaced by a more architecture specific option or -march=native.";"GNU GIMPLE 11.2.0 -mtune=generic -march=x86-64 -g -g -O3 -O3 -O3 -O3 -O3 -fno-openmp -fno-openacc -fcf-protection=none -fPIC -fno-semantic-interposition -fuse-linker-plugin -ffat-lto-objects -flto-partition=none -flinker-output=exec ";
python3.12;intrinsics.c;;"-funroll-loops is missing. ";"";
python3.12;thread_pthread.h;0.5;"-march=x86-64 is used but it should be replaced by a more architecture specific option or -march=native.";"GNU GIMPLE 11.2.0 -mtune=generic -march=x86-64 -g -g -O3 -O3 -O3 -O3 -O3 -fno-openmp -fno-openacc -fcf-protection=none -fPIC -fno-semantic-interposition -fuse-linker-plugin -ffat-lto-objects -flto-partition=none -flinker-output=exec ";
python3.12;thread_pthread.h;;"-funroll-loops is missing. ";"";
python3.12;find.h;0.5;"-march=x86-64 is used but it should be replaced by a more architecture specific option or -march=native.";"GNU GIMPLE 11.2.0 -mtune=generic -march=x86-64 -g -g -O3 -O3 -O3 -O3 -O3 -fno-openmp -fno-openacc -fcf-protection=none -fPIC -fno-semantic-interposition -fuse-linker-plugin -ffat-lto-objects -flto-partition=none -flinker-output=exec ";
python3.12;find.h;;"-funroll-loops is missing. ";"";
python3.12;pegen.c;0.5;"-march=x86-64 is used but it should be replaced by a more architecture specific option or -march=native.";"GNU GIMPLE 11.2.0 -mtune=generic -march=x86-64 -g -g -O3 -O3 -O3 -O3 -O3 -fno-openmp -fno-openacc -fcf-protection=none -fPIC -fno-semantic-interposition -fuse-linker-plugin -ffat-lto-objects -flto-partition=none -flinker-output=exec ";
python3.12;pegen.c;;"-funroll-loops is missing. ";"";
python3.12;dictobject.c.h;0.5;"-march=x86-64 is used but it should be replaced by a more architecture specific option or -march=native.";"GNU GIMPLE 11.2.0 -mtune=generic -march=x86-64 -g -g -O3 -O3 -O3 -O3 -O3 -fno-openmp -fno-openacc -fcf-protection=none -fPIC -fno-semantic-interposition -fuse-linker-plugin -ffat-lto-objects -flto-partition=none -flinker-output=exec ";
python3.12;dictobject.c.h;;"-funroll-loops is missing. ";"";
python3.12;classobject.h;0.5;"-march=x86-64 is used but it should be replaced by a more architecture specific option or -march=native.";"GNU GIMPLE 11.2.0 -mtune=generic -march=x86-64 -g -g -O3 -O3 -O3 -O3 -O3 -fno-openmp -fno-openacc -fcf-protection=none -fPIC -fno-semantic-interposition -fuse-linker-plugin -ffat-lto-objects -flto-partition=none -flinker-output=exec ";
python3.12;classobject.h;;"-funroll-loops is missing. ";"";
python3.12;itertoolsmodule.c;0.5;"-march=x86-64 is used but it should be replaced by a more architecture specific option or -march=native.";"GNU GIMPLE 11.2.0 -mtune=generic -march=x86-64 -g -g -O3 -O3 -O3 -O3 -O3 -fno-openmp -fno-openacc -fcf-protection=none -fPIC -fno-semantic-interposition -fuse-linker-plugin -ffat-lto-objects -flto-partition=none -flinker-output=exec ";
python3.12;itertoolsmodule.c;;"-funroll-loops is missing. ";"";
python3.12;tupleobject.c;0.5;"-march=x86-64 is used but it should be replaced by a more architecture specific option or -march=native.";"GNU GIMPLE 11.2.0 -mtune=generic -march=x86-64 -g -g -O3 -O3 -O3 -O3 -O3 -fno-openmp -fno-openacc -fcf-protection=none -fPIC -fno-semantic-interposition -fuse-linker-plugin -ffat-lto-objects -flto-partition=none -flinker-output=exec ";
