block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;flops;
191787;libtensorflow_framework.so.2;;1.93;0.41;;;;;;;;
244355;libtensorflow_framework.so.2;;0.64;0.13;;;;;;;;
1139047;libtensorflow_framework.so.2;;0.55;0.11;;;;;;;;
165933;libtensorflow_framework.so.2;;0.52;0.11;;;;;;;;
353663;libtensorflow_framework.so.2;;0.5;0.1;;;;;;;;
162100;libtensorflow_framework.so.2;;0.45;0.09;;;;;;;;
1139048;libtensorflow_framework.so.2;;0.4;0.08;;;;;;;;
244520;libtensorflow_framework.so.2;;0.31;0.06;;;;;;;;
1139046;libtensorflow_framework.so.2;;0.29;0.06;;;;;;;;
245039;libtensorflow_framework.so.2;;0.29;0.06;;;;;;;;
1280808;libtensorflow_framework.so.2;;0.26;0.05;;;;;;;;
520;libtensorflow_framework.so.2;;0.24;0.05;;;;;;;;
353616;libtensorflow_framework.so.2;;0.19;0.04;;;;;;;;
244358;libtensorflow_framework.so.2;;0.19;0.04;;;;;;;;
245058;libtensorflow_framework.so.2;;0.17;0.04;;;;;;;;
1280954;libtensorflow_framework.so.2;;0.14;0.03;;;;;;;;
244760;libtensorflow_framework.so.2;;0.14;0.03;;;;;;;;
244475;libtensorflow_framework.so.2;;0.14;0.03;;;;;;;;
163762;libtensorflow_framework.so.2;;0.14;0.03;;;;;;;;
353725;libtensorflow_framework.so.2;;0.12;0.03;;;;;;;;
165918;libtensorflow_framework.so.2;;0.12;0.03;;;;;;;;
1280821;libtensorflow_framework.so.2;;0.1;0.02;;;;;;;;
353610;libtensorflow_framework.so.2;;0.1;0.02;;;;;;;;
191785;libtensorflow_framework.so.2;;0.1;0.02;;;;;;;;
165778;libtensorflow_framework.so.2;;0.1;0.02;;;;;;;;
163143;libtensorflow_framework.so.2;;0.1;0.02;;;;;;;;
105186;libtensorflow_framework.so.2;;0.1;0.02;;;;;;;;
513;libtensorflow_framework.so.2;;0.1;0.02;;;;;;;;
162271;libtensorflow_framework.so.2;;0.1;0.02;;;;;;;;
165954;libtensorflow_framework.so.2;;0.1;0.02;;;;;;;;
162328;libtensorflow_framework.so.2;;0.1;0.02;;;;;;;;
192129;libtensorflow_framework.so.2;;0.1;0.02;;;;;;;;
1235156;libtensorflow_framework.so.2;;0.07;0.02;;;;;;;;
1139554;libtensorflow_framework.so.2;;0.07;0.02;;;;;;;;
353619;libtensorflow_framework.so.2;;0.07;0.02;;;;;;;;
244047;libtensorflow_framework.so.2;;0.07;0.02;;;;;;;;
243835;libtensorflow_framework.so.2;;0.07;0.02;;;;;;;;
193361;libtensorflow_framework.so.2;;0.07;0.02;;;;;;;;
192107;libtensorflow_framework.so.2;;0.07;0.02;;;;;;;;
163724;libtensorflow_framework.so.2;;0.07;0.02;;;;;;;;
159180;libtensorflow_framework.so.2;;0.07;0.02;;;;;;;;
140631;libtensorflow_framework.so.2;;0.07;0.02;;;;;;;;
105095;libtensorflow_framework.so.2;;0.07;0.02;;;;;;;;
105086;libtensorflow_framework.so.2;;0.07;0.02;;;;;;;;
1424;libtensorflow_framework.so.2;;0.07;0.02;;;;;;;;
162306;libtensorflow_framework.so.2;;0.07;0.02;;;;;;;;
163767;libtensorflow_framework.so.2;;0.07;0.02;;;;;;;;
162487;libtensorflow_framework.so.2;;0.07;0.02;;;;;;;;
165930;libtensorflow_framework.so.2;;0.07;0.02;;;;;;;;
