group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
5;SSSSS;MOVUPS,MOVUPS,MOV,MOVUPS,MOVUPS,;0,16,64,32,48,;0x6754e,0x67572,0x6757f,0x6758e,0x675a2,;Not mono block loop;0;Success;72;72;0;72;0;1;
10;LLLLLLLLLL;MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,;24,24,24,24,1368,24,1368,1240,1168,32,;0x670b8,0x6714d,0x6717f,0x67363,0x6736b,0x6739e,0x673b0,0x673d0,0x673e0,0x673f4,;Not mono block loop;0;Success;72;36;36;1348;0;1;
1;L;MOV,;-8,;0x67760,;Not mono block loop;0;Success;8;8;0;8;0;1;
1;L;MOV,;80,;0x673fd,;Not mono block loop;0;Success;8;8;0;8;0;1;
5;LLLLL;MOV,MOV,MOV,MOV,MOV,;24,104,96,104,96,;0x672f6,0x67350,0x67354,0x6737b,0x6737f,;Not mono block loop;0;Success;40;24;16;88;0;1;
1;L;MOV,;24,;0x673f9,;Not mono block loop;0;Success;8;8;0;8;0;1;
6;LLLLLL;MOV,MOVSD,MOV,MOV,MOV,MOVUPD,;16,40,48,24,32,56,;0x6706f,0x67073,0x67078,0x67083,0x6708e,0x67091,;Not mono block loop;0;Success;52;52;0;56;0;1;
2;LL;MOVSD,ADDSD,;137611,137517,;0x6716d,0x671cb,;Not mono block loop;0;Success;16;16;0;102;0;1;
1;L;MOV,;0,;0x677e3,;Not mono block loop;0;Success;8;8;0;8;0;1;
7;LLSSSSS;MOV,MOV,MOVUPS,MOVUPS,MOVUPS,MOVUPS,MOV,;-72,-64,0,16,32,48,64,;0x67063,0x67067,0x674b1,0x674cd,0x674e0,0x674f3,0x674fe,;Not mono block loop;0;Success;88;88;0;144;0;1;
1;L;MOVZX,;0,;0x673e8,;Not mono block loop;0;Success;1;1;0;1;0;1;
