block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;flops;
76351;python3.9;ceval.c:1492-1495,object.h:408-408;1.26;0.96;;;;;;;;
20770;_tree.cpython-39-x86_64-linux-gnu.so;;1.21;0.93;;;;;;;;
20768;_tree.cpython-39-x86_64-linux-gnu.so;;1.05;0.8;;;;;;;;
76363;python3.9;ceval.c:2552-2553;0.99;0.76;;;;;;;;
76366;python3.9;ceval.c:2561-2566,object.h:408-408;0.9;0.69;;;;;;;;
20773;_tree.cpython-39-x86_64-linux-gnu.so;;0.86;0.66;;;;;;;;
76349;python3.9;ceval.c:1486-1487,object.h:408-408;0.73;0.56;;;;;;;;
80445;python3.9;object.c:1199-1200,object.h:408-408;0.69;0.53;;;;;;;;
76348;python3.9;ceval.c:1478-1479;0.67;0.51;;;;;;;;
20774;_tree.cpython-39-x86_64-linux-gnu.so;;0.66;0.5;;;;;;;;
80443;python3.9;typeobject.c:3255-3255;0.65;0.49;;;;;;;;
80092;python3.9;object.c:880-883;0.59;0.45;;;;;;;;
80467;python3.9;object.h:408-408,object.h:422-422;0.52;0.4;;;;;;;;
76362;python3.9;ceval.c:2552-2552;0.49;0.38;;;;;;;;
71490;python3.9;pycore_pystate.h:55-55,pycore_object.h:39-39,pycore_object.h:46-51;0.48;0.37;;;;;;;;
76345;python3.9;ceval.c:1442-1442;0.46;0.35;;;;;;;;
76445;python3.9;ceval.c:2995-2997;0.45;0.35;;;;;;;;
70534;python3.9;dictobject.c:897-900;0.37;0.28;;;;;;;;
70703;python3.9;object.c:2204-2209;0.37;0.28;;;;;;;;
20775;_tree.cpython-39-x86_64-linux-gnu.so;;0.33;0.26;;;;;;;;
72672;python3.9;obmalloc.c:1608-1612;0.33;0.25;;;;;;;;
79447;python3.9;dictobject.c:854-857;0.32;0.25;;;;;;;;
78405;python3.9;frameobject.c:574-578;0.31;0.24;;;;;;;;
76358;python3.9;ceval.c:2549-2549;0.31;0.24;;;;;;;;
76374;python3.9;abstract.h:114-114,string3.h:52-52;0.29;0.22;;;;;;;;
72361;python3.9;typeobject.c:1422-1426;0.26;0.2;;;;;;;;
69665;python3.9;obmalloc.c:1617-1621;0.24;0.19;;;;;;;;
76372;python3.9;abstract.h:73-74;0.24;0.18;;;;;;;;
81372;python3.9;object.c:1108-1108,object.h:408-408;0.24;0.18;;;;;;;;
76353;python3.9;ceval.c:1500-1501,object.h:496-496;0.23;0.18;;;;;;;;
69663;python3.9;obmalloc.c:1608-1612;0.22;0.17;;;;;;;;
