block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;flops;
191787;libtensorflow_framework.so.2;;0.9;0.21;0.44;0.44;0.44;0;0;1;;
75690;python3.9;object.c:880-883;0.86;0.2;0.42;0.42;0.42;0;0;1;;
76024;python3.9;typeobject.c:3255-3255;0.67;0.15;0.33;0.33;0.33;0;0;1;;
72064;python3.9;ceval.c:2560-2565,object.h:408-408;0.49;0.11;0.24;0.24;0.24;0;0;1;;
76026;python3.9;object.c:1199-1200,object.h:408-408;0.49;0.11;0.24;0.24;0.24;0;0;1;;
72049;python3.9;ceval.c:1491-1494,object.h:408-408;0.47;0.11;0.23;0.23;0.23;0;0;1;;
72043;python3.9;ceval.c:1441-1441;0.43;0.1;0.21;0.21;0.21;0;0;1;;
72061;python3.9;ceval.c:2551-2552;0.42;0.1;0.2;0.2;0.2;0;0;1;;
76505;python3.9;object.h:487-487,frameobject.c:894-895;0.41;0.09;0.2;0.2;0.2;0;0;1;;
244355;libtensorflow_framework.so.2;;0.39;0.09;0.19;0.19;0.19;0;0;1;;
76047;python3.9;object.h:408-408,object.h:422-422;0.39;0.09;0.19;0.19;0.19;0;0;1;;
72141;python3.9;ceval.c:2994-2996;0.37;0.08;0.18;0.18;0.18;0;0;1;;
76162;python3.9;descrobject.c:175-175;0.36;0.08;0.17;0.17;0.17;0;0;1;;
76459;python3.9;pycore_pystate.h:55-55,call.c:359-363;0.3;0.07;0.14;0.14;0.14;0;0;1;;
1139047;libtensorflow_framework.so.2;;0.3;0.07;0;0.01;0.07;13.081652641296;0.018520053476095;12;;
72060;python3.9;ceval.c:2551-2551;0.28;0.06;0.14;0.14;0.14;0;0;1;;
1280821;libtensorflow_framework.so.2;;0.28;0.06;0;0.03;0.09;6.8643670082092;0.0390245616436;4;;
74130;python3.9;frameobject.c:574-578;0.27;0.06;0.13;0.13;0.13;0;0;1;;
72047;python3.9;ceval.c:1485-1486,object.h:408-408;0.26;0.06;0.13;0.13;0.13;0;0;1;;
66470;python3.9;dictobject.c:897-900;0.26;0.06;0.13;0.13;0.13;0;0;1;;
76833;python3.9;object.c:1108-1108,object.h:408-408;0.25;0.06;0.12;0.12;0.12;0;0;1;;
1280808;libtensorflow_framework.so.2;;0.23;0.05;0;0.01;0.04;7.7955927848816;0.011316162534058;10;;
353663;libtensorflow_framework.so.2;;0.23;0.05;0.01;0.04;0.09;2.1772887706757;0.049328830093145;3;;
72046;python3.9;ceval.c:1477-1478;0.23;0.05;0.11;0.11;0.11;0;0;1;;
80123;python3.9;abstract.h:73-74;0.22;0.05;0.11;0.11;0.11;0;0;1;;
71756;python3.9;object.h:487-487,frameobject.c:894-895;0.22;0.05;0.11;0.11;0.11;0;0;1;;
69786;python3.9;dictobject.c:1444-1444;0.22;0.05;0.11;0.11;0.11;0;0;1;;
76020;python3.9;typeobject.c:3251-3251;0.21;0.05;0.1;0.1;0.1;0;0;1;;
245039;libtensorflow_framework.so.2;;0.21;0.05;0.11;0.11;0.11;0;0;1;;
76504;python3.9;object.h:133-133,frameobject.c:894-894;0.2;0.05;0.1;0.1;0.1;0;0;1;;
67762;python3.9;dictobject.c:1444-1444;0.2;0.05;0.1;0.1;0.1;0;0;1;;
1139046;libtensorflow_framework.so.2;;0.2;0.05;0;0.01;0.05;5.095555305481;0.014142135158181;10;;
68975;python3.9;gcmodule.c:313-314;0.2;0.05;0.1;0.1;0.1;0;0;1;;
69011;python3.9;gcmodule.c:108-108,gcmodule.c:413-413;0.19;0.04;0.1;0.1;0.1;0;0;1;;
165933;libtensorflow_framework.so.2;;0.18;0.04;0.09;0.09;0.09;0;0;1;;
76830;python3.9;typeobject.c:3255-3255;0.17;0.04;0.09;0.09;0.09;0;0;1;;
67773;python3.9;dictobject.c:897-900;0.17;0.04;0.09;0.09;0.09;0;0;1;;
1280965;libtensorflow_framework.so.2;;0.16;0.04;0;0.04;0.08;0.22137559950352;0.049497477710247;2;;
68670;python3.9;gcmodule.c:628-629;0.16;0.04;0.08;0.08;0.08;0;0;1;;
69317;python3.9;pycore_object.h:112-113;0.15;0.04;0.08;0.08;0.08;0;0;1;;
72056;python3.9;ceval.c:2548-2548;0.15;0.04;0.08;0.08;0.08;0;0;1;;
353616;libtensorflow_framework.so.2;;0.15;0.04;0.04;0.04;0.04;0.018248436972499;0.0035355330910534;2;;
74224;python3.9;typeobject.c:1431-1432;0.15;0.04;0.07;0.07;0.07;0;0;1;;
72032;python3.9;ceval.c:1300-1309,ceval.c:1327-1327;0.15;0.04;0.07;0.07;0.07;0;0;1;;
520;libtensorflow_framework.so.2;;0.15;0.04;0.07;0.07;0.07;0;0;1;;
76037;python3.9;dictobject.c:1476-1476;0.15;0.04;0.07;0.07;0.07;0;0;1;;
162100;libtensorflow_framework.so.2;;0.14;0.03;0.07;0.07;0.07;0;0;1;;
248071;libtensorflow_framework.so.2;;0.13;0.03;0.06;0.06;0.06;0;0;1;;
81382;python3.9;pycore_pystate.h:55-55,methodobject.c:524-524,methodobject.c:530-531;0.13;0.03;0.06;0.06;0.06;0;0;1;;
80127;python3.9;pycore_pystate.h:55-55,call.c:359-363;0.13;0.03;0.06;0.06;0.06;0;0;1;;
76822;python3.9;object.c:1097-1097;0.13;0.03;0.06;0.06;0.06;0;0;1;;
72051;python3.9;ceval.c:1499-1500,object.h:496-496;0.13;0.03;0.06;0.06;0.06;0;0;1;;
69785;python3.9;object.h:628-628,typeobject.c:3226-3226,dictobject.c:1439-1439;0.13;0.03;0.06;0.06;0.06;0;0;1;;
71129;python3.9;tupleobject.c:367-367,object.c:767-768;0.13;0.03;0.06;0.06;0.06;0;0;1;;
244520;libtensorflow_framework.so.2;;0.13;0.03;0.07;0.07;0.07;0;0;1;;
1139048;libtensorflow_framework.so.2;;0.13;0.03;0;0.01;0.04;18.367456436157;0.014288689009845;6;;
80124;python3.9;abstract.h:74-74,abstract.h:114-114;0.12;0.03;0.06;0.06;0.06;0;0;1;;
72072;python3.9;abstract.h:81-81,abstract.h:114-114;0.12;0.03;0.06;0.06;0.06;0;0;1;;
72107;python3.9;ceval.c:3432-3436;0.12;0.03;0.06;0.06;0.06;0;0;1;;
75106;python3.9;dictobject.c:854-857;0.12;0.03;0.06;0.06;0.06;0;0;1;;
74140;python3.9;object.h:422-422,frameobject.c:585-585;0.12;0.03;0.06;0.06;0.06;0;0;1;;
76025;python3.9;object.c:1196-1197,typeobject.c:3260-3260;0.11;0.03;0.05;0.05;0.05;0;0;1;;
99081;libtensorflow_framework.so.2;;0.11;0.03;0.05;0.05;0.05;0;0;1;;
66478;python3.9;dictobject.c:350-350,dictobject.c:893-893;0.11;0.03;0.05;0.05;0.05;0;0;1;;
76820;python3.9;object.c:1086-1087,object.c:1096-1096;0.1;0.02;0.05;0.05;0.05;0;0;1;;
72063;python3.9;ceval.c:2557-2557;0.1;0.02;0.05;0.05;0.05;0;0;1;;
113806;python3.9;typeobject.c:1482-1482;0.1;0.02;0.05;0.05;0.05;0;0;1;;
244358;libtensorflow_framework.so.2;;0.09;0.02;0.04;0.04;0.04;0;0;1;;
67596;python3.9;typeobject.c:1043-1048;0.09;0.02;0.04;0.04;0.04;0;0;1;;
162306;libtensorflow_framework.so.2;;0.09;0.02;0.04;0.04;0.04;0;0;1;;
244715;libtensorflow_framework.so.2;;0.08;0.02;0;0.02;0.04;2.6115896701813;0.021213203668594;2;;
76498;python3.9;call.c:311-311,frameobject.c:833-833;0.08;0.02;0.04;0.04;0.04;0;0;1;;
76155;python3.9;descrobject.c:167-167;0.08;0.02;0.04;0.04;0.04;0;0;1;;
76023;python3.9;typeobject.c:3254-3255;0.08;0.02;0.04;0.04;0.04;0;0;1;;
75401;python3.9;unicodeobject.c:2305-2305,typeobject.c:1460-1463;0.08;0.02;0.04;0.04;0.04;0;0;1;;
71755;python3.9;object.h:133-133,frameobject.c:894-894;0.08;0.02;0.04;0.04;0.04;0;0;1;;
69593;python3.9;typeobject.c:3255-3255;0.08;0.02;0.04;0.04;0.04;0;0;1;;
68078;python3.9;gcmodule.c:2241-2241,listobject.c:332-332;0.08;0.02;0.04;0.04;0.04;0;0;1;;
66267;python3.9;dictobject.c:854-857;0.08;0.02;0.04;0.04;0.04;0;0;1;;
165864;libtensorflow_framework.so.2;;0.08;0.02;0.04;0.04;0.04;0;0;1;;
163129;libtensorflow_framework.so.2;;0.07;0.02;0.04;0.04;0.04;0;0;1;;
81948;python3.9;object.h:408-408,listobject.c:3187-3188,listobject.c:3196-3196;0.07;0.02;0.03;0.03;0.03;0;0;1;;
79625;python3.9;codeobject.c:993-993,frameobject.c:42-42,bytesobject.c:1199-1199;0.07;0.02;0.03;0.03;0.03;0;0;1;;
76159;python3.9;structmember.c:71-72;0.07;0.02;0.03;0.03;0.03;0;0;1;;
75691;python3.9;object.c:889-889;0.07;0.02;0.03;0.03;0.03;0;0;1;;
75630;python3.9;tupleobject.c:229-231,gcmodule.c:2241-2241;0.07;0.02;0.03;0.03;0.03;0;0;1;;
74145;python3.9;object.h:422-422;0.07;0.02;0.03;0.03;0.03;0;0;1;;
72122;python3.9;abstract.h:81-81,abstract.h:114-114;0.07;0.02;0.03;0.03;0.03;0;0;1;;
73248;python3.9;ceval.c:2627-2628,object.h:408-408;0.07;0.02;0.03;0.03;0.03;0;0;1;;
72059;python3.9;ceval.c:2569-2569,dictobject.c:1521-1521;0.07;0.02;0.03;0.03;0.03;0;0;1;;
162487;libtensorflow_framework.so.2;;0.07;0.02;0.04;0.04;0.04;0;0;1;;
73774;python3.9;tupleobject.c:131-131,object.h:133-133,object.h:408-408,object.h:628-628,funcobject.c:41-54;0.07;0.02;0.03;0.03;0.03;0;0;1;;
75643;python3.9;object.h:422-422;0.07;0.02;0.03;0.03;0.03;0;0;1;;
1280088;libtensorflow_framework.so.2;;0.06;0.01;0;0.01;0.01;6.0855731964111;0.00499999942258;4;;
245058;libtensorflow_framework.so.2;;0.06;0.01;0.03;0.03;0.03;0;0;1;;
244760;libtensorflow_framework.so.2;;0.06;0.01;0.03;0.03;0.03;0;0;1;;
162054;libtensorflow_framework.so.2;;0.06;0.01;0;0.02;0.03;0.061391852796078;0.014142136089504;2;;
80655;python3.9;pycore_pystate.h:55-55,call.c:359-363;0.06;0.01;0.03;0.03;0.03;0;0;1;;
75632;python3.9;tupleobject.c:233-233,pycore_object.h:74-79;0.06;0.01;0.03;0.03;0.03;0;0;1;;
72070;python3.9;abstract.h:73-74;0.06;0.01;0.03;0.03;0.03;0;0;1;;
72091;python3.9;ceval.c:3149-3151;0.06;0.01;0.03;0.03;0.03;0;0;1;;
72098;python3.9;ceval.c:2055-2055,ceval.c:3825-3825;0.06;0.01;0.03;0.03;0.03;0;0;1;;
67760;python3.9;object.h:628-628,dictobject.c:1439-1439,dictobject.c:1489-1489;0.06;0.01;0.03;0.03;0.03;0;0;1;;
76028;python3.9;object.h:408-408,object.h:628-628,dictobject.c:1463-1463;0.06;0.01;0.03;0.03;0.03;0;0;1;;
69152;python3.9;pycore_object.h:112-113;0.06;0.01;0.03;0.03;0.03;0;0;1;;
69015;python3.9;gcmodule.c:93-93,gcmodule.c:565-565;0.06;0.01;0.03;0.03;0.03;0;0;1;;
