address;source_location;insn;indent
0x63ed6b2;:0;CMPB	$0,0x13c14af(%RIP);
0x63ed6b9;:0;JNE	63ed9d3 <_ZN10tensorflow4data5model5Model7AddNodeESt8functionIFSt10shared_ptrINS1_4NodeEENS5_4ArgsEEERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEES6_PS6_+0x6e3>;
0x63ed6bf;:0;MOV	-0x270(%RBP),%RAX;
0x63ed6c6;:0;MOV	(%RAX),%RBX;
0x63ed6c9;:0;VMOVAPS	-0x260(%RBP),%XMM0;
0x63ed6d1;:0;VMOVAPS	%XMM0,-0x270(%RBP);
0x63ed6d9;:0;MOV	-0x258(%RBP),%R15;
0x63ed6e0;:0;TEST	%R15,%R15;
0x63ed6e3;:0;JE	63ed7af <_ZN10tensorflow4data5model5Model7AddNodeESt8functionIFSt10shared_ptrINS1_4NodeEENS5_4ArgsEEERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEES6_PS6_+0x4bf>;
0x63ed6e9;:0;CMPQ	$0,0x132266f(%RIP);
0x63ed6f1;:0;JE	63ed7ab <_ZN10tensorflow4data5model5Model7AddNodeESt8functionIFSt10shared_ptrINS1_4NodeEENS5_4ArgsEEERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEES6_PS6_+0x4bb>;
0x63ed6f7;:0;LOCK INCL	0x8(%R15);
0x63ed6fc;:0;JMP	63ed7af <_ZN10tensorflow4data5model5Model7AddNodeESt8functionIFSt10shared_ptrINS1_4NodeEENS5_4ArgsEEERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEES6_PS6_+0x4bf>;
0x63ed7ab;:0;INCL	0x8(%R15);
0x63ed7af;:0;LEA	0x8(%RBX),%R12;
0x63ed7b3;:0;MOV	%R12,%RDI;
0x63ed7b6;:0;CALL	7632630 <_ZN3tsl5mutex4lockEv@plt>;
0x63ed7bb;:0;MOV	$0x20,%EDI;
0x63ed7c0;:0;CALL	76325c0 <_Znwm@plt>;
0x63ed7c5;:0;VMOVAPS	-0x270(%RBP),%XMM0;
0x63ed7cd;:0;VMOVUPS	%XMM0,0x10(%RAX);
0x63ed7d2;:0;TEST	%R15,%R15;
0x63ed7d5;:0;JE	63ed7e8 <_ZN10tensorflow4data5model5Model7AddNodeESt8functionIFSt10shared_ptrINS1_4NodeEENS5_4ArgsEEERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEES6_PS6_+0x4f8>;
0x63ed7d7;:0;CMPQ	$0,0x1322581(%RIP);
0x63ed7df;:0;JE	63ed80b <_ZN10tensorflow4data5model5Model7AddNodeESt8functionIFSt10shared_ptrINS1_4NodeEENS5_4ArgsEEERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEES6_PS6_+0x51b>;
0x63ed7e1;:0;LOCK INCL	0x8(%R15);
0x63ed7e6;:0;JMP	63ed80f <_ZN10tensorflow4data5model5Model7AddNodeESt8functionIFSt10shared_ptrINS1_4NodeEENS5_4ArgsEEERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEES6_PS6_+0x51f>;
0x63ed7e8;:0;LEA	0x108(%RBX),%RSI;
0x63ed7ef;:0;MOV	%RAX,%RDI;
0x63ed7f2;:0;CALL	7637820 <_ZNSt8__detail15_List_node_base7_M_hookEPS0_@plt>;
0x63ed7f7;:0;INCQ	0x118(%RBX);
0x63ed7fe;:0;MOV	%R12,%RDI;
0x63ed801;:0;CALL	76326d0 <_ZN3tsl5mutex6unlockEv@plt>;
0x63ed806;:0;JMP	63ed897 <_ZN10tensorflow4data5model5Model7AddNodeESt8functionIFSt10shared_ptrINS1_4NodeEENS5_4ArgsEEERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEES6_PS6_+0x5a7>;
0x63ed80b;:0;INCL	0x8(%R15);
0x63ed80f;:0;LEA	0x108(%RBX),%RSI;
0x63ed816;:0;MOV	%RAX,%RDI;
0x63ed819;:0;CALL	7637820 <_ZNSt8__detail15_List_node_base7_M_hookEPS0_@plt>;
0x63ed81e;:0;INCQ	0x118(%RBX);
0x63ed825;:0;MOV	%R12,%RDI;
0x63ed828;:0;CALL	76326d0 <_ZN3tsl5mutex6unlockEv@plt>;
0x63ed82d;:0;CMPQ	$0,0x132252b(%RIP);
0x63ed835;:0;JE	63ed849 <_ZN10tensorflow4data5model5Model7AddNodeESt8functionIFSt10shared_ptrINS1_4NodeEENS5_4ArgsEEERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEES6_PS6_+0x559>;
0x63ed837;:0;MOV	$-0x1,%EAX;
0x63ed83c;:0;LOCK XADD	%EAX,0x8(%R15);
0x63ed842;:0;CMP	$0x1,%EAX;
0x63ed845;:0;JE	63ed859 <_ZN10tensorflow4data5model5Model7AddNodeESt8functionIFSt10shared_ptrINS1_4NodeEENS5_4ArgsEEERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEES6_PS6_+0x569>;
0x63ed847;:0;JMP	63ed897 <_ZN10tensorflow4data5model5Model7AddNodeESt8functionIFSt10shared_ptrINS1_4NodeEENS5_4ArgsEEERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEES6_PS6_+0x5a7>;
0x63ed849;:0;MOV	0x8(%R15),%EAX;
0x63ed84d;:0;LEA	-0x1(%RAX),%ECX;
