loop_id;module;function_name;function_id;source_info;level;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;flops;
38032;libtensorflow_framework.so.2;Eigen::ThreadPoolTempl<tsl::thread::EigenEnvironment>::WorkerLoop(int);50190;;Innermost;0.92;0.19;0;0.02;0.26;9.4047632217407;0.060943860560656;17;;
674;libpython3.12.so.1.0;_PyCode_CheckLineNumber;766;codeobject.c:456-459,codeobject.c:472-472,codeobject.c:482-485,codeobject.c:494-494,codeobject.c:857-857,codeobject.c:873-873,codeobject.c:887-887,codeobject.c:961-963,codeobject.c:968-969,codeobject.c:1071-1071;Outermost;0.65;0.14;0.28;0.28;0.28;0;0;1;;
675;libpython3.12.so.1.0;_PyCode_CheckLineNumber;766;codeobject.c:971-972;Innermost;0.41;0.09;0.18;0.18;0.18;0;0;1;;
6783;libtensorflow_framework.so.2;tensorflow::SimplePropagatorState::PropagateOutputs(tensorflow::SimplePropagatorState::TaggedNode const&, absl::lts_20230802::InlinedVector<tensorflow::Entry, 4ul, std::allocator<tensorflow::Entry> >*, absl::lts_20230802::InlinedVector<tensorflow::SimplePropagatorState::TaggedNode, 8ul, std::allocator<tensorflow::SimplePropagatorState::TaggedNode> >*);5346;;Single;0.37;0.08;0;0.08;0.16;0.043391991406679;0.10606601834297;2;;
0;libpython3.12.so.1.0;unicodekeys_lookup_unicode;19;dictobject.c:346-346,dictobject.c:933-962,unicodeobject.h:219-219,unicodeobject.h:248-248,unicodeobject.h:256-262,unicodeobject.h:280-280,eq.h:9-16;Single;0.3;0.06;0.13;0.13;0.13;0;0;1;;
3252;libpython3.12.so.1.0;_PyFrame_ClearExceptCode;3423;object.h:243-243,object.h:701-706,object.h:798-798,frame.c:139-140;Single;0.29;0.06;0.13;0.13;0.13;0;0;1;;
6665;libtensorflow_framework.so.2;tensorflow::(anonymous namespace)::ExecutorState<tensorflow::SimplePropagatorState>::Process(tensorflow::SimplePropagatorState::TaggedNode const&, long);5244;;Outermost;0.27;0.06;0;0.04;0.11;4.4911875724792;0.060621775686741;3;;
6662;libtensorflow_framework.so.2;tensorflow::(anonymous namespace)::ExecutorState<tensorflow::SimplePropagatorState>::Process(tensorflow::SimplePropagatorState::TaggedNode const&, long);5244;;InBetween;0.25;0.05;0;0.02;0.08;4.1193609237671;0.032659862190485;6;;
6660;libtensorflow_framework.so.2;tensorflow::(anonymous namespace)::ExecutorState<tensorflow::SimplePropagatorState>::ScheduleReady(absl::lts_20230802::InlinedVector<tensorflow::SimplePropagatorState::TaggedNode, 8ul, std::allocator<tensorflow::SimplePropagatorState::TaggedNode> >*, tensorflow::SimplePropagatorState::TaggedNodeReadyQueue*);5243;;Single;0.25;0.05;0.11;0.11;0.11;0;0;1;;
1;libpython3.12.so.1.0;unicodekeys_lookup_unicode;19;dictobject.c:348-360,dictobject.c:933-962,unicodeobject.h:250-250,unicodeobject.h:256-262,unicodeobject.h:280-280,eq.h:9-16;Single;0.24;0.05;0.1;0.1;0.1;0;0;1;;
3964;libpython3.12.so.1.0;gc_collect_main;4431;gcmodule.c:107-107,gcmodule.c:289-292,gcmodule.c:424-424,gcmodule.c:430-431,pycore_pystate.h:118-118,pycore_gc.h:59-68,pycore_gc.h:74-74,object.h:243-243;Innermost;0.21;0.04;0.09;0.09;0.09;0;0;1;;
1388;libpython3.12.so.1.0;tupledealloc;2130;tupleobject.c:205-206,object.h:243-243,object.h:701-706,object.h:798-798;Single;0.19;0.04;0.08;0.08;0.08;0;0;1;;
3960;libpython3.12.so.1.0;gc_collect_main;4431;gcmodule.c:322-323,pycore_gc.h:60-60;Innermost;0.17;0.04;0.07;0.07;0.07;0;0;1;;
9850;libtensorflow_framework.so.2;tensorflow::OpKernelContext::set_output(int, tensorflow::Tensor const&);8282;;Single;0.16;0.03;0;0.04;0.06;0.25922083854675;0.042426407337189;2;;
1146;libpython3.12.so.1.0;_Py_dict_lookup;1564;dictobject.c:881-883,dictobject.c:972-974,dictobject.c:1059-1063,dictobject.c:1078-1078,pycore_dict.h:134-135;Outermost;0.15;0.03;0.06;0.06;0.06;0;0;1;;
9847;libtensorflow_framework.so.2;tensorflow::OpKernelContext::forward_input_or_allocate_output(absl::lts_20230802::Span<int const>, int, tensorflow::TensorShape const&, tensorflow::Tensor**, int*);8256;;Single;0.15;0.03;0.06;0.06;0.06;0;0;1;;
6692;libtensorflow_framework.so.2;tensorflow::(anonymous namespace)::ExecutorState<tensorflow::SimplePropagatorState>::ProcessOutputs(tensorflow::NodeItem const&, tensorflow::OpKernelContext*, tensorflow::Entry*, tensorflow::NodeExecStatsInterface*);5272;;Single;0.14;0.03;0.06;0.06;0.06;0;0;1;;
3962;libpython3.12.so.1.0;gc_collect_main;4431;gcmodule.c:648-652,pycore_gc.h:60-60;Innermost;0.11;0.02;0.05;0.05;0.05;0;0;1;;
1145;libpython3.12.so.1.0;_Py_dict_lookup;1564;dictobject.c:344-360,dictobject.c:978-993,dictobject.c:1003-1007,object.h:243-243,object.h:644-647,object.h:701-706;Innermost;0.1;0.02;0.04;0.04;0.04;0;0;1;;
6666;libtensorflow_framework.so.2;tensorflow::(anonymous namespace)::ExecutorState<tensorflow::SimplePropagatorState>::Process(tensorflow::SimplePropagatorState::TaggedNode const&, long);5244;;Innermost;0.09;0.02;0.04;0.04;0.04;0;0;1;;
3961;libpython3.12.so.1.0;gc_collect_main;4431;gcmodule.c:663-667,pycore_gc.h:60-60;Innermost;0.08;0.02;0.04;0.04;0.04;0;0;1;;
38031;libtensorflow_framework.so.2;Eigen::ThreadPoolTempl<tsl::thread::EigenEnvironment>::WorkerLoop(int);50190;;Outermost;0.08;0.02;0;0.02;0.03;6.9701962471008;0.017677668482065;2;;
4211;libtensorflow_framework.so.2;std::vector<tensorflow::DtypeAndPartialTensorShape, std::allocator<tensorflow::DtypeAndPartialTensorShape> >::operator=(std::vector<tensorflow::DtypeAndPartialTensorShape, std::allocator<tensorflow::DtypeAndPartialTensorShape> > const&);3507;;Single;0.08;0.02;0.03;0.03;0.03;0;0;1;;
7935;libtensorflow_framework.so.2;tensorflow::MklCPUAllocator::DeallocateRaw(void*);6338;;Single;0.08;0.02;0.03;0.03;0.03;0;0;1;;
1451;libpython3.12.so.1.0;subtype_dealloc;2290;typeobject.c:1949-1950;Single;0.07;0.01;0.03;0.03;0.03;0;0;1;;
6782;libtensorflow_framework.so.2;tensorflow::SimplePropagatorState::PropagateOutputs(tensorflow::SimplePropagatorState::TaggedNode const&, absl::lts_20230802::InlinedVector<tensorflow::Entry, 4ul, std::allocator<tensorflow::Entry> >*, absl::lts_20230802::InlinedVector<tensorflow::SimplePropagatorState::TaggedNode, 8ul, std::allocator<tensorflow::SimplePropagatorState::TaggedNode> >*);5346;;Single;0.07;0.01;0;0.01;0.02;4.0753931999207;0.014142134226859;2;;
3963;libpython3.12.so.1.0;gc_collect_main;4431;gcmodule.c:86-86,gcmodule.c:92-92,gcmodule.c:586-587,gcmodule.c:596-602,gcmodule.c:609-609,gcmodule.c:636-636,pycore_gc.h:74-74;Innermost;0.06;0.01;0.02;0.02;0.02;0;0;1;;
2877;libpython3.12.so.1.0;initialize_locals;3109;ceval.c:1373-1376,ceval.c:1379-1379,ceval.c:1388-1391,ceval.c:1400-1400,ceval.c:1409-1409,ceval.c:1425-1425,ceval.c:1428-1428,ceval.c:1439-1439,ceval.c:1445-1445,ceval.c:1511-1511,ceval.c:1528-1528,object.h:243-243,object.h:967-967;Outermost;0.06;0.01;0.02;0.02;0.02;0;0;1;;
9157;libtensorflow_framework.so.2;tensorflow::KernelAttrsMatch(tensorflow::KernelDef const&, tensorflow::AttrSlice, bool*);7489;;Single;0.06;0.01;0.02;0.02;0.02;0;0;1;;
2914;libpython3.12.so.1.0;_PyEval_EvalFrameDefault;3121;bytecodes.c:1478-1480,object.h:644-647;Single;0.05;0.01;0.02;0.02;0.02;0;0;1;;
3955;libpython3.12.so.1.0;gc_collect_main;4431;gcmodule.c:86-86,gcmodule.c:289-292,gcmodule.c:677-677,gcmodule.c:694-701,pycore_gc.h:63-68,pycore_gc.h:74-74;Innermost;0.05;0.01;0.02;0.02;0.02;0;0;1;;
2879;libpython3.12.so.1.0;initialize_locals;3109;ceval.c:1389-1391;Innermost;0.05;0.01;0.02;0.02;0.02;0;0;1;;
6664;libtensorflow_framework.so.2;tensorflow::(anonymous namespace)::ExecutorState<tensorflow::SimplePropagatorState>::Process(tensorflow::SimplePropagatorState::TaggedNode const&, long);5244;;Innermost;0.05;0.01;0.02;0.02;0.02;0;0;1;;
2870;libpython3.12.so.1.0;initialize_locals;3109;ceval.c:1489-1503,pycore_pyerrors.h:23-23,object.h:644-647;Single;0.05;0.01;0.02;0.02;0.02;0;0;1;;
1310;libpython3.12.so.1.0;set_lookkey;2014;setobject.c:70-94,object.h:243-243,object.h:644-647,object.h:701-706;Innermost;0.05;0.01;0.02;0.02;0.02;0;0;1;;
1190;libpython3.12.so.1.0;_PyDict_FromItems;1632;dictobject.c:1624-1629,object.h:220-220;Single;0.05;0.01;0.02;0.02;0.02;0;0;1;;
1119;libpython3.12.so.1.0;free_keys_object;1543;dictobject.c:671-673,object.h:243-243,object.h:701-706,object.h:798-798;Single;0.05;0.01;0.02;0.02;0.02;0;0;1;;
16211;libtensorflow_framework.so.2;tsl::histogram::ThreadSafeHistogram::Add(double);12763;;Single;0.05;0.01;0.01;0.01;0.01;0.92192536592484;9.3132257461548e-10;2;;
5421;libtensorflow_framework.so.2;tensorflow::ProcessFunctionLibraryRuntime::RunMultiDeviceAsync(tensorflow::FunctionLibraryRuntime::Options const&, unsigned long, std::vector<std::variant<tensorflow::Tensor, tensorflow::TensorShape>, std::allocator<std::variant<tensorflow::Tensor, tensorflow::TensorShape> > >*, std::vector<std::unique_ptr<tensorflow::ProcessFunctionLibraryRuntime::CleanUpItem, std::default_delete<tensorflow::ProcessFunctionLibraryRuntime::CleanUpItem> >, std::allocator<std::unique_ptr<tensorflow::ProcessFunctionLibraryRuntime::CleanUpItem, std::default_delete<tensorflow::ProcessFunctionLibraryRuntime::CleanUpItem> > > >*, std::function<void (absl::lts_20230802::Status const&)>, std::function<absl::lts_20230802::Status (tensorflow::ProcessFunctionLibraryRuntime::ComponentFunctionData const&, tensorflow::ProcessFunctionLibraryRuntime::InternalArgs*)>) const;4491;;Outermost;0.05;0.01;0.02;0.02;0.02;0;0;1;;
3600;libpython3.12.so.1.0;_PyCode_Quicken;4088;specialize.c:275-300;Single;0.05;0.01;0.02;0.02;0.02;0;0;1;;
2891;libpython3.12.so.1.0;_PyEval_EvalFrameDefault;3121;ceval.c:624-624,ceval.c:918-919,ceval.c:930-931,ceval.c:946-946,ceval.c:952-952,ceval.c:992-995,ceval.c:1004-1004,ceval.c:1247-1247,ceval.c:1269-1269,ceval.c:1283-1283,ceval.c:1286-1286,ceval.c:2011-2015,ceval.c:2019-2019,ceval.c:2027-2027,ceval.c:2047-2047,ceval.c:2078-2078,bytecodes.c:607-607,pycore_code.h:344-345,pycore_pyerrors.h:23-23,pycore_frame.h:79-79,pycore_frame.h:153-154,pycore_frame.h:161-161,pycore_frame.h:175-176,pycore_frame.h:207-208,pycore_frame.h:211-211,object.h:243-243;Outermost;0.05;0.01;0.02;0.02;0.02;0;0;1;;
1379;libpython3.12.so.1.0;tuplehash;2119;tupleobject.c:325-332;Single;0.05;0.01;0.02;0.02;0.02;0;0;1;;
845;libpython3.12.so.1.0;list_dealloc;1370;object.h:243-243,object.h:701-706,object.h:798-798,listobject.c:355-358;Single;0.05;0.01;0.02;0.02;0.02;0;0;1;;
2915;libpython3.12.so.1.0;_PyEval_EvalFrameDefault;3121;bytecodes.c:2735-2736,object.h:243-243;Single;0.03;0.01;0.01;0.01;0.01;0;0;1;;
3959;libpython3.12.so.1.0;gc_collect_main;4431;gcmodule.c:92-92,gcmodule.c:586-587,gcmodule.c:621-621,gcmodule.c:631-636,pycore_gc.h:68-68,pycore_gc.h:74-74;Innermost;0.03;0.01;0.01;0.01;0.01;0;0;1;;
3949;libpython3.12.so.1.0;gc_collect_main;4431;gcmodule.c:243-243,gcmodule.c:289-292,gcmodule.c:986-994,pycore_gc.h:59-68,pycore_gc.h:74-81,object.h:243-243,object.h:644-647,object.h:701-706;Innermost;0.03;0.01;0.01;0.01;0.01;0;0;1;;
2346;libpython3.12.so.1.0;PyUnicode_FromFormatV;2684;unicodeobject.c:2473-2480;Innermost;0.03;0.01;0.01;0.01;0.01;0;0;1;;
2343;libpython3.12.so.1.0;PyUnicode_FromFormatV;2684;object.h:243-243,object.h:701-701,object.h:705-706,unicodeobject.c:2348-2349,unicodeobject.c:2352-2353,unicodeobject.c:2357-2358,unicodeobject.c:2375-2376,unicodeobject.c:2379-2380,unicodeobject.c:2384-2385,unicodeobject.c:2388-2388,unicodeobject.c:2438-2451,unicodeobject.c:2460-2474,unicodeobject.c:2485-2489,unicodeobject.c:2492-2493,unicodeobject.c:2496-2511,unicodeobject.c:2515-2515,unicodeobject.c:2519-2519,unicodeobject.c:2522-2522,unicodeobject.c:2526-2526,unicodeobject.c:2529-2529,unicodeobject.c:2633-2633,unicodeobject.c:2637-2644,unicodeobject.c:2647-2647,unicodeobject.c:2654-2655,unicodeobject.c:2661-2661,unicodeobject.c:2696-2696,unicodeobject.c:2761-2762;InBetween;0.03;0.01;0.01;0.01;0.01;0;0;1;;
2893;libpython3.12.so.1.0;_PyEval_EvalFrameDefault;3121;bytesobject.h:37-37,ceval.c:930-930,ceval.c:938-938,ceval.c:957-958,ceval.c:962-965,ceval.c:968-968,ceval.c:975-978,ceval.c:982-982,ceval.c:1260-1260,ceval.c:1266-1266,ceval.c:1289-1289,ceval.c:1293-1293,ceval.c:1297-1298,ceval.c:2027-2027,ceval.c:2090-2090,ceval.c:2093-2093,pycore_code.h:344-345,pycore_code.h:350-350,pycore_frame.h:79-79,object.h:234-234;InBetween;0.03;0.01;0.01;0.01;0.01;0;0;1;;
1311;libpython3.12.so.1.0;set_lookkey;2014;setobject.c:60-62;Outermost;0.03;0.01;0.01;0.01;0.01;0;0;1;;
1442;libpython3.12.so.1.0;PyType_IsSubtype;2270;typeobject.c:2130-2131;Single;0.03;0.01;0.01;0.01;0.01;0;0;1;;
1098;libpython3.12.so.1.0;build_indices_unicode;1520;dictobject.c:284-284,dictobject.c:341-341,dictobject.c:378-378,dictobject.c:383-383,dictobject.c:386-388,dictobject.c:394-394,dictobject.c:1397-1397,dictobject.c:1400-1401;Outermost;0.03;0.01;0.01;0.01;0.01;0;0;1;;
5444;libtensorflow_framework.so.2;tensorflow::ProcessFunctionLibraryRuntime::GetComponentArgs(absl::lts_20230802::Span<tensorflow::Tensor const>, tensorflow::ProcessFunctionLibraryRuntime::ComponentFunctionData const&, tensorflow::ProcessFunctionLibraryRuntime::InternalArgs*);4504;;Single;0.03;0.01;0.01;0.01;0.01;0;0;1;;
