block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;flops;
64249;python3.7;ceval.c:1318-1321;0.75;0.16;;;;;;;;
205;python3.7;dictobject.c:851-854;0.73;0.16;;;;;;;;
33361;python3.7;typeobject.c:3143-3143;0.59;0.12;;;;;;;;
195;python3.7;dictobject.c:738-738,dictobject.c:828-828,dictobject.c:834-835;0.56;0.12;;;;;;;;
63679;python3.7;ceval.c:2352-2354;0.52;0.11;;;;;;;;
23909;python3.7;object.c:903-906;0.49;0.1;;;;;;;;
23492;python3.7;object.c:1273-1274;0.4;0.09;;;;;;;;
19505;python3.7;dictobject.c:1414-1415;0.4;0.09;;;;;;;;
63547;python3.7;ceval.c:2814-2816;0.38;0.08;;;;;;;;
63817;python3.7;ceval.c:1311-1313;0.35;0.08;;;;;;;;
31703;python3.7;typeobject.c:1435-1436;0.35;0.08;;;;;;;;
63810;python3.7;ceval.c:1326-1327;0.35;0.07;;;;;;;;
23469;python3.7;object.c:1235-1237;0.35;0.07;;;;;;;;
63815;python3.7;ceval.c:1304-1305;0.33;0.07;;;;;;;;
298;python3.7;dictobject.c:808-811;0.33;0.07;;;;;;;;
65341;python3.7;ceval.c:2369-2369;0.33;0.07;;;;;;;;
31705;python3.7;typeobject.c:1441-1442;0.31;0.06;;;;;;;;
6235;python3.7;call.c:879-879,call.c:885-886;0.26;0.05;;;;;;;;
64162;python3.7;ceval.c:1871-1872,ceval.c:3659-3659;0.24;0.05;;;;;;;;
63923;python3.7;ceval.c:3310-3314;0.24;0.05;;;;;;;;
33348;python3.7;typeobject.c:3139-3139;0.24;0.05;;;;;;;;
25154;python3.7;obmalloc.c:1420-1423;0.21;0.04;;;;;;;;
24041;python3.7;object.c:1139-1139;0.21;0.04;;;;;;;;
6074;python3.7;call.c:492-498,call.c:508-508;0.21;0.04;;;;;;;;
25152;python3.7;obmalloc.c:1386-1386,obmalloc.c:1413-1415;0.19;0.04;;;;;;;;
6823;python3.7;call.c:1390-1393;0.19;0.04;;;;;;;;
105;python3.7;frameobject.c:484-488;0.19;0.04;;;;;;;;
212;python3.7;dictobject.c:326-326,dictobject.c:847-847;0.19;0.04;;;;;;;;
66461;python3.7;ceval.c:4070-4071,ceval.c:4077-4077;0.16;0.04;;;;;;;;
52809;python3.7;unicodeobject.c:4856-4859;0.16;0.04;;;;;;;;
19278;python3.7;dictobject.c:1291-1291,dictobject.c:1298-1298;0.16;0.04;;;;;;;;
63406;python3.7;ceval.c:1268-1268;0.16;0.04;;;;;;;;
383;python3.7;dictobject.c:892-892;0.16;0.04;;;;;;;;
214;python3.7;dictobject.c:751-751,dictobject.c:863-863;0.16;0.03;;;;;;;;
63276;python3.7;ceval.c:616-616,ceval.c:629-629,ceval.c:974-983,ceval.c:1001-1001;0.16;0.03;;;;;;;;
63412;python3.7;ceval.c:1293-1293;0.14;0.03;;;;;;;;
57130;python3.7;unicodeobject.c:2140-2140;0.14;0.03;;;;;;;;
24117;python3.7;object.c:1235-1237;0.14;0.03;;;;;;;;
23489;python3.7;object.c:1270-1271;0.14;0.03;;;;;;;;
6199;python3.7;call.c:842-842;0.14;0.03;;;;;;;;
6017;python3.7;call.c:396-400,call.c:412-412;0.14;0.03;;;;;;;;
197;python3.7;dictobject.c:839-839;0.14;0.03;;;;;;;;
203;python3.7;dictobject.c:847-847;0.14;0.03;;;;;;;;
62663;python3.7;ceval.c:5319-5320;0.14;0.03;;;;;;;;
304;python3.7;dictobject.c:326-326,dictobject.c:803-803;0.14;0.03;;;;;;;;
66477;python3.7;ceval.c:4140-4140;0.14;0.03;;;;;;;;
65389;python3.7;ceval.c:3407-3407;0.14;0.03;;;;;;;;
62807;python3.7;ceval.c:267-268;0.14;0.03;;;;;;;;
62503;python3.7;ceval_gil.h:192-194;0.14;0.03;;;;;;;;
25109;python3.7;obmalloc.c:1365-1365;0.14;0.03;;;;;;;;
19458;python3.7;dictobject.c:1342-1347;0.14;0.03;;;;;;;;
6105;python3.7;call.c:725-726,call.c:738-740;0.14;0.03;;;;;;;;
286;python3.7;dictobject.c:738-738,dictobject.c:785-785,dictobject.c:791-792;0.14;0.03;;;;;;;;
79478;python3.7;getargs.c:680-680;0.12;0.02;;;;;;;;
65445;python3.7;ceval.c:2828-2828;0.12;0.02;;;;;;;;
