ID;Module;Source Location;Source Function;Level;Max Time Over Threads (s);Time w.r.t. Wall Time (s);Coverage (% app. time);Speedup if no scalar integer;Speedup if FP arith vectorized;Speedup if fully vectorized;Speedup if FP only;Number of paths;Vectorization Ratio (%);Vectorization Efficiency (%);CQA cycles;CQA cycles if no scalar integer;CQA cycles if FP arith vectorized;CQA cycles if fully vectorized;CQA cycles if FP only
Loop 156;_tree.cpython-312-x86_64-linux-gnu.so;;__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_dense(__pyx_obj_7sklearn_4tree_5_tree_Tree*, _object*);Innermost;3.09;3.09;3.84;1.00;1.00;14.20;1.00;4;0.00;8.80;4.00;4.00;4.00;0.28;4.00
Loop 0;libpython3.12.so.1.0;dictobject.c:346-346,dictobject.c:933-962,unicodeobject.h:219-219,unicodeobject.h:248-248,unicodeobject.h:256-262,unicodeobject.h:280-280,eq.h:9-16;unicodekeys_lookup_unicode;Single;0.49;0.49;0.62;1.00;1.00;13.09;1.90;64;0.00;10.10;23.80;23.80;23.80;1.82;12.50
Loop 3252;libpython3.12.so.1.0;object.h:243-243,object.h:701-706,object.h:798-798,frame.c:139-140;_PyFrame_ClearExceptCode;Single;0.43;0.43;0.54;1.00;1.00;14.31;1.30;4;0.00;8.44;2.11;2.11;2.11;0.15;1.63
Loop 1;libpython3.12.so.1.0;dictobject.c:348-360,dictobject.c:933-962,unicodeobject.h:250-250,unicodeobject.h:256-262,unicodeobject.h:280-280,eq.h:9-16;unicodekeys_lookup_unicode;Single;0.35;0.35;0.44;1.00;1.00;12.51;2.03;576;0.00;11.02;28.40;28.40;28.40;2.27;14.00
Loop 1388;libpython3.12.so.1.0;tupleobject.c:205-206,object.h:243-243,object.h:701-706,object.h:798-798;tupledealloc;Single;0.27;0.27;0.34;1.00;NA;NA;1.11;4;0.00;11.39;1.80;1.80;NA;NA;1.63
Loop 1146;libpython3.12.so.1.0;dictobject.c:881-883,dictobject.c:972-974,dictobject.c:1059-1063,dictobject.c:1078-1078,pycore_dict.h:134-135;_Py_dict_lookup;Outermost;0.24;0.24;0.3;1.00;1.00;13.38;6.13;16;0.00;10.71;9.20;9.20;9.20;0.69;1.50
Loop 155;_tree.cpython-312-x86_64-linux-gnu.so;;__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_dense(__pyx_obj_7sklearn_4tree_5_tree_Tree*, _object*);Outermost;0.21;0.21;0.26;1.00;1.00;12.38;3.25;5;0.00;11.61;3.25;3.25;3.25;0.26;1.00
Loop 1442;libpython3.12.so.1.0;typeobject.c:2130-2131;PyType_IsSubtype;Single;0.18;0.18;0.22;1.00;1.00;8.00;1.00;1;0.00;12.50;1.00;1.00;1.00;0.13;1.00
Loop 2879;libpython3.12.so.1.0;ceval.c:1389-1391;initialize_locals;Innermost;0.14;0.14;0.18;1.00;1.00;8.00;1.00;1;0.00;12.50;1.00;1.00;1.00;0.13;1.00
Loop 2877;libpython3.12.so.1.0;ceval.c:1373-1376,ceval.c:1379-1379,ceval.c:1388-1391,ceval.c:1400-1400,ceval.c:1409-1409,ceval.c:1425-1425,ceval.c:1428-1428,ceval.c:1439-1439,ceval.c:1445-1445,ceval.c:1511-1511,ceval.c:1528-1528,object.h:243-243,object.h:967-967;initialize_locals;Outermost;0.14;0.14;0.17;1.00;1.00;15.49;2.76;6;9.09;12.57;13.80;13.80;13.80;0.89;5.00
