name;time_p;time_s;cpi_ratio;
/home/aaron/.pyenv/versions/3.12.0/lib/libpython3.12.so.1.0;28.54;6;;
/home/aaron/.pyenv/versions/3.12.0/lib/python3.12/site-packages/tensorflow/libtensorflow_cc.so.2;24.48;5.15;;
/home/aaron/.pyenv/versions/3.12.0/lib/python3.12/site-packages/tensorflow/libtensorflow_framework.so.2;16.1;3.39;;
anon;13.28;2.79;;
/usr/lib/libc.so.6;7.49;1.58;;
kernel;4.21;0.89;;
/usr/lib/ld-linux-x86-64.so.2;1.04;0.22;;
/home/aaron/.pyenv/versions/3.12.0/lib/python3.12/site-packages/tensorflow/python/_pywrap_tensorflow_internal.so;1.03;0.22;;
/home/aaron/.pyenv/versions/3.12.0/lib/python3.12/site-packages/numpy/core/_multiarray_umath.cpython-312-x86_64-linux-gnu.so;0.92;0.19;;
/home/aaron/.pyenv/versions/3.12.0/lib/python3.12/site-packages/tensorflow/python/framework/_dtypes.so;0.66;0.14;;
/usr/lib/libstdc++.so.6.0.33;0.54;0.11;;
/home/aaron/.pyenv/versions/3.12.0/lib/python3.12/site-packages/tensorflow/python/_pywrap_tfe.so;0.37;0.08;;
/home/aaron/.pyenv/versions/3.12.0/lib/python3.12/site-packages/google/_upb/_message.abi3.so;0.33;0.07;;
/usr/lib/libz.so.1.3.1;0.3;0.06;;
/usr/lib/libm.so.6;0.27;0.06;;
/home/aaron/.pyenv/versions/3.12.0/lib/python3.12/site-packages/tensorflow/python/util/_pywrap_utils.so;0.17;0.04;;
[vdso];0.08;0.02;;
/home/aaron/.pyenv/versions/3.12.0/lib/python3.12/site-packages/tensorflow/python/platform/_pywrap_cpu_feature_guard.so;0.06;0.01;;
/home/aaron/.pyenv/versions/3.12.0/lib/python3.12/site-packages/tensorflow/python/client/_pywrap_tf_session.so;0.03;0.01;;
/home/aaron/.pyenv/versions/3.12.0/lib/python3.12/site-packages/tensorflow/python/framework/_pywrap_python_api_dispatcher.so;0.03;0.01;;
/home/aaron/.pyenv/versions/3.12.0/lib/python3.12/site-packages/tensorflow/python/flags_pybind.so;0.02;0;;
/home/aaron/.pyenv/versions/3.12.0/lib/python3.12/site-packages/pandas/_libs/tslibs/dtypes.cpython-312-x86_64-linux-gnu.so;0.01;0;;
/home/aaron/.pyenv/versions/3.12.0/lib/python3.12/site-packages/tensorflow/python/util/_tf_stack.so;0.01;0;;
/usr/lib/libcrypto.so.3;0.01;0;;
