address;source_location;insn;indent
0x62e6400;:0;MOV	%RAX,(%RSI,%RDX,8);
0x62e6404;:0;ADD	$0x2,%R8;
0x62e6408;:0;MOV	%R8,(%RCX);
0x62e640b;:0;ADD	$0xc,%R15;
0x62e640f;:0;CMP	-0x1e8(%RBP),%R15;
0x62e6416;:0;JE	62e65e7 <_ZN10tensorflow21SimplePropagatorState16PropagateOutputsERKNS0_10TaggedNodeEPN4absl12lts_2023080213InlinedVectorINS_5EntryELm4ESaIS7_EEEPNS6_IS1_Lm8ESaIS1_EEE+0x2a7>;
0x62e641c;:0;MOV	-0x1a8(%RBP),%RAX;
0x62e6423;:0;TESTB	$0x1,(%RAX);
0x62e6426;:0;MOV	-0x1e0(%RBP),%R14;
0x62e642d;:0;JE	62e643a <_ZN10tensorflow21SimplePropagatorState16PropagateOutputsERKNS0_10TaggedNodeEPN4absl12lts_2023080213InlinedVectorINS_5EntryELm4ESaIS7_EEEPNS6_IS1_Lm8ESaIS1_EEE+0xfa>;
0x62e642f;:0;MOV	-0x1a8(%RBP),%RAX;
0x62e6436;:0;MOV	0x8(%RAX),%R14;
0x62e643a;:0;MOVSXD	(%R15),%R8;
0x62e643d;:0;MOV	0x4(%R15),%EAX;
0x62e6441;:0;LEA	(%RAX,%RAX,1),%ESI;
0x62e6444;:0;SAR	$0x1,%ESI;
0x62e6446;:0;MOVSXD	0x8(%R15),%RDX;
0x62e644a;:0;MOVSXD	%ESI,%RSI;
0x62e644d;:0;LEA	(%RSI,%RSI,2),%RBX;
0x62e6451;:0;SAL	$0x4,%RBX;
0x62e6455;:0;LEA	(%R14,%RBX,1),%RSI;
0x62e6459;:0;MOV	0x18(%RDI),%R13;
0x62e645d;:0;LEA	(%RDX,%RDX,2),%R12;
0x62e6461;:0;SAL	$0x4,%R12;
0x62e6465;:0;LEA	(%R12,%R13,1),%R10;
0x62e6469;:0;TEST	%EAX,%EAX;
0x62e646b;:0;JS	62e6500 <_ZN10tensorflow21SimplePropagatorState16PropagateOutputsERKNS0_10TaggedNodeEPN4absl12lts_2023080213InlinedVectorINS_5EntryELm4ESaIS7_EEEPNS6_IS1_Lm8ESaIS1_EEE+0x1c0>;
0x62e6471;:0;MOV	%R10,%RDI;
0x62e6474;:0;MOV	%R8,%RBX;
0x62e6477;:0;CALL	763fc50 <_ZN10tensorflow5EntryaSERKS0_@plt>;
0x62e647c;:0;MOV	%RBX,%R8;
0x62e647f;:0;MOV	-0x1a0(%RBP),%R9;
0x62e6486;:0;MOV	-0x190(%RBP),%RDI;
0x62e648d;:0;MOV	-0x198(%RBP),%RCX;
0x62e6494;:0;MOV	0x30(%RDI),%RAX;
0x62e6498;:0;LOCK DECL	(%RAX,%R8,4);
0x62e649d;:0;JNE	62e640b <_ZN10tensorflow21SimplePropagatorState16PropagateOutputsERKNS0_10TaggedNodeEPN4absl12lts_2023080213InlinedVectorINS_5EntryELm4ESaIS7_EEEPNS6_IS1_Lm8ESaIS1_EEE+0xcb>;
0x62e64a3;:0;MOV	-0x1b0(%RBP),%RDX;
0x62e64aa;:0;MOV	0x68(%RDX),%RAX;
0x62e64ae;:0;MOV	(%RAX,%R8,4),%EAX;
0x62e64b2;:0;ADD	0x70(%RDX),%RAX;
0x62e64b6;:0;MOV	%RAX,-0xd0(%RBP);
0x62e64bd;:0;MOV	(%RCX),%R8;
0x62e64c0;:0;MOV	$0x8,%ESI;
0x62e64c5;:0;TEST	$0x1,%R8B;
0x62e64c9;:0;JE	62e64cf <_ZN10tensorflow21SimplePropagatorState16PropagateOutputsERKNS0_10TaggedNodeEPN4absl12lts_2023080213InlinedVectorINS_5EntryELm4ESaIS7_EEEPNS6_IS1_Lm8ESaIS1_EEE+0x18f>;
0x62e64cb;:0;MOV	0x10(%RCX),%RSI;
0x62e64cf;:0;MOV	%R8,%RDX;
0x62e64d2;:0;SHR	$0x1,%RDX;
0x62e64d5;:0;CMP	%RSI,%RDX;
0x62e64d8;:0;JE	62e65be <_ZN10tensorflow21SimplePropagatorState16PropagateOutputsERKNS0_10TaggedNodeEPN4absl12lts_2023080213InlinedVectorINS_5EntryELm4ESaIS7_EEEPNS6_IS1_Lm8ESaIS1_EEE+0x27e>;
0x62e64de;:0;MOV	-0x1d8(%RBP),%RSI;
0x62e64e5;:0;TEST	$0x1,%R8B;
0x62e64e9;:0;JE	62e6400 <_ZN10tensorflow21SimplePropagatorState16PropagateOutputsERKNS0_10TaggedNodeEPN4absl12lts_2023080213InlinedVectorINS_5EntryELm4ESaIS7_EEEPNS6_IS1_Lm8ESaIS1_EEE+0xc0>;
0x62e64ef;:0;MOV	0x8(%RCX),%RSI;
0x62e64f3;:0;JMP	62e6400 <_ZN10tensorflow21SimplePropagatorState16PropagateOutputsERKNS0_10TaggedNodeEPN4absl12lts_2023080213InlinedVectorINS_5EntryELm4ESaIS7_EEEPNS6_IS1_Lm8ESaIS1_EEE+0xc0>;
