loop_id;module;function_name;function_id;source_info;level;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;flops;
986;python3.9;_PyObject_GenericGetAttrWithDict;4333;pycore_pystate.h:55-55,object.c:768-769,object.c:775-779,object.c:1196-1204,object.c:1210-1215,object.c:1219-1219,object.c:1227-1227,object.c:1230-1230,object.c:1233-1233,object.c:1240-1240,object.c:1251-1253,object.c:1260-1260,object.c:1266-1267,object.c:1275-1275,object.h:128-128,object.h:408-408,object.h:422-422,object.h:430-430,object.h:496-496,object.h:628-628,typeobject.c:379-379,typeobject.c:382-382,typeobject.c:385-385,typeobject.c:399-401,typeobject.c:407-407,typeobject.c:3286-3289,typeobject.c:3298-3298,dictobject.c:344-350,dictobject.c:922-924,dictobject.c:930-933,dictobject.c:938-938,dictobject.c:942-942,dictobject.c:945-947,dictobject.c:950-951,dictobject.c:1463-1463,dictobject.c:1467-1468,dictobject.c:1471-1471,dictobject.c:1476-1479;InBetween;1.37;0.31;0.67;0.67;0.67;0;0;1;;
38032;libtensorflow_framework.so.2;Eigen::ThreadPoolTempl<tsl::thread::EigenEnvironment>::WorkerLoop(int);50190;;Innermost;0.63;0.15;0;0.02;0.16;23.223693847656;0.037853885442019;16;;
6665;libtensorflow_framework.so.2;tensorflow::(anonymous namespace)::ExecutorState<tensorflow::SimplePropagatorState>::Process(tensorflow::SimplePropagatorState::TaggedNode const&, long);5244;;Outermost;0.41;0.09;0.2;0.2;0.2;0;0;1;;
6662;libtensorflow_framework.so.2;tensorflow::(anonymous namespace)::ExecutorState<tensorflow::SimplePropagatorState>::Process(tensorflow::SimplePropagatorState::TaggedNode const&, long);5244;;InBetween;0.36;0.08;0;0.04;0.16;3.8631322383881;0.067082054913044;5;;
808;python3.9;find_name_in_mro;4240;pycore_pystate.h:55-55,object.h:628-628,typeobject.c:3223-3236,dictobject.c:880-882,dictobject.c:1439-1448;Innermost;0.36;0.08;0.17;0.17;0.17;0;0;1;;
731;python3.9;_PyDict_GetItemIdWithError;4179;unicodeobject.c:2306-2316,eq.h:23-23,object.h:628-630,dictobject.c:880-882,dictobject.c:885-888,dictobject.c:893-893,dictobject.c:902-902,dictobject.c:1439-1439,dictobject.c:1444-1448,dictobject.c:1487-1489,dictobject.c:1492-1492;Outermost;0.33;0.07;0.16;0.16;0.16;0;0;1;;
707;python3.9;lookdict_unicode_nodummy;4161;dictobject.c:344-346,dictobject.c:893-906;Innermost;0.32;0.07;0.16;0.16;0.16;0;0;1;;
6783;libtensorflow_framework.so.2;tensorflow::SimplePropagatorState::PropagateOutputs(tensorflow::SimplePropagatorState::TaggedNode const&, absl::lts_20230802::InlinedVector<tensorflow::Entry, 4ul, std::allocator<tensorflow::Entry> >*, absl::lts_20230802::InlinedVector<tensorflow::SimplePropagatorState::TaggedNode, 8ul, std::allocator<tensorflow::SimplePropagatorState::TaggedNode> >*);5346;;Single;0.31;0.07;0.15;0.15;0.15;0;0;1;;
732;python3.9;_PyDict_GetItemIdWithError;4179;eq.h:17-24,dictobject.c:344-353,dictobject.c:360-360,dictobject.c:890-906;Innermost;0.26;0.06;0.13;0.13;0.13;0;0;1;;
1007;python3.9;_PyObject_GetMethod;4355;pycore_pystate.h:55-55,object.c:1033-1038,object.c:1089-1089,object.c:1092-1092,object.c:1106-1113,object.c:1121-1126,object.c:1133-1133,object.c:1140-1141,object.c:1145-1146,object.c:1151-1153,object.c:1156-1156,object.c:1159-1160,object.h:408-408,object.h:422-422,object.h:430-430,object.h:496-496,typeobject.c:379-379,typeobject.c:382-382,typeobject.c:385-385,typeobject.c:399-401,typeobject.c:407-407,typeobject.c:3286-3289,typeobject.c:3298-3298;Outermost;0.26;0.06;0.13;0.13;0.13;0;0;1;;
6660;libtensorflow_framework.so.2;tensorflow::(anonymous namespace)::ExecutorState<tensorflow::SimplePropagatorState>::ScheduleReady(absl::lts_20230802::InlinedVector<tensorflow::SimplePropagatorState::TaggedNode, 8ul, std::allocator<tensorflow::SimplePropagatorState::TaggedNode> >*, tensorflow::SimplePropagatorState::TaggedNodeReadyQueue*);5243;;Single;0.25;0.06;0;0.03;0.11;2.7305469512939;0.050000004470348;4;;
