name;time_p;time_s;cpi_ratio;
/home/aaron/.pyenv/versions/stackless-3.7.5/lib/python3.7/site-packages/torch/lib/libtorch_cpu.so;40.32;8.56;;
/home/aaron/.pyenv/versions/stackless-3.7.5/bin/python3.7;35.89;7.62;;
/home/aaron/.pyenv/versions/stackless-3.7.5/lib/python3.7/site-packages/torch/lib/libtorch_python.so;6.87;1.46;;
/usr/lib/libc.so.6;6.66;1.41;;
/home/aaron/.pyenv/versions/stackless-3.7.5/lib/python3.7/site-packages/torch/lib/libc10.so;3.88;0.83;;
kernel;2.26;0.48;;
/home/aaron/.pyenv/versions/stackless-3.7.5/lib/python3.7/site-packages/numpy/core/_multiarray_umath.cpython-37m-x86_64-linux-gnu.so;1.55;0.33;;
/home/aaron/.pyenv/versions/stackless-3.7.5/lib/python3.7/site-packages/PIL/_imaging.cpython-37m-x86_64-linux-gnu.so;0.89;0.19;;
/usr/lib/ld-linux-x86-64.so.2;0.82;0.17;;
/usr/lib/libstdc++.so.6.0.33;0.64;0.14;;
/home/aaron/.pyenv/versions/stackless-3.7.5/lib/python3.7/site-packages/torch/lib/libtorch_cuda_cpp.so;0.07;0.01;;
/usr/lib/libm.so.6;0.07;0.01;;
/home/aaron/.pyenv/versions/stackless-3.7.5/lib/python3.7/site-packages/numpy.libs/libgfortran-2e0d59d6.so.5.0.0;0.02;0;;
/home/aaron/.pyenv/versions/stackless-3.7.5/lib/python3.7/site-packages/torch/lib/libgomp-a34b3233.so.1;0.02;0;;
/home/aaron/.pyenv/versions/stackless-3.7.5/lib/python3.7/site-packages/torchvision/image.so;0.02;0;;
