name;time_p;time_s;cpi_ratio;
/home/aaron/intelpython3/lib/python3.9/site-packages/torch/lib/libtorch_cpu.so;39.29;8.9;;
/home/aaron/intelpython3/bin/python3.9;34.35;7.78;;
/usr/lib/libc.so.6;7.7;1.75;;
/home/aaron/intelpython3/lib/python3.9/site-packages/torch/lib/libtorch_python.so;7.61;1.72;;
/home/aaron/intelpython3/lib/python3.9/site-packages/torch/lib/libc10.so;4.81;1.09;;
kernel;2.14;0.49;;
/home/aaron/intelpython3/lib/python3.9/site-packages/numpy/core/_multiarray_umath.cpython-39-x86_64-linux-gnu.so;1.26;0.29;;
/usr/lib/ld-linux-x86-64.so.2;1.24;0.28;;
/home/aaron/intelpython3/lib/libstdc++.so.6.0.32;0.9;0.2;;
/home/aaron/intelpython3/lib/python3.9/site-packages/PIL/_imaging.cpython-39-x86_64-linux-gnu.so;0.51;0.11;;
/home/aaron/intelpython3/lib/python3.9/site-packages/nvidia/cublas/lib/libcublasLt.so.12;0.07;0.01;;
/usr/lib/libm.so.6;0.07;0.01;;
/home/aaron/intelpython3/lib/python3.9/site-packages/torch/lib/libgomp-a34b3233.so.1;0.04;0.01;;
/home/aaron/intelpython3/lib/python3.9/lib-dynload/math.cpython-39-x86_64-linux-gnu.so;0.02;0;;
