block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;flops;
76351;python3.9;ceval.c:1492-1495,object.h:408-408;0.73;0.16;;;;;;;;
80092;python3.9;object.c:880-883;0.57;0.13;;;;;;;;
80443;python3.9;typeobject.c:3255-3255;0.51;0.11;;;;;;;;
80467;python3.9;object.h:408-408,object.h:422-422;0.46;0.1;;;;;;;;
76366;python3.9;ceval.c:2561-2566,object.h:408-408;0.46;0.1;;;;;;;;
76348;python3.9;ceval.c:1478-1479;0.42;0.09;;;;;;;;
76349;python3.9;ceval.c:1486-1487,object.h:408-408;0.4;0.09;;;;;;;;
76362;python3.9;ceval.c:2552-2552;0.38;0.08;;;;;;;;
76363;python3.9;ceval.c:2552-2553;0.35;0.08;;;;;;;;
70534;python3.9;dictobject.c:897-900;0.35;0.08;;;;;;;;
76345;python3.9;ceval.c:1442-1442;0.33;0.07;;;;;;;;
90265;python3.9;pycore_pystate.h:82-82,ceval.c:464-464;0.33;0.07;;;;;;;;
76445;python3.9;ceval.c:2995-2997;0.31;0.07;;;;;;;;
80445;python3.9;object.c:1199-1200,object.h:408-408;0.31;0.07;;;;;;;;
81372;python3.9;object.c:1108-1108,object.h:408-408;0.29;0.06;;;;;;;;
73227;python3.9;gcmodule.c:108-108,gcmodule.c:413-413;0.29;0.06;;;;;;;;
79447;python3.9;dictobject.c:854-857;0.26;0.06;;;;;;;;
73547;python3.9;gcmodule.c:478-478,pycore_object.h:112-113;0.24;0.05;;;;;;;;
71888;python3.9;dictobject.c:1444-1444;0.22;0.05;;;;;;;;
70525;python3.9;dictobject.c:874-874,dictobject.c:880-881;0.2;0.04;;;;;;;;
80435;python3.9;object.c:1189-1189,object.h:408-408;0.2;0.04;;;;;;;;
80452;python3.9;object.h:408-408,object.h:628-628,dictobject.c:1463-1463;0.2;0.04;;;;;;;;
73187;python3.9;gcmodule.c:313-314;0.2;0.04;;;;;;;;
72361;python3.9;typeobject.c:1422-1426;0.2;0.04;;;;;;;;
81361;python3.9;object.c:1097-1097;0.18;0.04;;;;;;;;
