block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;flops;
1325;al_dense_cython_lib.cpython-312-x86_64-linux-gnu.so;al_dense_cython_lib.c:9791-9791,object.h:643-643;33.48;14.77;14.77;14.77;14.77;0;0;1;;
64697;libpython3.12.so.1.0;object.c:2611-2611,object.c:2625-2625;6.39;2.82;2.82;2.82;2.82;0;0;1;;
1262;al_dense_cython_lib.cpython-312-x86_64-linux-gnu.so;al_dense_cython_lib.c:9757-9757,object.h:643-643;4.33;1.91;1.91;1.91;1.91;0;0;1;;
21110;libpython3.12.so.1.0;abstract.c:1175-1176,abstract.c:1249-1249;3.71;1.64;1.64;1.64;1.64;0;0;1;;
176421;libpython3.12.so.1.0;pycore_object.h:331-331,object.h:220-220;2.41;1.06;1.06;1.06;1.06;0;0;1;;
176431;libpython3.12.so.1.0;pycore_object.h:331-331,object.h:220-220;2.33;1.03;1.03;1.03;1.03;0;0;1;;
1260;al_dense_cython_lib.cpython-312-x86_64-linux-gnu.so;al_dense_cython_lib.c:9748-9748,al_dense_cython_lib.c:9754-9756,object.h:233-233;2.23;0.98;0.98;0.98;0.98;0;0;1;;
1299;al_dense_cython_lib.cpython-312-x86_64-linux-gnu.so;al_dense_cython_lib.c:9784-9788,object.h:220-220;2.04;0.9;0.9;0.9;0.9;0;0;1;;
1311;al_dense_cython_lib.cpython-312-x86_64-linux-gnu.so;al_dense_cython_lib.c:9833-9833;1.49;0.66;0.66;0.66;0.66;0;0;1;;
43967;libpython3.12.so.1.0;floatobject.c:260-260,pycore_pystate.h:118-118;1.46;0.64;0.64;0.64;0.64;0;0;1;;
44281;libpython3.12.so.1.0;floatobject.c:142-143;1.16;0.51;0.51;0.51;0.51;0;0;1;;
48449;libpython3.12.so.1.0;object.h:243-243,object.h:701-701;1.16;0.51;0.51;0.51;0.51;0;0;1;;
48069;libpython3.12.so.1.0;listobject.c:2705-2705;1.04;0.46;0.46;0.46;0.46;0;0;1;;
1300;al_dense_cython_lib.cpython-312-x86_64-linux-gnu.so;al_dense_cython_lib.c:9789-9790,object.h:233-233;1.03;0.45;0.45;0.45;0.45;0;0;1;;
1263;al_dense_cython_lib.cpython-312-x86_64-linux-gnu.so;al_dense_cython_lib.c:9765-9765;1.02;0.45;0.45;0.45;0.45;0;0;1;;
43964;libpython3.12.so.1.0;floatobject.c:275-275,pycore_pystate.h:118-118;0.96;0.42;0.42;0.42;0.42;0;0;1;;
64578;libpython3.12.so.1.0;object.c:2193-2193,object.c:2205-2205;0.95;0.42;0.42;0.42;0.42;0;0;1;;
43969;libpython3.12.so.1.0;floatobject.c:264-266,floatobject.c:286-286,object.h:274-274;0.9;0.4;0.4;0.4;0.4;0;0;1;;
18792;libpython3.12.so.1.0;abstract.c:853-855,object.h:220-220;0.9;0.4;0.4;0.4;0.4;0;0;1;;
44282;libpython3.12.so.1.0;pycore_object.h:167-167,object.h:274-274;0.77;0.34;0.34;0.34;0.34;0;0;1;;
44279;libpython3.12.so.1.0;floatobject.c:136-137,pycore_pystate.h:118-118;0.72;0.32;0.32;0.32;0.32;0;0;1;;
64580;libpython3.12.so.1.0;object.c:2197-2197,object.c:2210-2210;0.71;0.31;0.31;0.31;0.31;0;0;1;;
44278;libpython3.12.so.1.0;floatobject.c:132-132,pycore_pystate.h:118-118;0.71;0.31;0.31;0.31;0.31;0;0;1;;
66623;libpython3.12.so.1.0;obmalloc.c:1540-1544;0.67;0.29;0.29;0.29;0.29;0;0;1;;
21396;libpython3.12.so.1.0;abstract.c:855-855,abstract.c:1099-1099,object.h:220-220;0.62;0.27;0.27;0.27;0.27;0;0;1;;
44829;libpython3.12.so.1.0;floatobject.c:596-596,object.h:220-220,object.h:382-382;0.59;0.26;0.26;0.26;0.26;0;0;1;;
44769;libpython3.12.so.1.0;floatobject.c:616-616,object.h:220-220,object.h:382-382;0.58;0.25;0.25;0.25;0.25;0;0;1;;
1318;al_dense_cython_lib.cpython-312-x86_64-linux-gnu.so;object.h:646-646;0.51;0.22;0.22;0.22;0.22;0;0;1;;
44782;libpython3.12.so.1.0;floatobject.c:620-622;0.47;0.21;0.21;0.21;0.21;0;0;1;;
1065;al_dense_cython_lib.cpython-312-x86_64-linux-gnu.so;al_dense_cython_lib.c:9843-9846,object.h:220-220;0.45;0.2;0.2;0.2;0.2;0;0;1;;
