loop_id;module;function_name;function_id;source_info;level;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;flops;
1;libpython3.12.so.1.0;unicodekeys_lookup_unicode;19;dictobject.c:348-360,dictobject.c:933-962,unicodeobject.h:250-250,unicodeobject.h:256-262,unicodeobject.h:280-280,eq.h:9-16;Single;1.28;0.29;;;;;;;;
0;libpython3.12.so.1.0;unicodekeys_lookup_unicode;19;dictobject.c:346-346,dictobject.c:933-962,unicodeobject.h:219-219,unicodeobject.h:248-248,unicodeobject.h:256-262,unicodeobject.h:280-280,eq.h:9-16;Single;0.39;0.09;;;;;;;;
3964;libpython3.12.so.1.0;gc_collect_main;4431;gcmodule.c:107-107,gcmodule.c:289-292,gcmodule.c:424-424,gcmodule.c:430-431,pycore_pystate.h:118-118,pycore_gc.h:59-68,pycore_gc.h:74-74,object.h:243-243;Innermost;0.26;0.06;;;;;;;;
1146;libpython3.12.so.1.0;_Py_dict_lookup;1564;dictobject.c:881-883,dictobject.c:972-974,dictobject.c:1059-1063,dictobject.c:1078-1078,pycore_dict.h:134-135;Outermost;0.24;0.05;;;;;;;;
3252;libpython3.12.so.1.0;_PyFrame_ClearExceptCode;3423;object.h:243-243,object.h:701-706,object.h:798-798,frame.c:139-140;Single;0.19;0.04;;;;;;;;
3962;libpython3.12.so.1.0;gc_collect_main;4431;gcmodule.c:648-652,pycore_gc.h:60-60;Innermost;0.17;0.04;;;;;;;;
3960;libpython3.12.so.1.0;gc_collect_main;4431;gcmodule.c:322-323,pycore_gc.h:60-60;Innermost;0.17;0.04;;;;;;;;
1388;libpython3.12.so.1.0;tupledealloc;2130;tupleobject.c:205-206,object.h:243-243,object.h:701-706,object.h:798-798;Single;0.17;0.04;;;;;;;;
3961;libpython3.12.so.1.0;gc_collect_main;4431;gcmodule.c:663-667,pycore_gc.h:60-60;Innermost;0.13;0.03;;;;;;;;
3362;libpython3.12.so.1.0;take_gil;3491;ceval_gil.c:67-67,ceval_gil.c:76-76,ceval_gil.c:417-417,ceval_gil.c:483-487,pycore_pystate.h:19-19,pycore_pystate.h:59-59;Single;0.13;0.03;;;;;;;;
2879;libpython3.12.so.1.0;initialize_locals;3109;ceval.c:1389-1391;Innermost;0.09;0.02;;;;;;;;
3963;libpython3.12.so.1.0;gc_collect_main;4431;gcmodule.c:86-86,gcmodule.c:92-92,gcmodule.c:586-587,gcmodule.c:596-602,gcmodule.c:609-609,gcmodule.c:636-636,pycore_gc.h:74-74;Innermost;0.06;0.01;;;;;;;;
2343;libpython3.12.so.1.0;PyUnicode_FromFormatV;2684;object.h:243-243,object.h:701-701,object.h:705-706,unicodeobject.c:2348-2349,unicodeobject.c:2352-2353,unicodeobject.c:2357-2358,unicodeobject.c:2375-2376,unicodeobject.c:2379-2380,unicodeobject.c:2384-2385,unicodeobject.c:2388-2388,unicodeobject.c:2438-2451,unicodeobject.c:2460-2474,unicodeobject.c:2485-2489,unicodeobject.c:2492-2493,unicodeobject.c:2496-2511,unicodeobject.c:2515-2515,unicodeobject.c:2519-2519,unicodeobject.c:2522-2522,unicodeobject.c:2526-2526,unicodeobject.c:2529-2529,unicodeobject.c:2633-2633,unicodeobject.c:2637-2644,unicodeobject.c:2647-2647,unicodeobject.c:2654-2655,unicodeobject.c:2661-2661,unicodeobject.c:2696-2696,unicodeobject.c:2761-2762;InBetween;0.06;0.01;;;;;;;;
2188;libpython3.12.so.1.0;_PyUnicode_JoinArray;2630;unicodeobject.h:212-212,unicodeobject.h:363-369,unicodeobject.h:375-375,object.h:220-220,unicodeobject.c:9586-9589,unicodeobject.c:9596-9609;Single;0.06;0.01;;;;;;;;
1119;libpython3.12.so.1.0;free_keys_object;1543;dictobject.c:671-673,object.h:243-243,object.h:701-706,object.h:798-798;Single;0.06;0.01;;;;;;;;
