ID;Module;Source Location;Source Function;Level;Max Time Over Threads (s);Time w.r.t. Wall Time (s);Coverage (% app. time);Speedup if no scalar integer;Speedup if FP arith vectorized;Speedup if fully vectorized;Speedup if FP only;Number of paths;Vectorization Ratio (%);Vectorization Efficiency (%);CQA cycles;CQA cycles if no scalar integer;CQA cycles if FP arith vectorized;CQA cycles if fully vectorized;CQA cycles if FP only
Loop 38032;libtensorflow_framework.so.2;;Eigen::ThreadPoolTempl<tsl::thread::EigenEnvironment>::WorkerLoop(int);Innermost;0.26;0.19;0.92;1.00;1.00;34.36;2.91;10;0.00;7.81;10.20;10.20;10.20;0.30;3.50
Loop 674;libpython3.12.so.1.0;codeobject.c:456-459,codeobject.c:472-472,codeobject.c:482-485,codeobject.c:494-494,codeobject.c:857-857,codeobject.c:873-873,codeobject.c:887-887,codeobject.c:961-963,codeobject.c:968-969,codeobject.c:1071-1071;_PyCode_CheckLineNumber;Outermost;0.28;0.14;0.65;1.00;1.00;15.67;2.74;10;0.00;6.67;9.60;9.60;9.60;0.61;3.50
Loop 675;libpython3.12.so.1.0;codeobject.c:971-972;_PyCode_CheckLineNumber;Innermost;0.18;0.09;0.41;1.00;1.00;10.00;1.25;1;0.00;7.03;1.25;1.25;1.25;0.13;1.00
Loop 6783;libtensorflow_framework.so.2;;tensorflow::SimplePropagatorState::PropagateOutputs(tensorflow::SimplePropagatorState::TaggedNode const&, absl::lts_20230802::InlinedVector<tensorflow::Entry, 4ul, std::allocator<tensorflow::Entry> >*, absl::lts_20230802::InlinedVector<tensorflow::SimplePropagatorState::TaggedNode, 8ul, std::allocator<tensorflow::SimplePropagatorState::TaggedNode> >*);Single;0.16;0.08;0.37;3.93;1.00;10.93;3.93;126;14.29;11.94;21.60;5.50;21.60;1.98;5.50
Loop 0;libpython3.12.so.1.0;dictobject.c:346-346,dictobject.c:933-962,unicodeobject.h:219-219,unicodeobject.h:248-248,unicodeobject.h:256-262,unicodeobject.h:280-280,eq.h:9-16;unicodekeys_lookup_unicode;Single;0.13;0.06;0.3;1.00;1.00;13.09;1.90;64;0.00;10.10;23.80;23.80;23.80;1.82;12.50
Loop 3252;libpython3.12.so.1.0;object.h:243-243,object.h:701-706,object.h:798-798,frame.c:139-140;_PyFrame_ClearExceptCode;Single;0.13;0.06;0.29;1.00;1.00;14.31;1.30;4;0.00;8.44;2.11;2.11;2.11;0.15;1.63
Loop 6665;libtensorflow_framework.so.2;;tensorflow::(anonymous namespace)::ExecutorState<tensorflow::SimplePropagatorState>::Process(tensorflow::SimplePropagatorState::TaggedNode const&, long);Outermost;0.11;0.06;0.27;3.11;1.00;12.92;3.40;1;7.17;10.72;243.60;78.40;243.60;18.85;71.60
Loop 6662;libtensorflow_framework.so.2;;tensorflow::(anonymous namespace)::ExecutorState<tensorflow::SimplePropagatorState>::Process(tensorflow::SimplePropagatorState::TaggedNode const&, long);InBetween;0.08;0.05;0.25;5.14;1.00;14.43;5.14;1;11.68;11.69;262.00;51.00;262.00;18.16;51.00
Loop 6660;libtensorflow_framework.so.2;;tensorflow::(anonymous namespace)::ExecutorState<tensorflow::SimplePropagatorState>::ScheduleReady(absl::lts_20230802::InlinedVector<tensorflow::SimplePropagatorState::TaggedNode, 8ul, std::allocator<tensorflow::SimplePropagatorState::TaggedNode> >*, tensorflow::SimplePropagatorState::TaggedNodeReadyQueue*);Single;0.11;0.05;0.25;1.00;1.00;8.00;2.72;19;0.00;12.50;13.60;13.60;13.60;1.70;5.00
Loop 1;libpython3.12.so.1.0;dictobject.c:348-360,dictobject.c:933-962,unicodeobject.h:250-250,unicodeobject.h:256-262,unicodeobject.h:280-280,eq.h:9-16;unicodekeys_lookup_unicode;Single;0.1;0.05;0.24;1.00;1.00;12.51;2.03;576;0.00;11.02;28.40;28.40;28.40;2.27;14.00
Loop 3964;libpython3.12.so.1.0;gcmodule.c:107-107,gcmodule.c:289-292,gcmodule.c:424-424,gcmodule.c:430-431,pycore_pystate.h:118-118,pycore_gc.h:59-68,pycore_gc.h:74-74,object.h:243-243;gc_collect_main;Innermost;0.09;0.04;0.21;1.00;1.00;7.87;1.30;2;0.00;11.43;3.90;3.90;3.90;0.50;3.00
Loop 1388;libpython3.12.so.1.0;tupleobject.c:205-206,object.h:243-243,object.h:701-706,object.h:798-798;tupledealloc;Single;0.08;0.04;0.19;1.00;NA;NA;1.11;4;0.00;11.39;1.80;1.80;NA;NA;1.63
