address;source_location;insn;indent
0x7193bc0;:0;PUSH	%RBP;
0x7193bc1;:0;MOV	%RSP,%RBP;
0x7193bc4;:0;PUSH	%R15;
0x7193bc6;:0;PUSH	%R14;
0x7193bc8;:0;PUSH	%R13;
0x7193bca;:0;PUSH	%R12;
0x7193bcc;:0;PUSH	%RBX;
0x7193bcd;:0;SUB	$0x768,%RSP;
0x7193bd4;:0;MOV	%FS:0x28,%RAX;
0x7193bdd;:0;MOV	%RAX,-0x30(%RBP);
0x7193be1;:0;CMP	%RDI,(%RDI);
0x7193be4;:0;JE	7194418 <_ZL17propagateLivenessRN4mlir6RegionERN12_GLOBAL__N_17LiveMapE+0x858>;
0x7193bea;:0;MOV	%RSI,-0x738(%RBP);
0x7193bf1;:0;MOV	0x8(%RDI),%RAX;
0x7193bf5;:0;LEA	-0x8(%RAX),%RCX;
0x7193bf9;:0;TEST	%RAX,%RAX;
0x7193bfc;:0;CMOVE	%RAX,%RCX;
0x7193c00;:0;MOV	%RCX,-0x580(%RBP);
0x7193c07;:0;LEA	-0x3d0(%RBP),%R14;
0x7193c0e;:0;LEA	-0x580(%RBP),%RSI;
0x7193c15;:0;MOV	%R14,%RDI;
0x7193c18;:0;CALL	7196f60 <_ZN4llvm10post_orderIPN4mlir5BlockEEENS_14iterator_rangeINS_11po_iteratorIT_NS_11SmallPtrSetINS_11GraphTraitsIS6_E7NodeRefELj8EEELb0ES9_EEEERKS6_>;
0x7193c1d;:0;LEA	-0x560(%RBP),%RSI;
0x7193c24;:0;LEA	-0x580(%RBP),%RDI;
0x7193c2b;:0;MOV	%R14,%RDX;
0x7193c2e;:0;CALL	768b5c0 <_ZN4llvm19SmallPtrSetImplBaseC2EPPKvRKS0_@plt>;
0x7193c33;:0;LEA	-0x510(%RBP),%RAX;
0x7193c3a;:0;MOV	%RAX,-0x520(%RBP);
0x7193c41;:0;MOV	$0x800000000,%RBX;
0x7193c4b;:0;MOV	%RBX,-0x518(%RBP);
0x7193c52;:0;CMPL	$0,-0x368(%RBP);
0x7193c59;:0;JE	7193c6e <_ZL17propagateLivenessRN4mlir6RegionERN12_GLOBAL__N_17LiveMapE+0xae>;
0x7193c5b;:0;LEA	-0x520(%RBP),%RDI;
0x7193c62;:0;LEA	-0x370(%RBP),%RSI;
0x7193c69;:0;CALL	7197d80 <_ZN4llvm15SmallVectorImplISt5tupleIJPN4mlir5BlockENS_6detail27indexed_accessor_range_baseINS2_14SuccessorRangeEPNS2_12BlockOperandES4_S4_S4_E8iteratorESB_EEEaSERKSD_>;
0x7193c6e;:0;LEA	-0x220(%RBP),%RDX;
0x7193c75;:0;LEA	-0x710(%RBP),%RSI;
0x7193c7c;:0;LEA	-0x730(%RBP),%RDI;
0x7193c83;:0;CALL	768b5c0 <_ZN4llvm19SmallPtrSetImplBaseC2EPPKvRKS0_@plt>;
0x7193c88;:0;MOV	-0x738(%RBP),%R14;
0x7193c8f;:0;LEA	-0x6c0(%RBP),%RAX;
0x7193c96;:0;MOV	%RAX,-0x6d0(%RBP);
0x7193c9d;:0;MOV	%RBX,-0x6c8(%RBP);
0x7193ca4;:0;CMPL	$0,-0x1b8(%RBP);
0x7193cab;:0;JE	7193cc0 <_ZL17propagateLivenessRN4mlir6RegionERN12_GLOBAL__N_17LiveMapE+0x100>;
0x7193cad;:0;LEA	-0x6d0(%RBP),%RDI;
0x7193cb4;:0;LEA	-0x1c0(%RBP),%RSI;
0x7193cbb;:0;CALL	7197d80 <_ZN4llvm15SmallVectorImplISt5tupleIJPN4mlir5BlockENS_6detail27indexed_accessor_range_baseINS2_14SuccessorRangeEPNS2_12BlockOperandES4_S4_S4_E8iteratorESB_EEEaSERKSD_>;
0x7193cc0;:0;LEA	0x20(%R14),%RAX;
0x7193cc4;:0;MOV	%RAX,-0x770(%RBP);
0x7193ccb;:0;LEA	0x8(%R14),%RAX;
0x7193ccf;:0;MOV	%RAX,-0x740(%RBP);
0x7193cd6;:0;NOPW	%CS:(%RAX,%RAX,1);
0x7193ce0;:0;MOV	-0x518(%RBP),%EAX;(39271) 
0x7193ce6;:0;MOV	-0x520(%RBP),%RCX;(39271) 
0x7193ced;:0;CMP	-0x6c8(%RBP),%EAX;(39271) 
0x7193cf3;:0;JNE	7193d70 <_ZL17propagateLivenessRN4mlir6RegionERN12_GLOBAL__N_17LiveMapE+0x1b0>;(39271) 
0x7193cf5;:0;MOV	-0x6d0(%RBP),%RDI;(39271) 
0x7193cfc;:0;TEST	%RAX,%RAX;(39271) 
0x7193cff;:0;JE	719436b <_ZL17propagateLivenessRN4mlir6RegionERN12_GLOBAL__N_17LiveMapE+0x7ab>;(39271) 
0x7193d05;:0;LEA	(,%RAX,8),%RDX;(39271) 
0x7193d0d;:0;LEA	(%RDX,%RDX,4),%RDX;(39271) 
0x7193d11;:0;XOR	%ESI,%ESI;(39271) 
0x7193d13;:0;NOPW	%CS:(%RAX,%RAX,1);(39271) 
0x7193d20;:0;MOV	0x20(%RCX,%RSI,1),%R8;  (39284) 
0x7193d25;:0;CMP	0x20(%RDI,%RSI,1),%R8;  (39284) 
0x7193d2a;:0;JNE	7193d70 <_ZL17propagateLivenessRN4mlir6RegionERN12_GLOBAL__N_17LiveMapE+0x1b0>;  (39284) 
0x7193d2c;:0;MOV	0x10(%RCX,%RSI,1),%R8;  (39284) 
