address;source_location;insn;indent
0x62dce0f;:0;CMPB	$0,0x14d0a92(%RIP);
0x62dce16;:0;JNE	62dd3f5 <_ZNSt17_Function_handlerIFvvEZN10tensorflow12_GLOBAL__N_113ExecutorStateINS1_21SimplePropagatorStateEE12ProcessAsyncERKNS1_8NodeItemERKNS1_15OpKernelContext6ParamsERKNS4_10TaggedNodeEPNS1_5EntryEPNS1_22NodeExecStatsInterfaceEmEUlvE1_E9_M_invokeERKSt9_Any_data+0x7e5>;
0x62dce1c;:0;MOV	0x8(%R13),%R12;
0x62dce20;:0;MOV	0x220(%R12),%RAX;
0x62dce28;:0;MOV	0x18(%RAX),%EBX;
0x62dce2b;:0;TEST	%EBX,%EBX;
0x62dce2d;:0;JG	62dce51 <_ZNSt17_Function_handlerIFvvEZN10tensorflow12_GLOBAL__N_113ExecutorStateINS1_21SimplePropagatorStateEE12ProcessAsyncERKNS1_8NodeItemERKNS1_15OpKernelContext6ParamsERKNS4_10TaggedNodeEPNS1_5EntryEPNS1_22NodeExecStatsInterfaceEmEUlvE1_E9_M_invokeERKSt9_Any_data+0x241>;
0x62dce2f;:0;JMP	62dce66 <_ZNSt17_Function_handlerIFvvEZN10tensorflow12_GLOBAL__N_113ExecutorStateINS1_21SimplePropagatorStateEE12ProcessAsyncERKNS1_8NodeItemERKNS1_15OpKernelContext6ParamsERKNS4_10TaggedNodeEPNS1_5EntryEPNS1_22NodeExecStatsInterfaceEmEUlvE1_E9_M_invokeERKSt9_Any_data+0x256>;
0x62dce40;:0;MOVL	$0,0x20(%R15);  (6689) 
0x62dce48;:0;ADD	$0x30,%R15;  (6689) 
0x62dce4c;:0;DEC	%RBX;  (6689) 
0x62dce4f;:0;JE	62dce62 <_ZNSt17_Function_handlerIFvvEZN10tensorflow12_GLOBAL__N_113ExecutorStateINS1_21SimplePropagatorStateEE12ProcessAsyncERKNS1_8NodeItemERKNS1_15OpKernelContext6ParamsERKNS4_10TaggedNodeEPNS1_5EntryEPNS1_22NodeExecStatsInterfaceEmEUlvE1_E9_M_invokeERKSt9_Any_data+0x252>;  (6689) 
0x62dce51;:0;CMPL	$0x1,0x20(%R15);  (6689) 
0x62dce56;:0;JNE	62dce40 <_ZNSt17_Function_handlerIFvvEZN10tensorflow12_GLOBAL__N_113ExecutorStateINS1_21SimplePropagatorStateEE12ProcessAsyncERKNS1_8NodeItemERKNS1_15OpKernelContext6ParamsERKNS4_10TaggedNodeEPNS1_5EntryEPNS1_22NodeExecStatsInterfaceEmEUlvE1_E9_M_invokeERKSt9_Any_data+0x230>;  (6689) 
0x62dce58;:0;MOV	%R15,%RDI;  (6689) 
0x62dce5b;:0;CALL	76326c0 <_ZN10tensorflow6TensorD1Ev@plt>;  (6689) 
0x62dce60;:0;JMP	62dce40 <_ZNSt17_Function_handlerIFvvEZN10tensorflow12_GLOBAL__N_113ExecutorStateINS1_21SimplePropagatorStateEE12ProcessAsyncERKNS1_8NodeItemERKNS1_15OpKernelContext6ParamsERKNS4_10TaggedNodeEPNS1_5EntryEPNS1_22NodeExecStatsInterfaceEmEUlvE1_E9_M_invokeERKSt9_Any_data+0x230>;  (6689) 
0x62dce62;:0;MOV	0x8(%R13),%R12;
0x62dce66;:0;MOV	-0x2f8(%RBP),%RBX;
0x62dce6d;:0;CMPB	$0,0x138(%RBX);
0x62dce74;:0;JNE	62dd333 <_ZNSt17_Function_handlerIFvvEZN10tensorflow12_GLOBAL__N_113ExecutorStateINS1_21SimplePropagatorStateEE12ProcessAsyncERKNS1_8NodeItemERKNS1_15OpKernelContext6ParamsERKNS4_10TaggedNodeEPNS1_5EntryEPNS1_22NodeExecStatsInterfaceEmEUlvE1_E9_M_invokeERKSt9_Any_data+0x723>;
0x62dce7a;:0;MOV	0x10(%R13),%RDI;
0x62dce7e;:0;TEST	%RDI,%RDI;
0x62dce81;:0;JNE	62dd39b <_ZNSt17_Function_handlerIFvvEZN10tensorflow12_GLOBAL__N_113ExecutorStateINS1_21SimplePropagatorStateEE12ProcessAsyncERKNS1_8NodeItemERKNS1_15OpKernelContext6ParamsERKNS4_10TaggedNodeEPNS1_5EntryEPNS1_22NodeExecStatsInterfaceEmEUlvE1_E9_M_invokeERKSt9_Any_data+0x78b>;
0x62dce87;:0;MOVQ	$0,-0x2e8(%RBP);
0x62dce92;:0;CMPQ	$0,-0x70(%RBP);
0x62dce97;:0;JNE	62dcebc <_ZNSt17_Function_handlerIFvvEZN10tensorflow12_GLOBAL__N_113ExecutorStateINS1_21SimplePropagatorStateEE12ProcessAsyncERKNS1_8NodeItemERKNS1_15OpKernelContext6ParamsERKNS4_10TaggedNodeEPNS1_5EntryEPNS1_22NodeExecStatsInterfaceEmEUlvE1_E9_M_invokeERKSt9_Any_data+0x2ac>;
0x62dce99;:0;LEA	0x128(%RBX),%RDI;
0x62dcea0;:0;MOV	$0x218,%ESI;
0x62dcea5;:0;ADD	0x8(%R13),%RSI;
0x62dcea9;:0;LEA	-0x160(%RBP),%RDX;
0x62dceb0;:0;LEA	-0x2e8(%RBP),%RCX;
0x62dceb7;:0;CALL	763fa10 <_ZN10tensorflow21SimplePropagatorState16PropagateOutputsERKNS0_10TaggedNodeEPN4absl12lts_2023080213InlinedVectorINS_5EntryELm4ESaIS7_EEEPNS6_IS1_Lm8ESaIS1_EEE@plt>;
0x62dcebc;:0;MOV	-0x160(%RBP),%R12;
0x62dcec3;:0;MOV	%R12,%RAX;
0x62dcec6;:0;AND	$0x1,%RAX;
