block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;flops;
72049;python3.9;ceval.c:1491-1494,object.h:408-408;1.43;1.06;;;;;;;;
20768;_tree.cpython-39-x86_64-linux-gnu.so;;1.29;0.96;;;;;;;;
20770;_tree.cpython-39-x86_64-linux-gnu.so;;0.94;0.7;;;;;;;;
72061;python3.9;ceval.c:2551-2552;0.93;0.69;;;;;;;;
72064;python3.9;ceval.c:2560-2565,object.h:408-408;0.91;0.68;;;;;;;;
72046;python3.9;ceval.c:1477-1478;0.83;0.62;;;;;;;;
72047;python3.9;ceval.c:1485-1486,object.h:408-408;0.77;0.57;;;;;;;;
20773;_tree.cpython-39-x86_64-linux-gnu.so;;0.77;0.57;;;;;;;;
76024;python3.9;typeobject.c:3255-3255;0.69;0.51;;;;;;;;
20774;_tree.cpython-39-x86_64-linux-gnu.so;;0.63;0.47;;;;;;;;
75690;python3.9;object.c:880-883;0.61;0.45;;;;;;;;
76026;python3.9;object.c:1199-1200,object.h:408-408;0.59;0.44;;;;;;;;
72056;python3.9;ceval.c:2548-2548;0.58;0.43;;;;;;;;
72060;python3.9;ceval.c:2551-2551;0.53;0.39;;;;;;;;
72043;python3.9;ceval.c:1441-1441;0.51;0.38;;;;;;;;
76047;python3.9;object.h:408-408,object.h:422-422;0.51;0.38;;;;;;;;
72141;python3.9;ceval.c:2994-2996;0.46;0.34;;;;;;;;
66470;python3.9;dictobject.c:897-900;0.43;0.32;;;;;;;;
68464;python3.9;obmalloc.c:1608-1612;0.36;0.27;;;;;;;;
75106;python3.9;dictobject.c:854-857;0.34;0.25;;;;;;;;
74140;python3.9;object.h:422-422,frameobject.c:585-585;0.34;0.25;;;;;;;;
76459;python3.9;pycore_pystate.h:55-55,call.c:359-363;0.3;0.22;;;;;;;;
68209;python3.9;typeobject.c:1431-1436;0.3;0.22;;;;;;;;
72072;python3.9;abstract.h:81-81,abstract.h:114-114;0.29;0.21;;;;;;;;
68466;python3.9;obmalloc.c:1617-1621;0.29;0.21;;;;;;;;
65665;python3.9;obmalloc.c:1608-1612;0.29;0.21;;;;;;;;
20775;_tree.cpython-39-x86_64-linux-gnu.so;;0.28;0.21;;;;;;;;
68207;python3.9;typeobject.c:1425-1426;0.28;0.2;;;;;;;;
74130;python3.9;frameobject.c:574-578;0.27;0.2;;;;;;;;
72051;python3.9;ceval.c:1499-1500,object.h:496-496;0.26;0.19;;;;;;;;
65667;python3.9;obmalloc.c:1617-1621;0.24;0.18;;;;;;;;
75630;python3.9;tupleobject.c:229-231,gcmodule.c:2241-2241;0.24;0.18;;;;;;;;
67773;python3.9;dictobject.c:897-900;0.22;0.17;;;;;;;;
66634;python3.9;object.c:2205-2209;0.21;0.15;;;;;;;;
77843;python3.9;obmalloc.c:1679-1686,typeobject.c:3952-3952;0.2;0.15;;;;;;;;
72070;python3.9;abstract.h:73-74;0.2;0.15;;;;;;;;
71756;python3.9;object.h:487-487,frameobject.c:894-895;0.2;0.15;;;;;;;;
76015;python3.9;object.c:1167-1167,object.c:1174-1174,object.c:1181-1181;0.2;0.14;;;;;;;;
72032;python3.9;ceval.c:1300-1309,ceval.c:1327-1327;0.2;0.14;;;;;;;;
77840;python3.9;obmalloc.c:1422-1422;0.19;0.14;;;;;;;;
76820;python3.9;object.c:1086-1087,object.c:1096-1096;0.18;0.14;;;;;;;;
