address;source_location;insn;indent
0x73b91d0;:0;MOV	%R13D,%EDI;
0x73b91d3;:0;MOV	$0x1,%ESI;
0x73b91d8;:0;CALL	768fbf0 <_ZN4absl12lts_2023080224synchronization_internal10MutexDelayEii@plt>;
0x73b91dd;:0;MOV	%EAX,%R13D;
0x73b91e0;:0;MOV	(%RBX),%R12;
0x73b91e3;:0;LEA	(,%R12,8),%EAX;
0x73b91eb;:0;XOR	$0x20,%EAX;
0x73b91ee;:0;AND	%R12D,%EAX;
0x73b91f1;:0;TEST	$0x28,%AL;
0x73b91f3;:0;JNE	73b9414 <_ZN4absl12lts_202308025Mutex12LockSlowLoopEPNS0_15SynchWaitParamsEi+0x2a4>;
0x73b91f9;:0;MOV	(%R14),%RAX;
0x73b91fc;:0;TEST	%R12,0x18(%RAX);
0x73b9200;:0;JE	73b92c0 <_ZN4absl12lts_202308025Mutex12LockSlowLoopEPNS0_15SynchWaitParamsEi+0x150>;
0x73b9206;:0;TEST	$0x44,%R12B;
0x73b920a;:0;JE	73b9300 <_ZN4absl12lts_202308025Mutex12LockSlowLoopEPNS0_15SynchWaitParamsEi+0x190>;
0x73b9210;:0;MOV	%R15D,%ECX;
0x73b9213;:0;AND	$0x1,%ECX;
0x73b9216;:0;CMP	$0x1,%ECX;
0x73b9219;:0;MOV	$0,%ECX;
0x73b921e;:0;SBB	%RCX,%RCX;
0x73b9221;:0;OR	$-0x21,%RCX;
0x73b9225;:0;AND	0x20(%RAX),%RCX;
0x73b9229;:0;TEST	%R12,%RCX;
0x73b922c;:0;JE	73b936e <_ZN4absl12lts_202308025Mutex12LockSlowLoopEPNS0_15SynchWaitParamsEi+0x1fe>;
0x73b9232;:0;TEST	$0x40,%R12B;
0x73b9236;:0;JNE	73b93f6 <_ZN4absl12lts_202308025Mutex12LockSlowLoopEPNS0_15SynchWaitParamsEi+0x286>;
0x73b923c;:0;XOR	%ECX,%ECX;
0x73b923e;:0;TEST	$0x1,%R15B;
0x73b9242;:0;SETE	%CL;
0x73b9245;:0;ADD	%ECX,%ECX;
0x73b9247;:0;OR	$-0x47,%RCX;
0x73b924b;:0;AND	%R12,%RCX;
0x73b924e;:0;OR	$0x44,%RCX;
0x73b9252;:0;MOV	%R12,%RAX;
0x73b9255;:0;LOCK CMPXCHG	%RCX,(%RBX);
0x73b925a;:0;JNE	73b93f6 <_ZN4absl12lts_202308025Mutex12LockSlowLoopEPNS0_15SynchWaitParamsEi+0x286>;
0x73b9260;:0;MOV	%R12,%RDI;
0x73b9263;:0;AND	$-0x100,%RDI;
0x73b926a;:0;MOV	%R14,%RSI;
0x73b926d;:0;MOV	%R12,%RDX;
0x73b9270;:0;MOV	%R15D,%ECX;
0x73b9273;:0;CALL	73b9b30 <_ZN4absl12lts_20230802L7EnqueueEPNS0_13base_internal14PerThreadSynchEPNS0_15SynchWaitParamsEli>;
0x73b9278;:0;TEST	%RAX,%RAX;
0x73b927b;:0;JE	73b9504 <_ZN4absl12lts_202308025Mutex12LockSlowLoopEPNS0_15SynchWaitParamsEi+0x394>;
0x73b9281;:0;SAL	$0x5,%R12D;
0x73b9285;:0;AND	$0x20,%R12D;
0x73b9289;:0;LEA	-0x6847a78(%RIP),%RCX;
0x73b9290;:0;CMP	%RCX,(%R14);
0x73b9293;:0;MOV	$0,%ECX;
0x73b9298;:0;CMOVNE	%RCX,%R12;
0x73b929c;:0;OR	%RAX,%R12;
0x73b929f;:0;NOP;
0x73b92a0;:0;MOV	(%RBX),%RAX;  (43829) 
0x73b92a3;:0;MOV	%EAX,%ECX;  (43829) 
0x73b92a5;:0;AND	$0xbb,%ECX;  (43829) 
0x73b92ab;:0;OR	%R12,%RCX;  (43829) 
0x73b92ae;:0;OR	$0x4,%RCX;  (43829) 
0x73b92b2;:0;LOCK CMPXCHG	%RCX,(%RBX);  (43829) 
0x73b92b7;:0;JNE	73b92a0 <_ZN4absl12lts_202308025Mutex12LockSlowLoopEPNS0_15SynchWaitParamsEi+0x130>;  (43829) 
0x73b92b9;:0;JMP	73b93e3 <_ZN4absl12lts_202308025Mutex12LockSlowLoopEPNS0_15SynchWaitParamsEi+0x273>;
0x73b92c0;:0;MOV	%R15D,%ECX;
0x73b92c3;:0;AND	$0x1,%ECX;
0x73b92c6;:0;CMP	$0x1,%ECX;
0x73b92c9;:0;MOV	$0,%ECX;
0x73b92ce;:0;SBB	%RCX,%RCX;
0x73b92d1;:0;OR	$-0x3,%RCX;
0x73b92d5;:0;AND	%R12,%RCX;
0x73b92d8;:0;OR	0x8(%RAX),%RCX;
0x73b92dc;:0;ADD	0x10(%RAX),%RCX;
0x73b92e0;:0;MOV	%R12,%RAX;
0x73b92e3;:0;LOCK CMPXCHG	%RCX,(%RBX);
0x73b92e8;:0;JE	73b93b8 <_ZN4absl12lts_202308025Mutex12LockSlowLoopEPNS0_15SynchWaitParamsEi+0x248>;
0x73b92ee;:0;JMP	73b93f6 <_ZN4absl12lts_202308025Mutex12LockSlowLoopEPNS0_15SynchWaitParamsEi+0x286>;
0x73b9300;:0;XOR	%EDI,%EDI;
0x73b9302;:0;MOV	%R14,%RSI;
0x73b9305;:0;MOV	%R12,%RDX;
0x73b9308;:0;MOV	%R15D,%ECX;
0x73b930b;:0;CALL	73b9b30 <_ZN4absl12lts_20230802L7EnqueueEPNS0_13base_internal14PerThreadSynchEPNS0_15SynchWaitParamsEli>;
0x73b9310;:0;TEST	%RAX,%RAX;
0x73b9313;:0;JE	73b94d7 <_ZN4absl12lts_202308025Mutex12LockSlowLoopEPNS0_15SynchWaitParamsEi+0x367>;
0x73b9319;:0;XOR	%ECX,%ECX;
0x73b931b;:0;TEST	$0x1,%R15B;
0x73b931f;:0;SETE	%CL;
0x73b9322;:0;LEA	0xf9(,%RCX,2),%ECX;
0x73b9329;:0;MOV	%R12D,%EDX;
0x73b932c;:0;AND	%ECX,%EDX;
0x73b932e;:0;LEA	0x4(%RDX),%RCX;
0x73b9332;:0;OR	$0x24,%RDX;
0x73b9336;:0;TEST	$0x1,%R12B;
0x73b933a;:0;CMOVE	%RCX,%RDX;
0x73b933e;:0;LEA	-0x6847b2d(%RIP),%RSI;
0x73b9345;:0;CMP	%RSI,(%R14);
0x73b9348;:0;CMOVNE	%RCX,%RDX;
0x73b934c;:0;OR	%RAX,%RDX;
0x73b934f;:0;MOV	%R12,%RAX;
0x73b9352;:0;LOCK CMPXCHG	%RDX,(%RBX);
0x73b9357;:0;JE	73b93e3 <_ZN4absl12lts_202308025Mutex12LockSlowLoopEPNS0_15SynchWaitParamsEi+0x273>;
0x73b935d;:0;MOV	0x20(%R14),%RAX;
0x73b9361;:0;MOVQ	$0,0x20(%RAX);
0x73b9369;:0;JMP	73b93f6 <_ZN4absl12lts_202308025Mutex12LockSlowLoopEPNS0_15SynchWaitParamsEi+0x286>;
0x73b936e;:0;XOR	%ECX,%ECX;
0x73b9370;:0;TEST	$0x1,%R15B;
0x73b9374;:0;SETE	%CL;
0x73b9377;:0;ADD	%ECX,%ECX;
0x73b9379;:0;OR	$-0x44,%RCX;
0x73b937d;:0;AND	%R12,%RCX;
0x73b9380;:0;OR	$0x41,%RCX;
0x73b9384;:0;MOV	%R12,%RAX;
0x73b9387;:0;LOCK CMPXCHG	%RCX,(%RBX);
0x73b938c;:0;JNE	73b93f6 <_ZN4absl12lts_202308025Mutex12LockSlowLoopEPNS0_15SynchWaitParamsEi+0x286>;
0x73b938e;:0;AND	$-0x100,%R12;
0x73b9395;:0;ADDQ	$0x100,0x28(%R12);
0x73b939e;:0;XCHG	%AX,%AX;
0x73b93a0;:0;MOV	(%RBX),%R12;  (43828) 
0x73b93a3;:0;MOV	%R12,%RCX;  (43828) 
0x73b93a6;:0;AND	$-0x42,%RCX;  (43828) 
0x73b93aa;:0;OR	$0x1,%RCX;  (43828) 
0x73b93ae;:0;MOV	%R12,%RAX;  (43828) 
0x73b93b1;:0;LOCK CMPXCHG	%RCX,(%RBX);  (43828) 
0x73b93b6;:0;JNE	73b93a0 <_ZN4absl12lts_202308025Mutex12LockSlowLoopEPNS0_15SynchWaitParamsEi+0x230>;  (43828) 
0x73b93b8;:0;MOV	0x8(%R14),%RDI;
0x73b93bc;:0;TEST	%RDI,%RDI;
0x73b93bf;:0;JE	73b9454 <_ZN4absl12lts_202308025Mutex12LockSlowLoopEPNS0_15SynchWaitParamsEi+0x2e4>;
0x73b93c5;:0;MOV	0x10(%RDI),%RAX;
0x73b93c9;:0;TEST	%RAX,%RAX;
0x73b93cc;:0;JE	73b9454 <_ZN4absl12lts_202308025Mutex12LockSlowLoopEPNS0_15SynchWaitParamsEi+0x2e4>;
0x73b93d2;:0;CALL	%RAX;
0x73b93d4;:0;TEST	%AL,%AL;
0x73b93d6;:0;JNE	73b9454 <_ZN4absl12lts_202308025Mutex12LockSlowLoopEPNS0_15SynchWaitParamsEi+0x2e4>;
0x73b93d8;:0;MOV	%RBX,%RDI;
0x73b93db;:0;MOV	%R14,%RSI;
0x73b93de;:0;CALL	768fc90 <_ZN4absl12lts_202308025Mutex10UnlockSlowEPNS0_15SynchWaitParamsE@plt>;
0x73b93e3;:0;MOV	0x20(%R14),%RSI;
0x73b93e7;:0;MOV	%RBX,%RDI;
0x73b93ea;:0;CALL	768fc20 <_ZN4absl12lts_202308025Mutex5BlockEPNS0_13base_internal14PerThreadSynchE@plt>;
0x73b93ef;:0;OR	$0x1,%R15D;
0x73b93f3;:0;XOR	%R13D,%R13D;
0x73b93f6;:0;MOV	0x20(%R14),%RAX;
0x73b93fa;:0;CMPQ	$0,0x20(%RAX);
0x73b93ff;:0;JE	73b91d0 <_ZN4absl12lts_202308025Mutex12LockSlowLoopEPNS0_15SynchWaitParamsEi+0x60>;
0x73b9405;:0;CMPB	$0,0x14(%RAX);
0x73b9409;:0;JNE	73b91d0 <_ZN4absl12lts_202308025Mutex12LockSlowLoopEPNS0_15SynchWaitParamsEi+0x60>;
0x73b9414;:0;MOV	%R12D,%EAX;
0x73b9417;:0;NOT	%EAX;
0x73b9419;:0;TEST	$0x9,%AL;
0x73b941b;:0;JE	73b9531 <_ZN4absl12lts_202308025Mutex12LockSlowLoopEPNS0_15SynchWaitParamsEi+0x3c1>;
0x73b9421;:0;MOV	%R12D,%EAX;
0x73b9424;:0;AND	$0x24,%EAX;
0x73b9427;:0;CMP	$0x20,%EAX;
0x73b942a;:0;JNE	73b91f9 <_ZN4absl12lts_202308025Mutex12LockSlowLoopEPNS0_15SynchWaitParamsEi+0x89>;
