block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;flops;
66623;libpython3.12.so.1.0;obmalloc.c:1540-1544;1.34;1.08;;;;;;;;
13337;_tree.cpython-312-x86_64-linux-gnu.so;;1.21;0.97;;;;;;;;
66621;libpython3.12.so.1.0;obmalloc.c:1531-1535;1;0.8;;;;;;;;
13339;_tree.cpython-312-x86_64-linux-gnu.so;;0.91;0.73;;;;;;;;
13342;_tree.cpython-312-x86_64-linux-gnu.so;;0.81;0.65;;;;;;;;
75183;libpython3.12.so.1.0;typeobject.c:4728-4728;0.75;0.6;;;;;;;;
66616;libpython3.12.so.1.0;obmalloc.c:859-859,pycore_pystate.h:27-27,pycore_pystate.h:118-118;0.72;0.58;;;;;;;;
128645;libpython3.12.so.1.0;ceval.c:738-738,ceval.c:762-762,bytecodes.c:169-169,pycore_frame.h:153-154;0.69;0.55;;;;;;;;
131093;libpython3.12.so.1.0;bytecodes.c:1363-1364,pycore_dict.h:135-135;0.63;0.51;;;;;;;;
13343;_tree.cpython-312-x86_64-linux-gnu.so;;0.62;0.5;;;;;;;;
131094;libpython3.12.so.1.0;object.h:644-644;0.59;0.47;;;;;;;;
66331;libpython3.12.so.1.0;obmalloc.c:1028-1029;0.59;0.47;;;;;;;;
130006;libpython3.12.so.1.0;bytecodes.c:204-204,generated_cases.c.h:107-107,object.h:644-644;0.55;0.44;;;;;;;;
130002;libpython3.12.so.1.0;bytecodes.c:192-192,generated_cases.c.h:83-83,object.h:644-644;0.54;0.43;;;;;;;;
66326;libpython3.12.so.1.0;obmalloc.c:859-859,pycore_pystate.h:27-27,pycore_pystate.h:118-118;0.47;0.38;;;;;;;;
66327;libpython3.12.so.1.0;obmalloc.c:1017-1017,obmalloc.c:1795-1795;0.45;0.37;;;;;;;;
65088;libpython3.12.so.1.0;object.h:220-220,object.c:1033-1035;0.41;0.33;;;;;;;;
129567;libpython3.12.so.1.0;bytecodes.c:1760-1760;0.39;0.31;;;;;;;;
66333;libpython3.12.so.1.0;obmalloc.c:1126-1129;0.37;0.29;;;;;;;;
74126;libpython3.12.so.1.0;typeobject.c:2130-2130,object.h:234-234;0.34;0.27;;;;;;;;
56549;libpython3.12.so.1.0;dictobject.c:1060-1062;0.29;0.23;;;;;;;;
130613;libpython3.12.so.1.0;bytecodes.c:204-204,generated_cases.c.h:168-168,object.h:644-644;0.28;0.22;;;;;;;;
13344;_tree.cpython-312-x86_64-linux-gnu.so;;0.28;0.22;;;;;;;;
75181;libpython3.12.so.1.0;typeobject.c:4725-4728,pycore_pystate.h:118-118;0.27;0.22;;;;;;;;
65368;libpython3.12.so.1.0;object.c:1428-1429;0.27;0.22;;;;;;;;
66334;libpython3.12.so.1.0;obmalloc.c:1808-1813;0.26;0.21;;;;;;;;
130581;libpython3.12.so.1.0;bytecodes.c:1358-1358,pycore_code.h:313-313,generated_cases.c.h:1834-1834;0.25;0.2;;;;;;;;
130003;libpython3.12.so.1.0;bytecodes.c:169-169,generated_cases.c.h:83-83,generated_cases.c.h:90-92;0.25;0.2;;;;;;;;
129543;libpython3.12.so.1.0;bytecodes.c:169-169,generated_cases.c.h:3062-3063;0.25;0.2;;;;;;;;
65367;libpython3.12.so.1.0;object.h:644-644;0.25;0.2;;;;;;;;
31457;libpython3.12.so.1.0;pycore_pystate.h:82-82,call.c:418-418;0.25;0.2;;;;;;;;
70877;libpython3.12.so.1.0;tupleobject.c:1148-1149,tupleobject.c:1157-1157;0.24;0.19;;;;;;;;
75184;libpython3.12.so.1.0;typeobject.c:4733-4733;0.24;0.19;;;;;;;;
130748;libpython3.12.so.1.0;bytecodes.c:1380-1381,pycore_dict.h:135-135;0.23;0.18;;;;;;;;
64580;libpython3.12.so.1.0;object.c:2197-2197,object.c:2210-2210;0.23;0.18;;;;;;;;
71284;libpython3.12.so.1.0;tupleobject.c:1181-1181,object.h:220-220;0.22;0.18;;;;;;;;
70875;libpython3.12.so.1.0;tupleobject.c:1144-1145,pycore_pystate.h:118-118;0.22;0.17;;;;;;;;
66332;libpython3.12.so.1.0;obmalloc.c:1124-1129;0.22;0.17;;;;;;;;
97;libpython3.12.so.1.0;dictobject.c:937-937;0.22;0.17;;;;;;;;
129181;libpython3.12.so.1.0;pycore_frame.h:246-246;0.21;0.17;;;;;;;;
