name;time_p;time_s;cpi_ratio;
/home/aaron/.conda/envs/python3.9.19-env/lib/python3.9/site-packages/torch/lib/libtorch_cpu.so;41.28;8.9;;
/home/aaron/.conda/envs/python3.9.19-env/bin/python3.9;33.19;7.15;;
/home/aaron/.conda/envs/python3.9.19-env/lib/python3.9/site-packages/torch/lib/libtorch_python.so;7.91;1.7;;
/usr/lib/libc.so.6;7.51;1.62;;
/home/aaron/.conda/envs/python3.9.19-env/lib/python3.9/site-packages/torch/lib/libc10.so;4.64;1;;
kernel;1.88;0.41;;
/usr/lib/ld-linux-x86-64.so.2;1.16;0.25;;
/home/aaron/.conda/envs/python3.9.19-env/lib/python3.9/site-packages/numpy/core/_multiarray_umath.cpython-39-x86_64-linux-gnu.so;1.11;0.24;;
/home/aaron/.conda/envs/python3.9.19-env/lib/libstdc++.so.6.0.29;0.81;0.18;;
/home/aaron/.conda/envs/python3.9.19-env/lib/python3.9/site-packages/PIL/_imaging.cpython-39-x86_64-linux-gnu.so;0.35;0.07;;
/usr/lib/libm.so.6;0.09;0.02;;
/home/aaron/.conda/envs/python3.9.19-env/lib/python3.9/lib-dynload/math.cpython-39-x86_64-linux-gnu.so;0.02;0;;
/home/aaron/.conda/envs/python3.9.19-env/lib/python3.9/site-packages/nvidia/cublas/lib/libcublas.so.12;0.02;0;;
/home/aaron/.conda/envs/python3.9.19-env/lib/python3.9/site-packages/triton/_C/libtriton.so;0.02;0;;
