block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;flops;
191787;libtensorflow_framework.so.2;;1.4;0.45;0.94;0.94;0.94;0;0;1;;
80092;python3.9;object.c:880-883;0.88;0.28;0.59;0.59;0.59;0;0;1;;
76345;python3.9;ceval.c:1442-1442;0.75;0.24;0.5;0.5;0.5;0;0;1;;
80443;python3.9;typeobject.c:3255-3255;0.72;0.23;0.48;0.48;0.48;0;0;1;;
76351;python3.9;ceval.c:1492-1495,object.h:408-408;0.66;0.21;0.44;0.44;0.44;0;0;1;;
76363;python3.9;ceval.c:2552-2553;0.6;0.19;0.41;0.41;0.41;0;0;1;;
244355;libtensorflow_framework.so.2;;0.59;0.19;0.4;0.4;0.4;0;0;1;;
80445;python3.9;object.c:1199-1200,object.h:408-408;0.55;0.18;0.37;0.37;0.37;0;0;1;;
76366;python3.9;ceval.c:2561-2566,object.h:408-408;0.54;0.17;0.36;0.36;0.36;0;0;1;;
76362;python3.9;ceval.c:2552-2552;0.48;0.15;0.32;0.32;0.32;0;0;1;;
80625;python3.9;descrobject.c:175-175;0.45;0.14;0.3;0.3;0.3;0;0;1;;
76445;python3.9;ceval.c:2995-2997;0.44;0.14;0.29;0.29;0.29;0;0;1;;
81022;python3.9;object.h:487-487,frameobject.c:894-895;0.4;0.13;0.27;0.27;0.27;0;0;1;;
70534;python3.9;dictobject.c:897-900;0.4;0.13;0.27;0.27;0.27;0;0;1;;
1280808;libtensorflow_framework.so.2;;0.36;0.11;0;0.02;0.08;7.6210241317749;0.024826670065522;11;;
80467;python3.9;object.h:408-408,object.h:422-422;0.35;0.11;0.23;0.23;0.23;0;0;1;;
80973;python3.9;pycore_pystate.h:55-55,call.c:359-363;0.33;0.1;0.22;0.22;0.22;0;0;1;;
84807;python3.9;abstract.h:73-74;0.32;0.1;0.21;0.21;0.21;0;0;1;;
80457;python3.9;dictobject.c:1476-1476;0.31;0.1;0.2;0.2;0.2;0;0;1;;
80439;python3.9;typeobject.c:3251-3251;0.3;0.09;0.2;0.2;0.2;0;0;1;;
78405;python3.9;frameobject.c:574-578;0.28;0.09;0.19;0.19;0.19;0;0;1;;
73227;python3.9;gcmodule.c:108-108,gcmodule.c:413-413;0.28;0.09;0.18;0.18;0.18;0;0;1;;
76348;python3.9;ceval.c:1478-1479;0.25;0.08;0.17;0.17;0.17;0;0;1;;
245039;libtensorflow_framework.so.2;;0.25;0.08;0.17;0.17;0.17;0;0;1;;
76076;python3.9;object.h:487-487,frameobject.c:894-895;0.24;0.08;0.16;0.16;0.16;0;0;1;;
71899;python3.9;dictobject.c:897-900;0.24;0.08;0.16;0.16;0.16;0;0;1;;
244520;libtensorflow_framework.so.2;;0.22;0.07;0.15;0.15;0.15;0;0;1;;
1280821;libtensorflow_framework.so.2;;0.22;0.07;0;0.04;0.09;23.903665542603;0.039475731551647;4;;
