block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;flops;
50083;libpython3.12.so.1.0;listobject.c:255-256;40.57;7.65;7.65;7.65;7.65;0;0;1;;
176421;libpython3.12.so.1.0;pycore_object.h:331-331,object.h:220-220;5.03;0.95;0.95;0.95;0.95;0;0;1;;
176431;libpython3.12.so.1.0;pycore_object.h:331-331,object.h:220-220;4.92;0.93;0.93;0.93;0.93;0;0;1;;
50079;libpython3.12.so.1.0;object.h:967-967,listobject.c:245-246;3.6;0.68;0.68;0.68;0.68;0;0;1;;
48069;libpython3.12.so.1.0;listobject.c:2705-2705;2.7;0.51;0.51;0.51;0.51;0;0;1;;
48449;libpython3.12.so.1.0;object.h:243-243,object.h:701-701;2.3;0.43;0.43;0.43;0.43;0;0;1;;
50081;libpython3.12.so.1.0;listobject.c:250-250;2.17;0.41;0.41;0.41;0.41;0;0;1;;
45032;libpython3.12.so.1.0;floatobject.c:345-345;1.75;0.33;0.33;0.33;0.33;0;0;1;;
645;al_dense_c_extension_lib.cpython-312-x86_64-linux-gnu.so;al_dense_c_extension_lib.c:434-437;1.75;0.33;0.33;0.33;0.33;0;0;1;;
44279;libpython3.12.so.1.0;floatobject.c:136-137,pycore_pystate.h:118-118;1.56;0.29;0.29;0.29;0.29;0;0;1;;
45009;libpython3.12.so.1.0;floatobject.c:290-295;1.46;0.27;0.27;0.27;0.27;0;0;1;;
66623;libpython3.12.so.1.0;obmalloc.c:1540-1544;1.27;0.24;0.24;0.24;0.24;0;0;1;;
66621;libpython3.12.so.1.0;obmalloc.c:1531-1535;1.22;0.23;0.23;0.23;0.23;0;0;1;;
650;al_dense_c_extension_lib.cpython-312-x86_64-linux-gnu.so;al_dense_c_extension_lib.c:433-437;1.11;0.21;0.21;0.21;0.21;0;0;1;;
66331;libpython3.12.so.1.0;obmalloc.c:1028-1029;0.9;0.17;0.17;0.17;0.17;0;0;1;;
45011;libpython3.12.so.1.0;floatobject.c:295-295,object.h:220-220,object.h:382-382;0.9;0.17;0.17;0.17;0.17;0;0;1;;
66333;libpython3.12.so.1.0;obmalloc.c:1126-1129;0.87;0.16;0.16;0.16;0.16;0;0;1;;
66327;libpython3.12.so.1.0;obmalloc.c:1017-1017,obmalloc.c:1795-1795;0.64;0.12;0.12;0.12;0.12;0;0;1;;
66616;libpython3.12.so.1.0;obmalloc.c:859-859,pycore_pystate.h:27-27,pycore_pystate.h:118-118;0.5;0.09;0.09;0.09;0.09;0;0;1;;
66635;libpython3.12.so.1.0;obmalloc.c:1359-1362;0.42;0.08;0.08;0.08;0.08;0;0;1;;
48444;libpython3.12.so.1.0;object.h:798-798,listobject.c:356-356;0.42;0.08;0.08;0.08;0.08;0;0;1;;
48071;libpython3.12.so.1.0;listobject.c:2705-2705;0.4;0.07;0.07;0.07;0.07;0;0;1;;
66326;libpython3.12.so.1.0;obmalloc.c:859-859,pycore_pystate.h:27-27,pycore_pystate.h:118-118;0.4;0.07;0.07;0.07;0.07;0;0;1;;
66625;libpython3.12.so.1.0;obmalloc.c:1574-1574;0.37;0.07;0.07;0.07;0.07;0;0;1;;
643;al_dense_c_extension_lib.cpython-312-x86_64-linux-gnu.so;al_dense_c_extension_lib.c:435-437;0.34;0.06;0.06;0.06;0.06;0;0;1;;
176432;libpython3.12.so.1.0;gcmodule.c:556-556;0.32;0.06;0.06;0.06;0.06;0;0;1;;
66332;libpython3.12.so.1.0;obmalloc.c:1124-1129;0.32;0.06;0.06;0.06;0.06;0;0;1;;
646;al_dense_c_extension_lib.cpython-312-x86_64-linux-gnu.so;al_dense_c_extension_lib.c:434-435;0.32;0.06;0.06;0.06;0.06;0;0;1;;
649;al_dense_c_extension_lib.cpython-312-x86_64-linux-gnu.so;al_dense_c_extension_lib.c:437-437;0.29;0.05;0.05;0.05;0.05;0;0;1;;
66325;libpython3.12.so.1.0;obmalloc.c:1844-1844,pycore_pystate.h:118-118;0.26;0.05;0.05;0.05;0.05;0;0;1;;
64580;libpython3.12.so.1.0;object.c:2197-2197,object.c:2210-2210;0.26;0.05;0.05;0.05;0.05;0;0;1;;
43967;libpython3.12.so.1.0;floatobject.c:260-260,pycore_pystate.h:118-118;0.26;0.05;0.05;0.05;0.05;0;0;1;;
648;al_dense_c_extension_lib.cpython-312-x86_64-linux-gnu.so;al_dense_c_extension_lib.c:435-437;0.26;0.05;0.05;0.05;0.05;0;0;1;;
641;al_dense_c_extension_lib.cpython-312-x86_64-linux-gnu.so;al_dense_c_extension_lib.c:434-435;0.24;0.04;0.04;0.04;0.04;0;0;1;;
176422;libpython3.12.so.1.0;gcmodule.c:476-476;0.21;0.04;0.04;0.04;0.04;0;0;1;;
50307;libpython3.12.so.1.0;longobject.c:3283-3283;0.21;0.04;0.04;0.04;0.04;0;0;1;;
44278;libpython3.12.so.1.0;floatobject.c:132-132,pycore_pystate.h:118-118;0.21;0.04;0.04;0.04;0.04;0;0;1;;
43964;libpython3.12.so.1.0;floatobject.c:275-275,pycore_pystate.h:118-118;0.21;0.04;0.04;0.04;0.04;0;0;1;;
66334;libpython3.12.so.1.0;obmalloc.c:1808-1813;0.21;0.04;0.04;0.04;0.04;0;0;1;;
129853;libpython3.12.so.1.0;pycore_list.h:53-53,listobject.h:44-44;0.19;0.03;0.03;0.03;0.03;0;0;1;;
66615;libpython3.12.so.1.0;obmalloc.c:1562-1562,pycore_pystate.h:118-118;0.19;0.03;0.03;0.03;0.03;0;0;1;;
64578;libpython3.12.so.1.0;object.c:2193-2193,object.c:2205-2205;0.19;0.03;0.03;0.03;0.03;0;0;1;;
50092;libpython3.12.so.1.0;listobject.c:268-268;0.19;0.03;0.03;0.03;0.03;0;0;1;;
633;al_dense_c_extension_lib.cpython-312-x86_64-linux-gnu.so;al_dense_c_extension_lib.c:434-434;0.16;0.03;0.03;0.03;0.03;0;0;1;;
403;al_dense_c_extension_lib.cpython-312-x86_64-linux-gnu.so;al_dense_c_extension_lib.c:49-54;0.16;0.03;0.03;0.03;0.03;0;0;1;;
50094;libpython3.12.so.1.0;object.h:798-798,listobject.c:274-275;0.16;0.03;0.03;0.03;0.03;0;0;1;;
129530;libpython3.12.so.1.0;bytecodes.c:2157-2157,generated_cases.c.h:3032-3032,generated_cases.c.h:3038-3038;0.13;0.02;0.02;0.02;0.02;0;0;1;;
66617;libpython3.12.so.1.0;obmalloc.c:1527-1527;0.13;0.02;0.02;0.02;0.02;0;0;1;;
66435;libpython3.12.so.1.0;obmalloc.c:828-830;0.13;0.02;0.02;0.02;0.02;0;0;1;;
130006;libpython3.12.so.1.0;bytecodes.c:204-204,generated_cases.c.h:107-107,object.h:644-644;0.11;0.02;0.02;0.02;0.02;0;0;1;;
129546;libpython3.12.so.1.0;bytecodes.c:2424-2427;0.11;0.02;0.02;0.02;0.02;0;0;1;;
66338;libpython3.12.so.1.0;obmalloc.c:1856-1856;0.11;0.02;0.02;0.02;0.02;0;0;1;;
66341;libpython3.12.so.1.0;obmalloc.c:1129-1129;0.11;0.02;0.02;0.02;0.02;0;0;1;;
50308;libpython3.12.so.1.0;longobject.c:3293-3293;0.11;0.02;0.02;0.02;0.02;0;0;1;;
130023;libpython3.12.so.1.0;bytecodes.c:209-209;0.08;0.01;0.01;0.01;0.01;0;0;1;;
130024;libpython3.12.so.1.0;bytecodes.c:209-209;0.08;0.01;0.01;0.01;0.01;0;0;1;;
129851;libpython3.12.so.1.0;pycore_list.h:51-51,generated_cases.c.h:735-737,object.h:234-234;0.08;0.01;0.01;0.01;0.01;0;0;1;;
130007;libpython3.12.so.1.0;bytecodes.c:169-169,generated_cases.c.h:107-107,generated_cases.c.h:114-116;0.08;0.01;0.01;0.01;0.01;0;0;1;;
130020;libpython3.12.so.1.0;bytecodes.c:209-209,generated_cases.c.h:119-120;0.08;0.01;0.01;0.01;0.01;0;0;1;;
66336;libpython3.12.so.1.0;obmalloc.c:1827-1827;0.08;0.01;0.01;0.01;0.01;0;0;1;;
51670;libpython3.12.so.1.0;longobject.c:296-296,longobject.c:302-302;0.08;0.01;0.01;0.01;0.01;0;0;1;;
50099;libpython3.12.so.1.0;listobject.c:277-277;0.08;0.01;0.01;0.01;0.01;0;0;1;;
129544;libpython3.12.so.1.0;bytecodes.c:2415-2415,generated_cases.c.h:3399-3400;0.05;0.01;0.01;0.01;0.01;0;0;1;;
129545;libpython3.12.so.1.0;bytecodes.c:2417-2417;0.05;0.01;0.01;0.01;0.01;0;0;1;;
130021;libpython3.12.so.1.0;bytecodes.c:169-169,generated_cases.c.h:119-125;0.05;0.01;0.01;0.01;0.01;0;0;1;;
130022;libpython3.12.so.1.0;bytecodes.c:209-209,object.h:243-243;0.05;0.01;0.01;0.01;0.01;0;0;1;;
66548;libpython3.12.so.1.0;obmalloc.c:1449-1458;0.05;0.01;0.01;0.01;0.01;0;0;1;;
66421;libpython3.12.so.1.0;obmalloc.c:801-801;0.05;0.01;0.01;0.01;0.01;0;0;1;;
51692;libpython3.12.so.1.0;longobject.c:218-218,longobject.c:331-331;0.05;0.01;0.01;0.01;0.01;0;0;1;;
50310;libpython3.12.so.1.0;longobject.c:3285-3285,longintrepr.h:121-122;0.05;0.01;0.01;0.01;0.01;0;0;1;;
44283;libpython3.12.so.1.0;pycore_object.h:170-170;0.05;0.01;0.01;0.01;0.01;0;0;1;;
500;al_dense_c_extension_lib.cpython-312-x86_64-linux-gnu.so;al_dense_c_extension_lib.c:80-84;0.05;0.01;0.01;0.01;0.01;0;0;1;;
391;al_dense_c_extension_lib.cpython-312-x86_64-linux-gnu.so;al_dense_c_extension_lib.c:50-50;0.05;0.01;0.01;0.01;0.01;0;0;1;;
362;al_dense_c_extension_lib.cpython-312-x86_64-linux-gnu.so;al_dense_c_extension_lib.c:109-114;0.05;0.01;0.01;0.01;0.01;0;0;1;;
321;al_dense_c_extension_lib.cpython-312-x86_64-linux-gnu.so;al_dense_c_extension_lib.c:142-147;0.05;0.01;0.01;0.01;0.01;0;0;1;;
644;al_dense_c_extension_lib.cpython-312-x86_64-linux-gnu.so;al_dense_c_extension_lib.c:433-437;0.05;0.01;0.01;0.01;0.01;0;0;1;;
365;al_dense_c_extension_lib.cpython-312-x86_64-linux-gnu.so;al_dense_c_extension_lib.c:110-111;0.05;0.01;0.01;0.01;0.01;0;0;1;;
129854;libpython3.12.so.1.0;bytecodes.c:169-169,generated_cases.c.h:741-743;0.03;0;0;0;0;0;0;1;;
131284;libpython3.12.so.1.0;bytecodes.c:169-169,generated_cases.c.h:3421-3424;0.03;0;0;0;0;0;0;1;;
66636;libpython3.12.so.1.0;obmalloc.c:1368-1370,obmalloc.c:1565-1565;0.03;0;0;0;0;0;0;1;;
66510;libpython3.12.so.1.0;obmalloc.c:1378-1382;0.03;0;0;0;0;0;0;1;;
66335;libpython3.12.so.1.0;obmalloc.c:1604-1611,obmalloc.c:1821-1821;0.03;0;0;0;0;0;0;1;;
