block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;flops;
75183;libpython3.12.so.1.0;typeobject.c:4728-4728;0.5;0.11;0.11;0.11;0.11;0;0;1;;
131093;libpython3.12.so.1.0;bytecodes.c:1363-1364,pycore_dict.h:135-135;0.43;0.1;0.1;0.1;0.1;0;0;1;;
66623;libpython3.12.so.1.0;obmalloc.c:1540-1544;0.43;0.1;0.1;0.1;0.1;0;0;1;;
65088;libpython3.12.so.1.0;object.h:220-220,object.c:1033-1035;0.43;0.1;0.1;0.1;0.1;0;0;1;;
49;libpython3.12.so.1.0;dictobject.c:937-937;0.37;0.08;0.08;0.08;0.08;0;0;1;;
128645;libpython3.12.so.1.0;ceval.c:738-738,ceval.c:762-762,bytecodes.c:169-169,pycore_frame.h:153-154;0.32;0.07;0.07;0.07;0.07;0;0;1;;
130006;libpython3.12.so.1.0;bytecodes.c:204-204,generated_cases.c.h:107-107,object.h:644-644;0.3;0.07;0.07;0.07;0.07;0;0;1;;
66621;libpython3.12.so.1.0;obmalloc.c:1531-1535;0.28;0.06;0.06;0.06;0.06;0;0;1;;
176421;libpython3.12.so.1.0;pycore_object.h:331-331,object.h:220-220;0.26;0.06;0.06;0.06;0.06;0;0;1;;
130189;libpython3.12.so.1.0;bytecodes.c:1829-1830,pycore_dict.h:135-135;0.26;0.06;0.06;0.06;0.06;0;0;1;;
73530;libpython3.12.so.1.0;typeobject.c:229-229,typeobject.c:239-239,pycore_pystate.h:118-118;0.26;0.06;0.06;0.06;0.06;0;0;1;;
131094;libpython3.12.so.1.0;object.h:644-644;0.24;0.05;0.05;0.05;0.05;0;0;1;;
176598;libpython3.12.so.1.0;gcmodule.c:430-430,pycore_gc.h:59-60,pycore_gc.h:68-68,object.h:243-243;0.24;0.05;0.05;0.05;0.05;0;0;1;;
130190;libpython3.12.so.1.0;object.h:644-644;0.24;0.05;0.05;0.05;0.05;0;0;1;;
65368;libpython3.12.so.1.0;object.c:1428-1429;0.24;0.05;0.05;0.05;0.05;0;0;1;;
