loop_id;module;function_name;function_id;source_info;level;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;flops;
38032;libtensorflow_framework.so.2;Eigen::ThreadPoolTempl<tsl::thread::EigenEnvironment>::WorkerLoop(int);50190;;Innermost;1.24;0.26;;;;;;;;
6783;libtensorflow_framework.so.2;tensorflow::SimplePropagatorState::PropagateOutputs(tensorflow::SimplePropagatorState::TaggedNode const&, absl::lts_20230802::InlinedVector<tensorflow::Entry, 4ul, std::allocator<tensorflow::Entry> >*, absl::lts_20230802::InlinedVector<tensorflow::SimplePropagatorState::TaggedNode, 8ul, std::allocator<tensorflow::SimplePropagatorState::TaggedNode> >*);5346;;Single;0.74;0.16;;;;;;;;
6660;libtensorflow_framework.so.2;tensorflow::(anonymous namespace)::ExecutorState<tensorflow::SimplePropagatorState>::ScheduleReady(absl::lts_20230802::InlinedVector<tensorflow::SimplePropagatorState::TaggedNode, 8ul, std::allocator<tensorflow::SimplePropagatorState::TaggedNode> >*, tensorflow::SimplePropagatorState::TaggedNodeReadyQueue*);5243;;Single;0.52;0.11;;;;;;;;
6665;libtensorflow_framework.so.2;tensorflow::(anonymous namespace)::ExecutorState<tensorflow::SimplePropagatorState>::Process(tensorflow::SimplePropagatorState::TaggedNode const&, long);5244;;Outermost;0.52;0.11;;;;;;;;
6662;libtensorflow_framework.so.2;tensorflow::(anonymous namespace)::ExecutorState<tensorflow::SimplePropagatorState>::Process(tensorflow::SimplePropagatorState::TaggedNode const&, long);5244;;InBetween;0.4;0.08;;;;;;;;
9850;libtensorflow_framework.so.2;tensorflow::OpKernelContext::set_output(int, tensorflow::Tensor const&);8282;;Single;0.31;0.06;;;;;;;;
9847;libtensorflow_framework.so.2;tensorflow::OpKernelContext::forward_input_or_allocate_output(absl::lts_20230802::Span<int const>, int, tensorflow::TensorShape const&, tensorflow::Tensor**, int*);8256;;Single;0.31;0.06;;;;;;;;
6692;libtensorflow_framework.so.2;tensorflow::(anonymous namespace)::ExecutorState<tensorflow::SimplePropagatorState>::ProcessOutputs(tensorflow::NodeItem const&, tensorflow::OpKernelContext*, tensorflow::Entry*, tensorflow::NodeExecStatsInterface*);5272;;Single;0.29;0.06;;;;;;;;
6666;libtensorflow_framework.so.2;tensorflow::(anonymous namespace)::ExecutorState<tensorflow::SimplePropagatorState>::Process(tensorflow::SimplePropagatorState::TaggedNode const&, long);5244;;Innermost;0.19;0.04;;;;;;;;
7935;libtensorflow_framework.so.2;tensorflow::MklCPUAllocator::DeallocateRaw(void*);6338;;Single;0.17;0.04;;;;;;;;
38031;libtensorflow_framework.so.2;Eigen::ThreadPoolTempl<tsl::thread::EigenEnvironment>::WorkerLoop(int);50190;;Outermost;0.14;0.03;;;;;;;;
6782;libtensorflow_framework.so.2;tensorflow::SimplePropagatorState::PropagateOutputs(tensorflow::SimplePropagatorState::TaggedNode const&, absl::lts_20230802::InlinedVector<tensorflow::Entry, 4ul, std::allocator<tensorflow::Entry> >*, absl::lts_20230802::InlinedVector<tensorflow::SimplePropagatorState::TaggedNode, 8ul, std::allocator<tensorflow::SimplePropagatorState::TaggedNode> >*);5346;;Single;0.12;0.03;;;;;;;;
6664;libtensorflow_framework.so.2;tensorflow::(anonymous namespace)::ExecutorState<tensorflow::SimplePropagatorState>::Process(tensorflow::SimplePropagatorState::TaggedNode const&, long);5244;;Innermost;0.1;0.02;;;;;;;;
6658;libtensorflow_framework.so.2;tensorflow::(anonymous namespace)::ExecutorState<tensorflow::SimplePropagatorState>::ScheduleReady(absl::lts_20230802::InlinedVector<tensorflow::SimplePropagatorState::TaggedNode, 8ul, std::allocator<tensorflow::SimplePropagatorState::TaggedNode> >*, tensorflow::SimplePropagatorState::TaggedNodeReadyQueue*);5243;;Single;0.05;0.01;;;;;;;;
9843;libtensorflow_framework.so.2;tensorflow::OpKernelContext::~OpKernelContext();8235;;Single;0.05;0.01;;;;;;;;
25524;libtensorflow_framework.so.2;tsl::BFCAllocator::FindChunkPtr(int, unsigned long, unsigned long, unsigned long);32688;;Outermost;0.05;0.01;;;;;;;;
16211;libtensorflow_framework.so.2;tsl::histogram::ThreadSafeHistogram::Add(double);12763;;Single;0.05;0.01;;;;;;;;
9849;libtensorflow_framework.so.2;tensorflow::OpKernelContext::allocate_temp(tensorflow::DataType, tensorflow::TensorShape const&, tensorflow::Tensor*, tsl::AllocatorAttributes, tsl::AllocationAttributes const&);8278;;Single;0.05;0.01;;;;;;;;
5512;libtensorflow_framework.so.2;std::_Function_handler<void (absl::lts_20230802::Status const&), tensorflow::ProcessFunctionLibraryRuntime::RunMultiDeviceAsync(tensorflow::FunctionLibraryRuntime::Options const&, unsigned long, std::vector<std::variant<tensorflow::Tensor, tensorflow::TensorShape>, std::allocator<std::variant<tensorflow::Tensor, tensorflow::TensorShape> > >*, std::vector<std::unique_ptr<tensorflow::ProcessFunctionLibraryRuntime::CleanUpItem, std::default_delete<tensorflow::ProcessFunctionLibraryRuntime::CleanUpItem> >, std::allocator<std::unique_ptr<tensorflow::ProcessFunctionLibraryRuntime::CleanUpItem, std::default_delete<tensorflow::ProcessFunctionLibraryRuntime::CleanUpItem> > > >*, std::function<void (absl::lts_20230802::Status const&)>, std::function<absl::lts_20230802::Status (tensorflow::ProcessFunctionLibraryRuntime::ComponentFunctionData const&, tensorflow::ProcessFunctionLibraryRuntime::InternalArgs*)>) const::$_1>::_M_invoke(std::_Any_data const&, absl::lts_20230802::Status const&);4604;;Innermost;0.05;0.01;;;;;;;;
36008;libtensorflow_framework.so.2;tensorflow::BCastList<2>::BCastList(absl::lts_20230802::InlinedVector<long, 4ul, std::allocator<long> > const (&) [2], bool, bool);48170;;Outermost;0.02;0;;;;;;;;
25525;libtensorflow_framework.so.2;tsl::BFCAllocator::FindChunkPtr(int, unsigned long, unsigned long, unsigned long);32688;;Innermost;0.02;0;;;;;;;;
6663;libtensorflow_framework.so.2;tensorflow::(anonymous namespace)::ExecutorState<tensorflow::SimplePropagatorState>::Process(tensorflow::SimplePropagatorState::TaggedNode const&, long);5244;;Innermost;0.02;0;;;;;;;;
148;libtensorflow_framework.so.2;tensorflow::Tensor* std::__uninitialized_copy<false>::__uninit_copy<tensorflow::Tensor const*, tensorflow::Tensor*>(tensorflow::Tensor const*, tensorflow::Tensor const*, tensorflow::Tensor*);435;;Single;0.02;0;;;;;;;;
38048;libtensorflow_framework.so.2;tsl::Hash64(char const*, unsigned long, unsigned long);50229;;Single;0.02;0;;;;;;;;
