block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;flops;
92564;python3.12;object.h:644-644;1.26;0.26;;;;;;;;
92467;python3.12;generated_cases.c.h:3675-3675,pycore_frame.h:153-154,ceval.c:738-738,ceval.c:762-762;1.03;0.22;;;;;;;;
92563;python3.12;bytecodes.c:1363-1364,pycore_dict.h:135-135;0.93;0.19;;;;;;;;
92964;python3.12;bytecodes.c:1829-1830,pycore_dict.h:135-135;0.74;0.15;;;;;;;;
93474;python3.12;bytecodes.c:1905-1907,pycore_frame.h:246-246;0.72;0.15;;;;;;;;
92965;python3.12;object.h:644-644;0.67;0.14;;;;;;;;
81952;python3.12;dictobject.c:1059-1062;0.67;0.14;;;;;;;;
92657;python3.12;bytecodes.c:2772-2772,pycore_frame.h:246-246;0.64;0.13;;;;;;;;
1280821;libtensorflow_framework.so.2;;0.52;0.11;;;;;;;;
92796;python3.12;object.h:644-644;0.52;0.11;;;;;;;;
92504;python3.12;object.h:644-644,generated_cases.c.h:107-107,bytecodes.c:204-204;0.5;0.11;;;;;;;;
92963;python3.12;bytecodes.c:1825-1825;0.48;0.1;;;;;;;;
96491;python3.12;pycore_gc.h:60-60,pycore_gc.h:68-68,object.h:243-243,gcmodule.c:430-430;0.48;0.1;;;;;;;;
98182;python3.12;pycore_object.h:331-331,object.h:220-220;0.45;0.09;;;;;;;;
96419;python3.12;pycore_gc.h:60-60,gcmodule.c:322-323;0.45;0.09;;;;;;;;
92468;python3.12;object.h:644-644,generated_cases.c.h:83-83,bytecodes.c:192-192;0.43;0.09;;;;;;;;
102753;python3.12;pycore_pystate.h:82-82,methodobject.c:518-518,methodobject.c:525-525,methodobject.h:55-55;0.43;0.09;;;;;;;;
92680;python3.12;bytecodes.c:1767-1770;0.38;0.08;;;;;;;;
89977;python3.12;object.c:1033-1035,object.h:220-220;0.38;0.08;;;;;;;;
81961;python3.12;dictobject.c:934-937;0.38;0.08;;;;;;;;
92656;python3.12;bytecodes.c:2770-2771;0.36;0.08;;;;;;;;
96079;python3.12;pycore_gc.h:59-60,gcmodule.c:651-651;0.36;0.08;;;;;;;;
1280965;libtensorflow_framework.so.2;;0.33;0.07;;;;;;;;
92494;python3.12;object.h:644-644;0.33;0.07;;;;;;;;
