address;source_location;insn;indent
0x39870;:0;PUSH	%R15;
0x39872;:0;LEA	0x462ef(%RIP),%RAX;
0x39879;:0;PXOR	%XMM0,%XMM0;
0x3987d;:0;PUSH	%R14;
0x3987f;:0;MOVQ	%RAX,%XMM1;
0x39884;:0;PUSH	%R13;
0x39886;:0;PUSH	%R12;
0x39888;:0;MOV	%RCX,%R12;
0x3988b;:0;LEA	0x820(%RAX),%RCX;
0x39892;:0;PUSH	%RBP;
0x39893;:0;PUSH	%RBX;
0x39894;:0;MOV	%RDX,%RBX;
0x39897;:0;SUB	$0x6e8,%RSP;
0x3989e;:0;MOVAPS	%XMM0,0x20(%RSP);
0x398a3;:0;MOVAPS	%XMM0,0x30(%RSP);
0x398a8;:0;MOVQ	%RCX,%XMM0;
0x398ad;:0;PUNPCKLQDQ	%XMM1,%XMM0;
0x398b1;:0;MOV	%RDI,0x8(%RSP);
0x398b6;:0;LEA	0x8a8(%RAX),%RDI;
0x398bd;:0;ADD	$0x718,%RAX;
0x398c3;:0;MOVQ	%RAX,%XMM2;
0x398c8;:0;MOVAPS	%XMM0,0x460(%RSP);
0x398d0;:0;MOVQ	%RDI,%XMM0;
0x398d5;:0;SUB	$0x218,%RAX;
0x398db;:0;PUNPCKLQDQ	%XMM2,%XMM0;
0x398df;:0;MOV	%RAX,0x480(%RSP);
0x398e7;:0;MOVQ	$0,0x40(%RSP);
0x398f0;:0;MOVQ	$0,0x488(%RSP);
0x398fc;:0;MOVAPS	%XMM0,0x470(%RSP);
0x39904;:0;TEST	%R12,%R12;
0x39907;:0;JE	3a610 <_ZL61__pyx_pw_7sklearn_4tree_5_tree_21DepthFirstTreeBuilder_3buildP7_objectPKS0_lS0_+0xda0>;
0x3990d;:0;LEA	(%RSI,%RDX,8),%R13;
0x39911;:0;CMP	$0x5,%RDX;
0x39915;:0;JA	3a62e <_ZL61__pyx_pw_7sklearn_4tree_5_tree_21DepthFirstTreeBuilder_3buildP7_objectPKS0_lS0_+0xdbe>;
0x3991b;:0;LEA	0x36c9a(%RIP),%RDX;
0x39922;:0;MOVSXD	(%RDX,%RBX,4),%RAX;
0x39926;:0;ADD	%RDX,%RAX;
0x39929;:0;JMP	%RAX;
0x3992b;:0;NOPL	(%RAX,%RAX,1);
0x39930;:0;MOV	0x20(%RSI),%RAX;
