function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;cats;label_name;flops;
1401;libpython3.12.so.1.0;PyList_GetItem;object.h:967-967,listobject.c:245-256;46.34;8.74;;;;;;;"0,0,0,0,0,0,0,0,0,0,0,100";PyList_GetItem;;
4423;libpython3.12.so.1.0;visit_reachable;pycore_object.h:331-332,gcmodule.c:92-92,gcmodule.c:98-99,gcmodule.c:250-250,gcmodule.c:258-258,gcmodule.c:500-505,gcmodule.c:512-512,gcmodule.c:519-519,gcmodule.c:529-534,gcmodule.c:540-540,gcmodule.c:556-556,pycore_gc.h:63-68,pycore_gc.h:74-74,object.h:220-220;5.24;0.99;;;;;;;"0,0,0,0,0,0,0,0,0,0,0,100";visit_reachable;;
4422;libpython3.12.so.1.0;visit_decref;pycore_object.h:331-332,gcmodule.c:80-80,gcmodule.c:116-116,gcmodule.c:462-462,gcmodule.c:471-476,object.h:220-220;5.24;0.99;;;;;;;"0,0,0,0,0,0,0,0,0,0,0,100";visit_decref;;
10;al_dense_c_extension_lib.cpython-312-x86_64-linux-gnu.so;matrix_multiply;al_dense_c_extension_lib.c:358-441,al_dense_c_extension_lib.c:447-454,object.h:220-220,object.h:242-242,object.h:700-705,object.h:966-966;4.53;0.85;;;;;;;"0,0,0,0,0,0,0,0,0,0,100,0";matrix_multiply;;
-1;al_dense_c_extension_lib.cpython-312-x86_64-linux-gnu.so;unknown_function;;4.29;0.81;;;;;;;"0,0,0,0,0,0,0,0,0,0,100,0";Unknown function;;
1964;libpython3.12.so.1.0;_PyObject_Malloc;obmalloc.c:858-859,obmalloc.c:870-870,obmalloc.c:1357-1362,obmalloc.c:1368-1370,obmalloc.c:1527-1544,obmalloc.c:1553-1553,obmalloc.c:1562-1574,pycore_pystate.h:27-27,pycore_pystate.h:39-40,pycore_pystate.h:118-118,pycore_runtime.h:204-204;4.13;0.78;;;;;;;"0,0,0,0,0,0,0,0,0,0,0,100";_PyObject_Malloc;;
1200;libpython3.12.so.1.0;PyFloat_AsDouble;floatobject.c:290-297,floatobject.c:304-326,floatobject.c:332-332,floatobject.c:345-345,floatobject.h:16-16,object.h:220-220,object.h:243-243,object.h:382-382,object.h:701-706;4.13;0.78;;;;;;;"0,0,0,0,0,0,0,0,0,0,0,100";PyFloat_AsDouble;;
1943;libpython3.12.so.1.0;_PyObject_Free;obmalloc.c:858-859,obmalloc.c:870-870,obmalloc.c:1017-1017,obmalloc.c:1028-1029,obmalloc.c:1124-1129,obmalloc.c:1604-1611,obmalloc.c:1617-1633,obmalloc.c:1640-1644,obmalloc.c:1663-1663,obmalloc.c:1674-1675,obmalloc.c:1681-1687,obmalloc.c:1693-1710,obmalloc.c:1716-1723,obmalloc.c:1737-1741,obmalloc.c:1755-1772,obmalloc.c:1795-1795,obmalloc.c:1808-1813,obmalloc.c:1821-1821,obmalloc.c:1827-1827,obmalloc.c:1844-1846,obmalloc.c:1853-1856,pycore_pystate.h:27-27,pycore_pystate.h:39-40,pycore_pystate.h:118-118,pycore_runtime.h:204-204;3.97;0.75;;;;;;;"0,0,0,0,0,0,0,0,0,0,0,100";_PyObject_Free;;
1347;libpython3.12.so.1.0;list_traverse;listobject.c:2701-2707;3.1;0.58;;;;;;;"0,0,0,0,0,0,0,0,0,0,0,100";list_traverse;;
1370;libpython3.12.so.1.0;list_dealloc;pycore_pystate.h:118-118,object.h:220-220,object.h:243-243,object.h:701-706,object.h:798-798,listobject.c:345-349,listobject.c:355-358,listobject.c:366-376;2.78;0.52;;;;;;;"0,0,0,0,0,0,0,0,0,0,0,100";list_dealloc;;
