address;source_location;insn;indent
0x6ddba;/usr/local/src/conda/python-3.9.19/Python/structmember.c:114;CMPQ	$0,(%RDI);
0x6ddbe;:0;JNE	14df58 <PyMember_SetOne+0xe8>;
0x6ddc4;/usr/local/src/conda/python-3.9.19/Python/structmember.c:115;MOV	(%RSI),%RSI;
0x6ddc7;/usr/local/src/conda/python-3.9.19/Python/structmember.c:115;MOV	0x346dca(%RIP),%RDI;
0x6ddce;/usr/local/src/conda/python-3.9.19/Python/structmember.c:115;CALL	18b430 <PyErr_SetString>;
0x6ddd3;/usr/local/src/conda/python-3.9.19/Python/structmember.c:115;JMP	14df91 <PyMember_SetOne+0x121>;
0x6ddd8;/usr/local/src/conda/python-3.9.19/Python/structmember.c:120;MOV	0x346e21(%RIP),%RDI;
0x6dddf;/usr/local/src/conda/python-3.9.19/Python/structmember.c:120;LEA	0x214bca(%RIP),%RSI;
0x6dde6;/usr/local/src/conda/python-3.9.19/Python/structmember.c:120;CALL	18b430 <PyErr_SetString>;
0x6ddeb;/usr/local/src/conda/python-3.9.19/Python/structmember.c:120;JMP	14df91 <PyMember_SetOne+0x121>;
0x6ddf0;/usr/local/src/conda/python-3.9.19/Python/structmember.c:186;MOV	%RBX,%RDI;
0x6ddf3;/usr/local/src/conda/python-3.9.19/Python/structmember.c:186;CALL	1b6850 <PyLong_AsUnsignedLong>;
0x6ddf8;/usr/local/src/conda/python-3.9.19/Python/structmember.c:186;MOV	%RAX,%R13;
0x6ddfb;/usr/local/src/conda/python-3.9.19/Python/structmember.c:187;CMP	$-0x1,%RAX;
0x6ddff;:0;JE	6de7b <PyMember_SetOne.cold+0xc1>;
0x6de01;/usr/local/src/conda/python-3.9.19/Python/structmember.c:198;MOV	%R13D,(%RBP);
0x6de05;/usr/local/src/conda/python-3.9.19/Python/structmember.c:199;MOV	$-0x1,%EAX;
0x6de0a;:0;CMP	%R13,%RAX;
0x6de0d;:0;JAE	14dee3 <PyMember_SetOne+0x73>;
0x6de13;/usr/local/src/conda/python-3.9.19/Python/structmember.c:200;MOV	0x3425be(%RIP),%RDI;
0x6de1a;:0;MOV	$0x1,%EDX;
0x6de1f;:0;LEA	0x214c5a(%RIP),%RSI;
0x6de26;:0;CALL	24ab60 <PyErr_WarnEx>;
0x6de2b;/usr/local/src/conda/python-3.9.19/Python/structmember.c:200;SAR	$0x1f,%EAX;
0x6de2e;:0;MOV	%EAX,%R12D;
0x6de31;:0;JMP	14dee3 <PyMember_SetOne+0x73>;
0x6de36;/usr/local/src/conda/python-3.9.19/Python/structmember.c:168;MOV	%RBX,%RDI;
0x6de39;/usr/local/src/conda/python-3.9.19/Python/structmember.c:168;CALL	168fc0 <PyLong_AsLong>;
0x6de3e;/usr/local/src/conda/python-3.9.19/Python/structmember.c:169;CMP	$-0x1,%RAX;
0x6de42;:0;JE	6df9b <PyMember_SetOne.cold+0x1e1>;
0x6de48;/usr/local/src/conda/python-3.9.19/Python/structmember.c:171;MOV	%AX,(%RBP);
0x6de4c;/usr/local/src/conda/python-3.9.19/Python/structmember.c:172;CMP	$0xffff,%RAX;
0x6de52;:0;JBE	14dee3 <PyMember_SetOne+0x73>;
0x6de58;/usr/local/src/conda/python-3.9.19/Python/structmember.c:173;MOV	0x342579(%RIP),%RDI;
0x6de5f;:0;MOV	$0x1,%EDX;
0x6de64;:0;LEA	0x214bbd(%RIP),%RSI;
0x6de6b;:0;CALL	24ab60 <PyErr_WarnEx>;
0x6de70;/usr/local/src/conda/python-3.9.19/Python/structmember.c:173;SAR	$0x1f,%EAX;
0x6de73;:0;MOV	%EAX,%R12D;
0x6de76;:0;JMP	14dee3 <PyMember_SetOne+0x73>;
0x6de7b;/usr/local/src/conda/python-3.9.19/Python/structmember.c:187;CALL	12c760 <PyErr_Occurred>;
0x6de80;/usr/local/src/conda/python-3.9.19/Python/structmember.c:187;TEST	%RAX,%RAX;
0x6de83;:0;JE	6de01 <PyMember_SetOne.cold+0x47>;
0x6de89;/usr/local/src/conda/python-3.9.19/Python/structmember.c:190;CALL	12fa40 <PyErr_Clear>;
0x6de8e;/usr/local/src/conda/python-3.9.19/Python/structmember.c:191;MOV	%RBX,%RDI;
0x6de91;:0;CALL	168fc0 <PyLong_AsLong>;
0x6de96;:0;MOV	%RAX,%R13;
0x6de99;/usr/local/src/conda/python-3.9.19/Python/structmember.c:192;CMP	$-0x1,%RAX;
0x6de9d;:0;JE	6dec7 <PyMember_SetOne.cold+0x10d>;
0x6de9f;/usr/local/src/conda/python-3.9.19/Python/structmember.c:195;MOV	%EAX,(%RBP);
0x6dea2;/usr/local/src/conda/python-3.9.19/Python/structmember.c:196;MOV	0x34252f(%RIP),%RDI;
0x6dea9;:0;MOV	$0x1,%EDX;
