name;time_p;time_s;cpi_ratio;
/home/aaron/.pyenv/versions/3.12.0/lib/python3.12/site-packages/torch/lib/libtorch_cpu.so;38.06;8.81;;
/home/aaron/.pyenv/versions/3.12.0/lib/libpython3.12.so.1.0;36.37;8.41;;
/home/aaron/.pyenv/versions/3.12.0/lib/python3.12/site-packages/torch/lib/libtorch_python.so;7.5;1.73;;
/usr/lib/libc.so.6;5.92;1.37;;
/home/aaron/.pyenv/versions/3.12.0/lib/python3.12/site-packages/torch/lib/libc10.so;4.63;1.07;;
kernel;2.81;0.65;;
/usr/lib/ld-linux-x86-64.so.2;2.16;0.5;;
/home/aaron/.pyenv/versions/3.12.0/lib/python3.12/site-packages/numpy/core/_multiarray_umath.cpython-312-x86_64-linux-gnu.so;1.43;0.33;;
/usr/lib/libstdc++.so.6.0.33;0.54;0.12;;
/home/aaron/.pyenv/versions/3.12.0/lib/python3.12/site-packages/PIL/_imaging.cpython-312-x86_64-linux-gnu.so;0.41;0.09;;
/home/aaron/.pyenv/versions/3.12.0/lib/python3.12/site-packages/nvidia/cublas/lib/libcublasLt.so.12;0.04;0.01;;
/home/aaron/.pyenv/versions/3.12.0/lib/python3.12/site-packages/nvidia/cuda_runtime/lib/libcudart.so.12;0.02;0;;
/home/aaron/.pyenv/versions/3.12.0/lib/python3.12/site-packages/nvidia/cusparse/lib/libcusparse.so.12;0.02;0;;
/home/aaron/.pyenv/versions/3.12.0/lib/python3.12/site-packages/torch/lib/libc10_cuda.so;0.02;0;;
/home/aaron/.pyenv/versions/3.12.0/lib/python3.12/site-packages/torch/lib/libtorch_cuda.so;0.02;0;;
/home/aaron/.pyenv/versions/3.12.0/lib/python3.12/site-packages/triton/_C/libtriton.so;0.02;0;;
/usr/lib/libm.so.6;0.02;0;;
