ID;Module;Source Location;Source Function;Level;Max Time Over Threads (s);Time w.r.t. Wall Time (s);Coverage (% app. time);Speedup if no scalar integer;Speedup if FP arith vectorized;Speedup if fully vectorized;Speedup if FP only;Number of paths;Vectorization Ratio (%);Vectorization Efficiency (%);CQA cycles;CQA cycles if no scalar integer;CQA cycles if FP arith vectorized;CQA cycles if fully vectorized;CQA cycles if FP only
Loop 38032;libtensorflow_framework.so.2;;Eigen::ThreadPoolTempl<tsl::thread::EigenEnvironment>::WorkerLoop(int);Innermost;0.26;0.19;0.78;1.00;1.00;34.36;2.91;10;0.00;7.81;10.20;10.20;10.20;0.30;3.50
Loop 6665;libtensorflow_framework.so.2;;tensorflow::(anonymous namespace)::ExecutorState<tensorflow::SimplePropagatorState>::Process(tensorflow::SimplePropagatorState::TaggedNode const&, long);Outermost;0.23;0.12;0.47;3.11;1.00;12.92;3.40;1;7.17;10.72;243.60;78.40;243.60;18.85;71.60
Loop 1576;python3.12;codeobject.c:456-459,codeobject.c:471-472,codeobject.c:482-485,codeobject.c:494-494,codeobject.c:857-857,codeobject.c:873-873,codeobject.c:887-887,codeobject.c:961-963,codeobject.c:968-972,codeobject.c:1071-1071;PyCode_Addr2Line;InBetween;0.22;0.11;0.43;1.00;1.00;22.08;1.62;1;0.00;7.11;13.80;13.80;13.80;0.63;8.50
Loop 6660;libtensorflow_framework.so.2;;tensorflow::(anonymous namespace)::ExecutorState<tensorflow::SimplePropagatorState>::ScheduleReady(absl::lts_20230802::InlinedVector<tensorflow::SimplePropagatorState::TaggedNode, 8ul, std::allocator<tensorflow::SimplePropagatorState::TaggedNode> >*, tensorflow::SimplePropagatorState::TaggedNodeReadyQueue*);Single;0.16;0.08;0.32;1.00;1.00;8.00;2.72;19;0.00;12.50;13.60;13.60;13.60;1.70;5.00
Loop 1568;python3.12;codeobject.c:456-459,codeobject.c:471-472,codeobject.c:482-485,codeobject.c:494-494,codeobject.c:857-857,codeobject.c:873-873,codeobject.c:887-887,codeobject.c:961-963,codeobject.c:968-972,codeobject.c:1071-1071;PyTraceBack_Here;Outermost;0.16;0.08;0.32;1.00;1.00;26.40;1.74;128;0.00;7.08;16.50;16.50;16.50;0.63;9.50
Loop 940;python3.12;unicodeobject.h:250-250,dictobject.c:1059-1062;_Py_dict_lookup;Innermost;0.14;0.07;0.28;1.00;1.00;8.00;3.00;1;0.00;12.50;1.50;1.50;1.50;0.19;0.50
Loop 6783;libtensorflow_framework.so.2;;tensorflow::SimplePropagatorState::PropagateOutputs(tensorflow::SimplePropagatorState::TaggedNode const&, absl::lts_20230802::InlinedVector<tensorflow::Entry, 4ul, std::allocator<tensorflow::Entry> >*, absl::lts_20230802::InlinedVector<tensorflow::SimplePropagatorState::TaggedNode, 8ul, std::allocator<tensorflow::SimplePropagatorState::TaggedNode> >*);Single;0.14;0.07;0.28;3.93;1.00;10.93;3.93;126;14.29;11.94;21.60;5.50;21.60;1.98;5.50
Loop 934;python3.12;unicodeobject.h:219-219,unicodeobject.h:247-250,unicodeobject.h:262-262,unicodeobject.h:280-280,dictobject.c:344-344,dictobject.c:348-350,dictobject.c:353-353,dictobject.c:360-360,dictobject.c:932-933,dictobject.c:937-938,dictobject.c:942-942,dictobject.c:945-946,dictobject.c:949-949,dictobject.c:954-954,dictobject.c:958-958,dictobject.c:961-962,eq.h:9-16;_Py_dict_lookup;Outermost;0.13;0.07;0.27;1.00;1.00;13.57;2.01;131;0.00;10.03;30.20;30.20;30.20;2.23;15.00
Loop 1405;python3.12;object.c:2611-2611,object.c:2625-2625,frame.c:139-140,object.h:243-243,object.h:701-705,object.h:798-798;_PyEvalFrameClearAndPop;Single;0.11;0.06;0.23;1.00;1.00;11.77;1.39;4;0.00;11.35;2.26;2.26;2.26;0.19;1.63
Loop 9850;libtensorflow_framework.so.2;;tensorflow::OpKernelContext::set_output(int, tensorflow::Tensor const&);Single;0.11;0.06;0.22;1.00;1.00;57.60;3.00;1;0.00;8.59;6.00;6.00;6.00;0.10;2.00
