ID;Module;Source Location;Source Function;Level;Max Time Over Threads (s);Time w.r.t. Wall Time (s);Coverage (% app. time);Speedup if no scalar integer;Speedup if FP arith vectorized;Speedup if fully vectorized;Speedup if FP only;Number of paths;Vectorization Ratio (%);Vectorization Efficiency (%);CQA cycles;CQA cycles if no scalar integer;CQA cycles if FP arith vectorized;CQA cycles if fully vectorized;CQA cycles if FP only
Loop 1;libpython3.12.so.1.0;dictobject.c:348-360,dictobject.c:933-962,unicodeobject.h:250-250,unicodeobject.h:256-262,unicodeobject.h:280-280,eq.h:9-16;unicodekeys_lookup_unicode;Single;0.29;0.29;1.28;1.00;1.00;12.51;2.03;576;0.00;11.02;28.40;28.40;28.40;2.27;14.00
Loop 0;libpython3.12.so.1.0;dictobject.c:346-346,dictobject.c:933-962,unicodeobject.h:219-219,unicodeobject.h:248-248,unicodeobject.h:256-262,unicodeobject.h:280-280,eq.h:9-16;unicodekeys_lookup_unicode;Single;0.09;0.09;0.39;1.00;1.00;13.09;1.90;64;0.00;10.10;23.80;23.80;23.80;1.82;12.50
Loop 3964;libpython3.12.so.1.0;gcmodule.c:107-107,gcmodule.c:289-292,gcmodule.c:424-424,gcmodule.c:430-431,pycore_pystate.h:118-118,pycore_gc.h:59-68,pycore_gc.h:74-74,object.h:243-243;gc_collect_main;Innermost;0.06;0.06;0.26;1.00;1.00;7.87;1.30;2;0.00;11.43;3.90;3.90;3.90;0.50;3.00
Loop 1146;libpython3.12.so.1.0;dictobject.c:881-883,dictobject.c:972-974,dictobject.c:1059-1063,dictobject.c:1078-1078,pycore_dict.h:134-135;_Py_dict_lookup;Outermost;0.05;0.05;0.24;1.00;1.00;13.38;6.13;16;0.00;10.71;9.20;9.20;9.20;0.69;1.50
Loop 3252;libpython3.12.so.1.0;object.h:243-243,object.h:701-706,object.h:798-798,frame.c:139-140;_PyFrame_ClearExceptCode;Single;0.04;0.04;0.19;1.00;1.00;14.31;1.30;4;0.00;8.44;2.11;2.11;2.11;0.15;1.63
Loop 3962;libpython3.12.so.1.0;gcmodule.c:648-652,pycore_gc.h:60-60;gc_collect_main;Innermost;0.04;0.04;0.17;1.00;1.00;8.00;1.00;2;0.00;12.50;2.00;2.00;2.00;0.25;2.00
Loop 3960;libpython3.12.so.1.0;gcmodule.c:322-323,pycore_gc.h:60-60;gc_collect_main;Innermost;0.04;0.04;0.17;1.00;1.00;8.00;1.00;1;0.00;12.50;2.00;2.00;2.00;0.25;2.00
Loop 1388;libpython3.12.so.1.0;tupleobject.c:205-206,object.h:243-243,object.h:701-706,object.h:798-798;tupledealloc;Single;0.04;0.04;0.17;1.00;NA;NA;1.11;4;0.00;11.39;1.80;1.80;NA;NA;1.63
Loop 3961;libpython3.12.so.1.0;gcmodule.c:663-667,pycore_gc.h:60-60;gc_collect_main;Innermost;0.03;0.03;0.13;1.00;1.00;8.00;1.00;2;0.00;12.50;2.00;2.00;2.00;0.25;2.00
Loop 3362;libpython3.12.so.1.0;ceval_gil.c:67-67,ceval_gil.c:76-76,ceval_gil.c:417-417,ceval_gil.c:483-487,pycore_pystate.h:19-19,pycore_pystate.h:59-59;take_gil;Single;0.03;0.03;0.13;1.00;1.00;14.62;3.87;1;0.00;8.75;11.60;11.60;11.60;0.79;3.00
