ID;Module;Source Location;Source Function;Level;Max Time Over Threads (s);Time w.r.t. Wall Time (s);Coverage (% app. time);Speedup if no scalar integer;Speedup if FP arith vectorized;Speedup if fully vectorized;Speedup if FP only;Number of paths;Vectorization Ratio (%);Vectorization Efficiency (%);CQA cycles;CQA cycles if no scalar integer;CQA cycles if FP arith vectorized;CQA cycles if fully vectorized;CQA cycles if FP only
Loop 1116;python3.9;eq.h:17-21,dictobject.c:344-353,dictobject.c:360-360,dictobject.c:849-857,dictobject.c:863-864;lookdict_unicode;Innermost;0.11;0.11;0.49;1.00;1.00;12.20;1.37;1;0.00;10.66;8.20;8.20;8.20;0.67;6.00
Loop 801;python3.9;dictobject.c:344-346,dictobject.c:893-906;lookdict_unicode_nodummy;Innermost;0.09;0.09;0.42;1.00;1.00;8.00;1.75;1;0.00;12.50;3.50;3.50;3.50;0.44;2.00
Loop 837;python3.9;unicodeobject.c:2306-2316,object.h:628-628,dictobject.c:880-882,dictobject.c:885-888,dictobject.c:902-902,dictobject.c:1439-1439,dictobject.c:1444-1445,dictobject.c:1448-1448,dictobject.c:1487-1489,dictobject.c:1492-1492;_PyDict_GetItemIdWithError;Outermost;0.09;0.09;0.42;1.00;1.00;23.08;2.73;1;0.00;11.74;16.40;16.40;16.40;0.71;6.00
Loop 947;python3.9;pycore_pystate.h:55-55,object.h:628-628,typeobject.c:3223-3223,typeobject.c:3226-3226,typeobject.c:3229-3231,dictobject.c:880-882,dictobject.c:885-888,dictobject.c:902-902,dictobject.c:1439-1439,dictobject.c:1444-1445,dictobject.c:1448-1448;find_name_in_mro;Outermost;0.07;0.07;0.33;1.00;1.00;16.17;2.40;184;0.00;12.11;14.40;14.40;14.40;0.89;6.00
Loop 906;python3.9;gcmodule.c:108-108,gcmodule.c:413-413;deduce_unreachable;Single;0.06;0.06;0.29;1.00;1.00;13.33;1.00;1;0.00;10.04;2.00;2.00;2.00;0.15;2.00
Loop 1175;python3.9;object.c:1824-1824,object.c:2205-2205,object.c:2209-2209,call.c:326-328,call.c:332-334,call.c:337-339,call.c:342-342,object.h:133-133,object.h:408-408,object.h:422-422,object.h:487-487,frameobject.c:805-806,frameobject.c:816-824,frameobject.c:894-897,frameobject.c:900-902,frameobject.c:905-905,frameobject.c:917-917,frameobject.c:920-926,pycore_ceval.h:40-40;function_code_fastcall;Outermost;0.06;0.06;0.29;1.00;1.00;7.17;4.31;1;0.00;10.68;28.00;28.00;28.00;3.91;6.50
Loop 902;python3.9;tupleobject.c:179-179,tupleobject.c:182-184,tupleobject.c:188-189,gcmodule.c:626-629,gcmodule.c:1209-1209,object.h:128-128,typeobject.c:3764-3764,pycore_object.h:74-79,pycore_object.h:112-114;collect;Outermost;0.06;0.06;0.26;1.00;1.00;20.10;1.77;3370;0.00;11.04;25.60;25.60;25.60;1.27;14.50
Loop 948;python3.9;eq.h:17-24,dictobject.c:344-353,dictobject.c:360-360,dictobject.c:890-906;find_name_in_mro;Innermost;0.05;0.05;0.24;1.00;1.00;12.73;2.21;21;0.00;11.06;16.60;16.60;16.60;1.30;7.50
Loop 929;python3.9;gcmodule.c:81-81,gcmodule.c:117-117,gcmodule.c:449-449,typeobject.c:3764-3764,pycore_object.h:112-114,dictobject.c:3142-3148;dict_traverse;Single;0.05;0.05;0.22;1.00;1.00;22.91;1.70;10;0.00;11.41;6.80;6.80;6.80;0.30;4.00
Loop 896;python3.9;gcmodule.c:313-314;collect;Single;0.04;0.04;0.2;1.00;1.00;8.00;1.00;1;0.00;12.50;2.00;2.00;2.00;0.25;2.00
Loop 1303;python3.9;unicodeobject.c:2306-2316,object.h:408-409,object.h:422-422,object.h:430-430,typeobject.c:1478-1490,typeobject.c:1498-1498,typeobject.c:3251-3260,typeobject.c:3268-3270,typeobject.c:3286-3289,typeobject.c:3298-3298,typeobject.c:3309-3309;lookup_maybe_method;Single;0.04;0.04;0.2;1.00;1.00;18.52;2.42;1;0.00;9.11;23.00;23.00;23.00;1.24;9.50
Loop 1131;python3.9;unicodeobject.c:2306-2316,pycore_pystate.h:55-55,classobject.c:105-114,_functoolsmodule.c:1259-1259,object.h:408-408,object.h:422-422,object.h:430-430,typeobject.c:1463-1472,typeobject.c:3251-3260,typeobject.c:3268-3270,typeobject.c:3286-3289,typeobject.c:3298-3298,typeobject.c:3309-3309,pycore_object.h:39-39,pycore_object.h:46-51;_PyObject_LookupSpecial;Single;0.04;0.04;0.2;2.73;1.00;12.97;2.73;1;2.56;11.18;30.00;11.00;30.00;2.31;11.00
Loop 1087;python3.9;pycore_pystate.h:55-55,tupleobject.c:88-88,tupleobject.c:92-93,tupleobject.c:424-428,object.c:2205-2205,object.c:2209-2209,pycore_pyerrors.h:14-14,call.c:38-39,call.c:57-57,call.c:162-162,call.c:171-172,call.c:175-177,call.c:189-191,call.c:196-196,call.c:201-201,call.c:918-918,call.c:922-926,object.h:408-408,object.h:422-422,object.h:430-430,object.h:628-628,pycore_ceval.h:73-73,pycore_ceval.h:83-83,pycore_ceval.h:94-94,typeobject.c:988-988,typeobject.c:991-994,typeobject.c:1002-1002,typeobject.c:1005-1005,typeobject.c:1009-1009,typeobject.c:1016-1018,typeobject.c:1023-1023,typeobject.c:1027-1029,typeobject.c:1425-1426,typeobject.c:1431-1433,typeobject.c:3862-3863,typeobject.c:3876-3876,pycore_object.h:39-39,pycore_object.h:46-51,dictobject.c:1340-1340,dictobject.c:1346-1347;_PyObject_MakeTpCall;Outermost;0.04;0.04;0.2;2.08;1.00;22.68;2.08;1;1.18;11.80;57.20;27.50;57.20;2.52;27.50
Loop 839;python3.9;dictobject.c:344-346,dictobject.c:893-906;_PyDict_GetItemIdWithError;Innermost;0.04;0.04;0.18;1.00;1.00;8.00;1.75;1;0.00;12.50;3.50;3.50;3.50;0.44;2.00
Loop 1086;python3.9;object.c:2205-2210,object.h:422-422,frameobject.c:584-585;frame_dealloc;Single;0.04;0.04;0.18;1.00;1.00;11.36;1.55;3;0.00;11.11;2.07;2.07;2.07;0.18;1.33
Loop 1143;python3.9;tupleobject.c:236-237,object.c:2205-2205,object.c:2209-2210,object.h:422-422,object.h:496-496;tupledealloc;Outermost;0.04;0.04;0.18;1.00;1.00;8.00;1.80;6;0.00;12.50;7.20;7.20;7.20;0.90;4.00
