function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;cats;label_name;flops;
5062;python3.12;_PyEval_EvalFrameDefault;pycore_pystate.h:19-19,pycore_pystate.h:27-27,pycore_pystate.h:39-40,pycore_pystate.h:82-82,pycore_pystate.h:92-92,pycore_pystate.h:118-118,floatobject.c:260-266,floatobject.c:278-278,floatobject.c:284-284,obmalloc.c:45-45,obmalloc.c:662-662,obmalloc.c:801-801,obmalloc.c:830-831,obmalloc.c:858-859,obmalloc.c:870-870,obmalloc.c:1357-1362,obmalloc.c:1368-1370,obmalloc.c:1532-1544,obmalloc.c:1553-1553,obmalloc.c:1565-1571,listobject.c:323-328,listobject.c:982-982,listobject.c:2569-2574,listobject.c:3221-3223,pycore_runtime.h:204-204,ceval_gil.c:892-899,ceval_gil.c:1057-1060,ceval_gil.c:1067-1067,ceval_gil.c:1074-1081,ceval_gil.c:1098-1098,ceval_gil.c:1117-1117,pycore_call.h:44-44,pycore_call.h:88-92,pycore_call.h:108-108,object.c:2193-2197,object.c:2210-2210,object.c:2611-2611,object.c:2625-2625,object.c:2649-2649,sliceobject.c:174-174,longobject.c.h:202-202,funcobject.c:246-246,longobject.c:46-46,longobject.c:54-54,longobject.c:211-219,longobject.c:229-255,longobject.c:265-272,longobject.c:1171-1171,longobject.c:1186-1196,longobject.c:3445-3453,longobject.c:3463-3469,longobject.c:3938-3950,genobject.c:908-935,unicodeobject.c:10555-10564,unicodeobject.c:10572-10573,unicodeobject.c:14556-14557,call.c:28-29,call.c:387-387,call.c:1073-1073,unicodeobject.h:247-250,unicodeobject.h:256-256,unicodeobject.h:262-265,unicodeobject.h:280-280,typeobject.c:225-231,typeobject.c:891-913,typeobject.c:4725-4733,typeobject.c:4741-4743,typeobject.c:4758-4766,typeobject.c:10360-10364,tupleobject.c:68-68,tupleobject.c:984-986,classobject.c:48-48,classobject.c:69-69,listobject.h:44-44,dictobject.c:284-284,dictobject.c:738-739,dictobject.c:748-749,dictobject.c:757-760,dictobject.c:1588-1588,dictobject.c:1620-1626,dictobject.c:1632-1633,dictobject.c:1640-1648,dictobject.c:1755-1769,dictobject.c:1825-1825,dictobject.c:1832-1841,dictobject.c:1852-1854,dictobject.c:1861-1865,dictobject.c:2999-2999,generated_cases.c.h:6-10,errors.c:33-35,errors.c:490-491,errors.c:1149-1149,abstract.c:55-67,abstract.c:2261-2268,abstract.c:2823-2823,frame.c:73-73,pystate.c:2833-2846,pycore_ceval.h:121-121,pycore_ceval.h:134-134,pycore_ceval.h:143-143,pycore_gc.h:23-23,pycore_gc.h:59-68,pycore_gc.h:74-74,bytesobject.h:37-37,pycore_object.h:118-118,pycore_object.h:125-125,pycore_object.h:150-150,pycore_object.h:167-167,pycore_object.h:214-219,pycore_object.h:248-249,pycore_typeobject.h:128-128,pycore_pyerrors.h:23-23,object.h:211-211,object.h:220-220,object.h:234-234,object.h:243-243,object.h:274-274,object.h:382-382,object.h:643-647,object.h:701-706,object.h:788-788,object.h:798-798,object.h:816-816,object.h:967-967,generated_cases.c.h:24-27,generated_cases.c.h:55-58,generated_cases.c.h:66-71,generated_cases.c.h:78-83,generated_cases.c.h:90-95,generated_cases.c.h:102-107,generated_cases.c.h:114-128,generated_cases.c.h:140-140,generated_cases.c.h:150-156,generated_cases.c.h:168-168,generated_cases.c.h:177-184,generated_cases.c.h:191-191,generated_cases.c.h:201-207,generated_cases.c.h:214-214,generated_cases.c.h:221-225,generated_cases.c.h:236-236,generated_cases.c.h:246-278,generated_cases.c.h:284-287,generated_cases.c.h:310-318,generated_cases.c.h:339-359,generated_cases.c.h:369-389,generated_cases.c.h:400-408,generated_cases.c.h:418-426,generated_cases.c.h:437-445,generated_cases.c.h:454-462,generated_cases.c.h:473-481,generated_cases.c.h:510-516,generated_cases.c.h:526-534,generated_cases.c.h:545-555,generated_cases.c.h:570-584,generated_cases.c.h:600-609,generated_cases.c.h:624-630,generated_cases.c.h:647-655,generated_cases.c.h:672-680,generated_cases.c.h:691-692,generated_cases.c.h:698-708,generated_cases.c.h:735-761,generated_cases.c.h:784-798,generated_cases.c.h:817-825,generated_cases.c.h:833-855,generated_cases.c.h:861-871,generated_cases.c.h:877-888,generated_cases.c.h:914-915,generated_cases.c.h:930-931,generated_cases.c.h:948-949,generated_cases.c.h:970-970,generated_cases.c.h:988-988,generated_cases.c.h:1144-1148,generated_cases.c.h:1198-1205,generated_cases.c.h:1247-1248,generated_cases.c.h:1268-1280,generated_cases.c.h:1325-1328,generated_cases.c.h:1365-1365,generated_cases.c.h:1390-1396,generated_cases.c.h:1414-1422,generated_cases.c.h:1441-1444,generated_cases.c.h:1462-1473,generated_cases.c.h:1483-1492,generated_cases.c.h:1502-1511,generated_cases.c.h:1521-1529,generated_cases.c.h:1535-1543,generated_cases.c.h:1566-1601,generated_cases.c.h:1621-1621,generated_cases.c.h:1632-1634,generated_cases.c.h:1700-1700,generated_cases.c.h:1763-1768,generated_cases.c.h:1827-1834,generated_cases.c.h:1852-1859,generated_cases.c.h:1882-1889,generated_cases.c.h:1895-1898,generated_cases.c.h:1909-1912,generated_cases.c.h:1925-1929,generated_cases.c.h:1967-1971,generated_cases.c.h:1982-1988,generated_cases.c.h:1995-1999,generated_cases.c.h:2012-2034,generated_cases.c.h:2040-2047,generated_cases.c.h:2053-2061,generated_cases.c.h:2074-2074,generated_cases.c.h:2080-2100,generated_cases.c.h:2118-2125,generated_cases.c.h:2136-2148,generated_cases.c.h:2190-2195,generated_cases.c.h:2208-2221,generated_cases.c.h:2236-2242,generated_cases.c.h:2254-2262,generated_cases.c.h:2270-2272,generated_cases.c.h:2285-2290,generated_cases.c.h:2336-2338,generated_cases.c.h:2346-2356,generated_cases.c.h:2367-2383,generated_cases.c.h:2411-2421,generated_cases.c.h:2459-2459,generated_cases.c.h:2470-2483,generated_cases.c.h:2502-2511,generated_cases.c.h:2530-2539,generated_cases.c.h:2572-2581,generated_cases.c.h:2597-2606,generated_cases.c.h:2624-2633,generated_cases.c.h:2698-2700,generated_cases.c.h:2722-2729,generated_cases.c.h:2772-2779,generated_cases.c.h:2793-2802,generated_cases.c.h:2818-2831,generated_cases.c.h:2845-2853,generated_cases.c.h:2871-2879,generated_cases.c.h:2894-2932,generated_cases.c.h:2971-2973,generated_cases.c.h:2986-2996,generated_cases.c.h:3002-3013,generated_cases.c.h:3020-3032,generated_cases.c.h:3038-3044,generated_cases.c.h:3052-3052,generated_cases.c.h:3062-3067,generated_cases.c.h:3075-3075,generated_cases.c.h:3085-3104,generated_cases.c.h:3111-3119,generated_cases.c.h:3128-3131,generated_cases.c.h:3141-3149,generated_cases.c.h:3157-3159,generated_cases.c.h:3169-3174,generated_cases.c.h:3181-3187,generated_cases.c.h:3194-3202,generated_cases.c.h:3209-3215,generated_cases.c.h:3221-3230,generated_cases.c.h:3256-3268,generated_cases.c.h:3302-3305,generated_cases.c.h:3339-3340,generated_cases.c.h:3363-3370,generated_cases.c.h:3393-3400,generated_cases.c.h:3421-3428,generated_cases.c.h:3492-3493,generated_cases.c.h:3523-3523,generated_cases.c.h:3532-3541,generated_cases.c.h:3570-3576,generated_cases.c.h:3589-3596,generated_cases.c.h:3620-3628,generated_cases.c.h:3644-3652,generated_cases.c.h:3672-3679,generated_cases.c.h:3685-3685,generated_cases.c.h:3705-3710,generated_cases.c.h:3795-3805,generated_cases.c.h:3819-3823,generated_cases.c.h:3854-3857,generated_cases.c.h:3898-3901,generated_cases.c.h:3914-3924,generated_cases.c.h:3938-3949,generated_cases.c.h:3963-3974,generated_cases.c.h:3999-4010,generated_cases.c.h:4041-4052,generated_cases.c.h:4087-4098,generated_cases.c.h:4133-4144,generated_cases.c.h:4172-4182,generated_cases.c.h:4212-4222,generated_cases.c.h:4244-4246,generated_cases.c.h:4280-4290,generated_cases.c.h:4322-4332,generated_cases.c.h:4364-4374,generated_cases.c.h:4405-4413,generated_cases.c.h:4419-4423,generated_cases.c.h:4488-4507,generated_cases.c.h:4539-4544,generated_cases.c.h:4569-4591,generated_cases.c.h:4630-4635,generated_cases.c.h:4641-4650,generated_cases.c.h:4668-4687,generated_cases.c.h:4735-4735,generated_cases.c.h:4746-4749,generated_cases.c.h:4763-4763,generated_cases.c.h:4783-4783,bytecodes.c:140-145,bytecodes.c:155-156,bytecodes.c:163-172,bytecodes.c:180-192,bytecodes.c:198-209,bytecodes.c:242-242,bytecodes.c:257-277,bytecodes.c:294-337,bytecodes.c:347-353,bytecodes.c:368-391,bytecodes.c:405-415,bytecodes.c:422-430,bytecodes.c:436-486,bytecodes.c:496-517,bytecodes.c:526-528,bytecodes.c:540-612,bytecodes.c:626-626,bytecodes.c:635-643,bytecodes.c:658-662,bytecodes.c:677-677,bytecodes.c:685-697,bytecodes.c:705-707,bytecodes.c:828-865,bytecodes.c:871-889,bytecodes.c:917-940,bytecodes.c:971-971,bytecodes.c:988-991,bytecodes.c:1013-1016,bytecodes.c:1022-1041,bytecodes.c:1059-1089,bytecodes.c:1095-1100,bytecodes.c:1106-1110,bytecodes.c:1122-1151,bytecodes.c:1169-1170,bytecodes.c:1236-1245,bytecodes.c:1253-1263,bytecodes.c:1270-1272,bytecodes.c:1306-1322,bytecodes.c:1358-1364,bytecodes.c:1371-1381,bytecodes.c:1388-1390,bytecodes.c:1396-1414,bytecodes.c:1421-1424,bytecodes.c:1442-1446,bytecodes.c:1455-1457,bytecodes.c:1465-1468,bytecodes.c:1475-1507,bytecodes.c:1519-1535,bytecodes.c:1542-1542,bytecodes.c:1556-1556,bytecodes.c:1562-1573,bytecodes.c:1596-1611,bytecodes.c:1624-1626,bytecodes.c:1636-1640,bytecodes.c:1659-1672,bytecodes.c:1682-1683,bytecodes.c:1701-1739,bytecodes.c:1760-1773,bytecodes.c:1781-1781,bytecodes.c:1792-1792,bytecodes.c:1799-1801,bytecodes.c:1808-1814,bytecodes.c:1822-1830,bytecodes.c:1840-1853,bytecodes.c:1860-1860,bytecodes.c:1870-1873,bytecodes.c:1882-1883,bytecodes.c:1896-1918,bytecodes.c:1952-1966,bytecodes.c:1972-1989,bytecodes.c:1999-2007,bytecodes.c:2013-2019,bytecodes.c:2032-2064,bytecodes.c:2071-2095,bytecodes.c:2101-2102,bytecodes.c:2128-2172,bytecodes.c:2178-2188,bytecodes.c:2194-2202,bytecodes.c:2215-2223,bytecodes.c:2230-2249,bytecodes.c:2261-2268,bytecodes.c:2280-2286,bytecodes.c:2311-2336,bytecodes.c:2370-2386,bytecodes.c:2393-2408,bytecodes.c:2415-2428,bytecodes.c:2434-2448,bytecodes.c:2488-2489,bytecodes.c:2498-2499,bytecodes.c:2512-2514,bytecodes.c:2532-2556,bytecodes.c:2563-2568,bytecodes.c:2580-2580,bytecodes.c:2592-2597,bytecodes.c:2609-2609,bytecodes.c:2660-2715,bytecodes.c:2732-2738,bytecodes.c:2746-2753,bytecodes.c:2759-2820,bytecodes.c:2826-2832,bytecodes.c:2839-2845,bytecodes.c:2853-2859,bytecodes.c:2866-2884,bytecodes.c:2893-2900,bytecodes.c:2908-2915,bytecodes.c:2924-2934,bytecodes.c:2941-2945,bytecodes.c:2958-2964,bytecodes.c:2971-2985,bytecodes.c:2994-3005,bytecodes.c:3011-3013,bytecodes.c:3021-3033,bytecodes.c:3039-3041,bytecodes.c:3050-3063,bytecodes.c:3070-3084,bytecodes.c:3090-3096,bytecodes.c:3103-3128,bytecodes.c:3137-3149,bytecodes.c:3155-3160,bytecodes.c:3168-3191,bytecodes.c:3203-3215,bytecodes.c:3240-3246,bytecodes.c:3252-3257,bytecodes.c:3263-3263,bytecodes.c:3276-3298,bytecodes.c:3304-3306,bytecodes.c:3314-3328,bytecodes.c:3334-3341,bytecodes.c:3353-3355,bytecodes.c:3362-3365,bytecodes.c:3376-3389,bytecodes.c:3432-3446,bytecodes.c:3453-3453,bytecodes.c:3472-3475,instrumentation.c:875-876,instrumentation.c:1015-1016,instrumentation.c:1104-1106,instrumentation.c:1114-1130,instrumentation.c:1139-1157,instrumentation.c:1173-1173,specialize.c:475-492,specialize.c:499-508,specialize.c:520-528,specialize.c:540-540,specialize.c:572-588,specialize.c:614-637,specialize.c:645-646,specialize.c:726-726,specialize.c:733-733,specialize.c:740-740,specialize.c:756-756,specialize.c:770-775,specialize.c:783-786,specialize.c:792-796,specialize.c:802-811,specialize.c:817-820,specialize.c:826-829,specialize.c:882-882,specialize.c:891-897,specialize.c:914-920,specialize.c:932-943,specialize.c:949-952,specialize.c:978-978,specialize.c:987-993,specialize.c:1039-1051,specialize.c:1075-1107,specialize.c:1130-1130,specialize.c:1145-1208,specialize.c:1214-1222,specialize.c:1232-1232,specialize.c:1277-1281,specialize.c:1293-1293,specialize.c:1299-1299,specialize.c:1312-1312,specialize.c:1329-1333,specialize.c:1342-1346,specialize.c:1355-1367,specialize.c:1373-1382,specialize.c:1389-1392,specialize.c:1399-1399,specialize.c:1405-1405,specialize.c:1414-1420,specialize.c:1436-1437,specialize.c:1504-1510,specialize.c:1518-1539,specialize.c:1601-1639,specialize.c:1701-1704,specialize.c:1712-1712,specialize.c:1718-1742,specialize.c:1791-1808,specialize.c:1819-1822,specialize.c:1828-1828,specialize.c:1909-1920,specialize.c:1926-1930,specialize.c:1937-1944,specialize.c:1951-1958,specialize.c:1966-1967,specialize.c:2017-2027,specialize.c:2035-2043,specialize.c:2049-2054,specialize.c:2078-2084,specialize.c:2090-2106,specialize.c:2191-2212,specialize.c:2218-2223,specialize.c:2233-2238,specialize.c:2245-2250,floatobject.h:16-16,pycore_long.h:154-154,pycore_long.h:166-166,pycore_long.h:211-211,pycore_long.h:222-222,pycore_long.h:236-239,boolobject.c:23-23,string3.h:51-51,cellobject.c:11-14,longintrepr.h:111-111,longintrepr.h:121-122,iterobject.c:309-312,tupleobject.h:34-34,pycore_frame.h:79-79,pycore_frame.h:95-96,pycore_frame.h:121-133,pycore_frame.h:153-154,pycore_frame.h:161-161,pycore_frame.h:175-176,pycore_frame.h:207-211,pycore_frame.h:246-247,pycore_frame.h:264-264,gcmodule.c:2290-2293,ceval.c:327-327,ceval.c:334-358,ceval.c:366-382,ceval.c:389-391,ceval.c:432-432,ceval.c:439-448,ceval.c:455-459,ceval.c:467-468,ceval.c:481-482,ceval.c:492-497,ceval.c:503-533,ceval.c:618-624,ceval.c:647-647,ceval.c:669-669,ceval.c:675-677,ceval.c:688-707,ceval.c:713-713,ceval.c:738-738,ceval.c:762-762,ceval.c:829-829,ceval.c:851-852,ceval.c:862-872,ceval.c:907-918,ceval.c:930-931,ceval.c:938-938,ceval.c:946-948,ceval.c:957-968,ceval.c:976-982,ceval.c:992-1007,ceval.c:1241-1241,ceval.c:1247-1248,ceval.c:1259-1260,ceval.c:1266-1276,ceval.c:1283-1298,ceval.c:1614-1619,ceval.c:1625-1642,ceval.c:1759-1763,ceval.c:1779-1784,ceval.c:1792-1792,ceval.c:1809-1811,ceval.c:1817-1822,ceval.c:1830-1836,ceval.c:2027-2027,ceval.c:2047-2047,ceval.c:2057-2057,ceval.c:2078-2078,ceval.c:2090-2090,ceval.c:2101-2101,ceval.c:2462-2463,ceval.c:2469-2476,ceval.c:2482-2482,ceval.c:2503-2503,ceval.c:2509-2530,ceval.c:2541-2543,ceval.c:2564-2566,ceval.c:2641-2641,cellobject.h:28-28,cellobject.h:36-36,pycore_list.h:51-53,pycore_dict.h:135-135,pycore_dict.h:189-193,methodobject.h:41-41,methodobject.h:50-55,pycore_code.h:313-313,pycore_code.h:344-350,pycore_code.h:423-423,pycore_code.h:442-446,import.c:2456-2456;15.25;10.35;10.35;10.35;10.35;0;0;1;"100,0,0,0,0,0,0,0,0,0,0,0";_PyEval_EvalFrameDefault;;
245;_tree.cpython-312-x86_64-linux-gnu.so;__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_dense(__pyx_obj_7sklearn_4tree_5_tree_Tree*, _object*);;4.87;3.31;3.31;3.31;3.31;0;0;1;"0,0,0,0,0,0,0,0,0,0,0,100";_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object;;
667;libm.so.6;f32subf64x;;3.74;2.54;2.54;2.54;2.54;0;0;1;"0,0,0,100,0,0,0,0,0,0,0,0";f32subf64x;;
5143;python3.12;_PyObject_GenericGetAttrWithDict;pycore_pystate.h:118-118,object.c:1214-1219,object.c:1398-1398,object.c:1407-1410,object.c:1418-1418,object.c:1425-1443,object.c:1464-1472,object.c:1479-1479,object.c:1490-1492,object.c:1499-1499,object.c:1505-1510,object.c:1516-1516,object.c:2611-2611,object.c:2625-2625,object.c:2649-2649,typeobject.c:225-229,typeobject.c:891-913,typeobject.c:4725-4733,typeobject.c:4741-4743,typeobject.c:4758-4766,dictobject.c:284-284,dictobject.c:1022-1026,dictobject.c:1033-1033,dictobject.c:1755-1769,dictobject.c:5518-5524,pycore_object.h:150-150,pycore_pyerrors.h:23-23,object.h:220-220,object.h:243-243,object.h:644-647,object.h:701-705,object.h:788-788,object.h:796-798,object.h:967-967;2.11;1.43;1.43;1.43;1.43;0;0;1;"100,0,0,0,0,0,0,0,0,0,0,0";_PyObject_GenericGetAttrWithDict;;
4867;python3.12;_Py_dict_lookup;object.c:871-875,unicodeobject.h:219-219,unicodeobject.h:247-250,unicodeobject.h:262-262,unicodeobject.h:280-280,dictobject.c:344-353,dictobject.c:360-360,dictobject.c:885-903,dictobject.c:913-917,dictobject.c:927-962,dictobject.c:972-993,dictobject.c:1003-1007,dictobject.c:1053-1053,dictobject.c:1059-1063,dictobject.c:1074-1078,dictobject.c:1091-1091,dictobject.c:1099-1099,object.h:243-243,object.h:644-647,object.h:701-706,eq.h:9-16,pycore_dict.h:134-136;2.1;1.43;1.43;1.43;1.43;0;0;1;"100,0,0,0,0,0,0,0,0,0,0,0";_Py_dict_lookup;;
11988;libopenblasp-r0-01191904.3.27.so;dot_compute;;1.78;1.21;1.21;1.21;1.21;0;0;1;"0,0,0,100,0,0,0,0,0,0,0,0";dot_compute;;
-1;libc.so.6;unknown_function;;1.58;1.07;1.07;1.07;1.07;0;0;1;"0,0,0,0,0,0,0,0,0,100,0,0";Unknown function;;
238;_splitter.cpython-312-x86_64-linux-gnu.so;__pyx_f_7sklearn_4tree_9_splitter_introsort;;1.48;1;1.01;1.01;1.01;0;0;1;"0,0,0,0,0,0,0,0,0,100,0,0";__pyx_f_7sklearn_4tree_9_splitter_introsort;;
5058;python3.12;initialize_locals;object.c:864-864,object.c:871-875,dictobject.c:284-284,dictobject.c:1755-1769,object.h:234-234,object.h:243-243,object.h:644-647,object.h:701-701,object.h:967-967,ceval.c:1122-1122,ceval.c:1129-1146,ceval.c:1159-1162,ceval.c:1170-1171,ceval.c:1310-1335,ceval.c:1341-1379,ceval.c:1388-1391,ceval.c:1397-1403,ceval.c:1409-1412,ceval.c:1419-1439,ceval.c:1445-1451,ceval.c:1457-1480,ceval.c:1487-1496,ceval.c:1505-1505,ceval.c:1511-1511,ceval.c:1527-1528;1.36;0.93;0.93;0.93;0.93;0;0;1;"100,0,0,0,0,0,0,0,0,0,0,0";initialize_locals;;
473;_kd_tree.cpython-312-x86_64-linux-gnu.so;__pyx_f_7sklearn_9neighbors_8_kd_tree_12BinaryTree64__query_single_depthfirst;;1.09;0.74;0.74;0.74;0.74;0;0;1;"0,0,0,0,0,0,0,0,0,100,0,0";__pyx_f_7sklearn_9neighbors_8_kd_tree_12BinaryTree64__query_single_depthfirst;;
