ID;Module;Source Location;Source Function;Level;Max Time Over Threads (s);Time w.r.t. Wall Time (s);Coverage (% app. time);Speedup if no scalar integer;Speedup if FP arith vectorized;Speedup if fully vectorized;Speedup if FP only;Number of paths;Vectorization Ratio (%);Vectorization Efficiency (%);CQA cycles;CQA cycles if no scalar integer;CQA cycles if FP arith vectorized;CQA cycles if fully vectorized;CQA cycles if FP only
Loop 934;python3.12;unicodeobject.h:219-219,unicodeobject.h:247-250,unicodeobject.h:262-262,unicodeobject.h:280-280,dictobject.c:344-344,dictobject.c:348-350,dictobject.c:353-353,dictobject.c:360-360,dictobject.c:932-933,dictobject.c:937-938,dictobject.c:942-942,dictobject.c:945-946,dictobject.c:949-949,dictobject.c:954-954,dictobject.c:958-958,dictobject.c:961-962,eq.h:9-16;_Py_dict_lookup;Outermost;0.15;0.15;0.73;1.00;1.00;13.57;2.01;131;0.00;10.03;30.20;30.20;30.20;2.23;15.00
Loop 936;python3.12;dictobject.c:934-937;_Py_dict_lookup;Innermost;0.09;0.09;0.41;1.00;1.00;8.00;1.00;1;0.00;12.50;1.00;1.00;1.00;0.13;1.00
Loop 1320;python3.12;pycore_gc.h:60-60,gcmodule.c:322-323;gc_collect_main;Innermost;0.09;0.09;0.41;1.00;1.00;8.00;1.00;1;0.00;12.50;2.00;2.00;2.00;0.25;2.00
Loop 1330;python3.12;pycore_pystate.h:118-118,pycore_gc.h:60-68,pycore_gc.h:74-74,object.h:243-243,gcmodule.c:107-107,gcmodule.c:289-292,gcmodule.c:424-424,gcmodule.c:430-433;deduce_unreachable;Single;0.08;0.08;0.39;1.00;1.00;8.44;1.85;2;0.00;10.40;3.70;3.70;3.70;0.44;2.00
Loop 1325;python3.12;typeobject.c:5307-5307,tupleobject.c:136-136,tupleobject.c:140-141,tupleobject.c:145-145,pycore_gc.h:40-40,pycore_gc.h:59-60,pycore_gc.h:63-63,pycore_gc.h:68-68,pycore_gc.h:74-74,pycore_object.h:248-249,pycore_object.h:331-332,object.h:220-220,object.h:234-234,gcmodule.c:648-648,gcmodule.c:651-651;gc_collect_main;Outermost;0.05;0.05;0.24;1.00;1.00;19.55;1.58;562;0.00;11.03;17.40;17.40;17.40;0.89;11.00
Loop 929;python3.12;pycore_pystate.h:19-19,pycore_pystate.h:59-59,pycore_runtime.h:204-204,ceval_gil.c:67-67,ceval_gil.c:76-76,ceval_gil.c:83-85,ceval_gil.c:356-356,ceval_gil.c:378-378,ceval_gil.c:403-416,ceval_gil.c:432-432,ceval_gil.c:440-456,ceval_gil.c:470-470,ceval_gil.c:483-490,condvar.h:73-77,thread_pthread.h:149-153,thread_pthread.h:160-161,thread_pthread.h:316-319,pycore_interp.h:209-209;take_gil;Single;0.05;0.05;0.22;1.00;1.00;12.99;2.53;1;0.00;9.91;34.20;34.20;34.20;2.63;13.50
Loop 1230;python3.12;object.c:864-864,object.c:871-875,object.h:243-243,object.h:647-647,object.h:701-701,object.h:967-967,ceval.c:1373-1376,ceval.c:1379-1379,ceval.c:1388-1391,ceval.c:1397-1400,ceval.c:1403-1403,ceval.c:1409-1409,ceval.c:1425-1425,ceval.c:1428-1428,ceval.c:1439-1439,ceval.c:1445-1445;initialize_locals;Outermost;0.04;0.04;0.19;1.00;1.00;12.68;2.06;52;0.00;11.48;32.00;32.00;32.00;2.52;15.50
Loop 1328;python3.12;pycore_gc.h:68-68,pycore_gc.h:74-74,gcmodule.c:86-86,gcmodule.c:92-92,gcmodule.c:586-587,gcmodule.c:596-602,gcmodule.c:621-621,gcmodule.c:631-636;deduce_unreachable;Single;0.04;0.04;0.17;1.11;1.00;8.24;1.33;2;3.57;11.99;4.00;3.60;4.00;0.49;3.00
Loop 1311;python3.12;floatobject.c:2008-2008,floatobject.c:2014-2017,typeobject.c:5307-5307,tupleobject.c:974-974,dictobject.c:1133-1133,dictobject.c:1137-1142,dictobject.c:1148-1153,dictobject.c:1159-1163,pycore_gc.h:37-37,pycore_gc.h:40-40,pycore_gc.h:59-60,pycore_gc.h:63-63,pycore_gc.h:68-68,pycore_gc.h:74-75,pycore_object.h:248-250,pycore_object.h:331-332,pycore_pyerrors.h:23-23,object.h:220-220,gcmodule.c:236-238,gcmodule.c:243-243,gcmodule.c:301-301,gcmodule.c:321-322,gcmodule.c:663-663,gcmodule.c:666-666,gcmodule.c:716-716,gcmodule.c:746-746,gcmodule.c:774-774,gcmodule.c:786-786,gcmodule.c:952-952,gcmodule.c:1056-1059,gcmodule.c:1184-1184,gcmodule.c:1200-1200,gcmodule.c:1256-1257,gcmodule.c:1277-1277,gcmodule.c:1284-1284,gcmodule.c:1302-1302,gcmodule.c:1307-1307,gcmodule.c:1312-1314,gcmodule.c:1328-1329,gcmodule.c:1342-1346,gcmodule.c:1350-1352,gcmodule.c:1360-1360,pycore_dict.h:134-135;gc_collect_main;Outermost;0.03;0.03;0.15;2.13;1.00;13.06;2.13;1;6.74;12.26;121.60;57.00;121.60;9.31;57.00
Loop 935;python3.12;dictobject.c:344-346,dictobject.c:933-933,dictobject.c:942-953,dictobject.c:961-962;_Py_dict_lookup;Innermost;0.03;0.03;0.15;1.00;1.00;13.26;2.00;1;0.00;11.61;6.00;6.00;6.00;0.45;3.00
