block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;flops;
76351;python3.9;ceval.c:1492-1495,object.h:408-408;0.73;0.16;0.16;0.16;0.16;0;0;1;;
80092;python3.9;object.c:880-883;0.57;0.13;0.13;0.13;0.13;0;0;1;;
80443;python3.9;typeobject.c:3255-3255;0.51;0.11;0.11;0.11;0.11;0;0;1;;
80467;python3.9;object.h:408-408,object.h:422-422;0.46;0.1;0.1;0.1;0.1;0;0;1;;
76366;python3.9;ceval.c:2561-2566,object.h:408-408;0.46;0.1;0.1;0.1;0.1;0;0;1;;
76348;python3.9;ceval.c:1478-1479;0.42;0.09;0.09;0.09;0.09;0;0;1;;
76349;python3.9;ceval.c:1486-1487,object.h:408-408;0.4;0.09;0.09;0.09;0.09;0;0;1;;
76362;python3.9;ceval.c:2552-2552;0.38;0.08;0.08;0.08;0.08;0;0;1;;
76363;python3.9;ceval.c:2552-2553;0.35;0.08;0.08;0.08;0.08;0;0;1;;
70534;python3.9;dictobject.c:897-900;0.35;0.08;0.08;0.08;0.08;0;0;1;;
76345;python3.9;ceval.c:1442-1442;0.33;0.07;0.07;0.07;0.07;0;0;1;;
90265;python3.9;pycore_pystate.h:82-82,ceval.c:464-464;0.33;0.07;0.07;0.07;0.07;0;0;1;;
76445;python3.9;ceval.c:2995-2997;0.31;0.07;0.07;0.07;0.07;0;0;1;;
80445;python3.9;object.c:1199-1200,object.h:408-408;0.31;0.07;0.07;0.07;0.07;0;0;1;;
81372;python3.9;object.c:1108-1108,object.h:408-408;0.29;0.06;0.06;0.06;0.06;0;0;1;;
73227;python3.9;gcmodule.c:108-108,gcmodule.c:413-413;0.29;0.06;0.06;0.06;0.06;0;0;1;;
79447;python3.9;dictobject.c:854-857;0.26;0.06;0.06;0.06;0.06;0;0;1;;
73547;python3.9;gcmodule.c:478-478,pycore_object.h:112-113;0.24;0.05;0.05;0.05;0.05;0;0;1;;
71888;python3.9;dictobject.c:1444-1444;0.22;0.05;0.05;0.05;0.05;0;0;1;;
70525;python3.9;dictobject.c:874-874,dictobject.c:880-881;0.2;0.04;0.05;0.05;0.05;0;0;1;;
80435;python3.9;object.c:1189-1189,object.h:408-408;0.2;0.04;0.04;0.04;0.04;0;0;1;;
80452;python3.9;object.h:408-408,object.h:628-628,dictobject.c:1463-1463;0.2;0.04;0.04;0.04;0.04;0;0;1;;
73187;python3.9;gcmodule.c:313-314;0.2;0.04;0.04;0.04;0.04;0;0;1;;
72361;python3.9;typeobject.c:1422-1426;0.2;0.04;0.04;0.04;0.04;0;0;1;;
81361;python3.9;object.c:1097-1097;0.18;0.04;0.04;0.04;0.04;0;0;1;;
80093;python3.9;object.c:889-889;0.18;0.04;0.04;0.04;0.04;0;0;1;;
76358;python3.9;ceval.c:2549-2549;0.18;0.04;0.04;0.04;0.04;0;0;1;;
80439;python3.9;typeobject.c:3251-3251;0.15;0.03;0.04;0.04;0.04;0;0;1;;
76353;python3.9;ceval.c:1500-1501,object.h:496-496;0.15;0.03;0.04;0.04;0.04;0;0;1;;
72363;python3.9;typeobject.c:1431-1436;0.15;0.03;0.04;0.04;0.04;0;0;1;;
81022;python3.9;object.h:487-487,frameobject.c:894-895;0.15;0.03;0.04;0.04;0.04;0;0;1;;
74015;python3.9;dictobject.c:1444-1444;0.15;0.03;0.04;0.04;0.04;0;0;1;;
74026;python3.9;dictobject.c:897-900;0.15;0.03;0.04;0.04;0.04;0;0;1;;
73367;python3.9;pycore_object.h:112-113;0.15;0.03;0.04;0.04;0.04;0;0;1;;
79452;python3.9;dictobject.c:350-350,dictobject.c:849-849;0.15;0.03;0.04;0.04;0.04;0;0;1;;
80971;python3.9;call.c:348-348,call.c:354-354;0.15;0.03;0.03;0.03;0.03;0;0;1;;
80973;python3.9;pycore_pystate.h:55-55,call.c:359-363;0.13;0.03;0.03;0.03;0.03;0;0;1;;
76410;python3.9;ceval.c:3433-3437;0.13;0.03;0.03;0.03;0.03;0;0;1;;
76425;python3.9;abstract.h:114-114,string3.h:52-52;0.13;0.03;0.03;0.03;0.03;0;0;1;;
80444;python3.9;object.c:1197-1197,typeobject.c:3260-3260;0.13;0.03;0.03;0.03;0.03;0;0;1;;
78405;python3.9;frameobject.c:574-578;0.13;0.03;0.03;0.03;0.03;0;0;1;;
70707;python3.9;unicodeobject.c:1937-1938;0.13;0.03;0.03;0.03;0.03;0;0;1;;
74014;python3.9;object.h:628-628,typeobject.c:3226-3226,dictobject.c:1439-1439;0.13;0.03;0.03;0.03;0.03;0;0;1;;
71887;python3.9;object.h:628-628,dictobject.c:1439-1439,dictobject.c:1489-1489;0.13;0.03;0.03;0.03;0.03;0;0;1;;
80038;python3.9;object.h:422-422;0.13;0.03;0.03;0.03;0.03;0;0;1;;
78415;python3.9;object.h:422-422,frameobject.c:585-585;0.13;0.03;0.03;0.03;0.03;0;0;1;;
86076;python3.9;pycore_pystate.h:55-55,methodobject.c:524-524,methodobject.c:530-531;0.11;0.02;0.02;0.02;0.02;0;0;1;;
84807;python3.9;abstract.h:73-74;0.11;0.02;0.02;0.02;0.02;0;0;1;;
81369;python3.9;typeobject.c:3255-3255;0.11;0.02;0.02;0.02;0.02;0;0;1;;
80457;python3.9;dictobject.c:1476-1476;0.11;0.02;0.02;0.02;0.02;0;0;1;;
76357;python3.9;ceval.c:1502-1502;0.11;0.02;0.02;0.02;0.02;0;0;1;;
76352;python3.9;ceval.c:1495-1495;0.11;0.02;0.02;0.02;0.02;0;0;1;;
72304;python3.9;gcmodule.c:2236-2241;0.11;0.02;0.02;0.02;0.02;0;0;1;;
71726;python3.9;obmalloc.c:1617-1621;0.11;0.02;0.02;0.02;0.02;0;0;1;;
72885;python3.9;gcmodule.c:628-629;0.11;0.02;0.02;0.02;0.02;0;0;1;;
84652;python3.9;typeobject.c:1482-1482;0.11;0.02;0.02;0.02;0.02;0;0;1;;
71490;python3.9;pycore_pystate.h:55-55,pycore_object.h:39-39,pycore_object.h:46-51;0.11;0.02;0.02;0.02;0.02;0;0;1;;
71899;python3.9;dictobject.c:897-900;0.11;0.02;0.02;0.02;0.02;0;0;1;;
92905;python3.9;abstract.c:2454-2459,object.h:628-628;0.09;0.02;0.02;0.02;0.02;0;0;1;;
86643;python3.9;listobject.c:3196-3196;0.09;0.02;0.02;0.02;0.02;0;0;1;;
82840;python3.9;pycore_pystate.h:55-55,abstract.c:2496-2497,abstract.c:2555-2555;0.09;0.02;0.02;0.02;0.02;0;0;1;;
82846;python3.9;abstract.c:2505-2505;0.09;0.02;0.02;0.02;0.02;0;0;1;;
81021;python3.9;object.h:133-133,frameobject.c:894-894;0.09;0.02;0.02;0.02;0.02;0;0;1;;
80975;python3.9;call.c:363-364;0.09;0.02;0.02;0.02;0.02;0;0;1;;
80811;python3.9;pycore_pystate.h:55-55,methodobject.c:392-392,methodobject.c:497-497;0.09;0.02;0.02;0.02;0.02;0;0;1;;
76419;python3.9;ceval.c:3474-3475;0.09;0.02;0.02;0.02;0.02;0;0;1;;
76453;python3.9;ceval.c:3007-3009;0.09;0.02;0.02;0.02;0.02;0;0;1;;
76427;python3.9;abstract.h:118-118,call.c:38-38;0.09;0.02;0.02;0.02;0.02;0;0;1;;
76374;python3.9;abstract.h:114-114,string3.h:52-52;0.09;0.02;0.02;0.02;0.02;0;0;1;;
75206;python3.9;gcmodule.c:2241-2241,dictobject.c:2007-2009;0.09;0.02;0.02;0.02;0.02;0;0;1;;
73845;python3.9;typeobject.c:3255-3255;0.09;0.02;0.02;0.02;0.02;0;0;1;;
71701;python3.9;pycore_pystate.h:55-55,errors.c:249-255;0.09;0.02;0.02;0.02;0.02;0;0;1;;
71480;python3.9;tupleobject.c:101-104;0.09;0.02;0.02;0.02;0.02;0;0;1;;
70568;python3.9;dictobject.c:344-344,dictobject.c:1023-1027;0.09;0.02;0.02;0.02;0.02;0;0;1;;
70459;python3.9;string3.h:52-52,pyhash.c:407-418;0.09;0.02;0.02;0.02;0.02;0;0;1;;
79747;python3.9;typeobject.c:1466-1466;0.09;0.02;0.02;0.02;0.02;0;0;1;;
73107;python3.9;pycore_object.h:112-113;0.09;0.02;0.02;0.02;0.02;0;0;1;;
153908;python3.9;pycore_pystate.h:82-82,ceval.c:382-382;0.07;0.01;0.01;0.01;0.01;0;0;1;;
126586;python3.9;thread_pthread.h:915-917;0.07;0.01;0.01;0.01;0.01;0;0;1;;
101695;python3.9;tupleobject.c:630-635,object.h:628-628;0.07;0.01;0.01;0.01;0.01;0;0;1;;
93470;python3.9;abstract.c:1741-1744;0.07;0.01;0.01;0.01;0.01;0;0;1;;
90988;python3.9;object.h:628-628,longobject.c:3705-3708;0.07;0.01;0.01;0.01;0.01;0;0;1;;
90243;python3.9;pycore_pystate.h:82-82,ceval.c:450-450,pystate.c:980-982;0.07;0.01;0.01;0.01;0.01;0;0;1;;
89723;python3.9;tupleobject.c:386-386;0.07;0.01;0.01;0.01;0.01;0;0;1;;
86650;python3.9;typeobject.c:1198-1198,typeobject.c:1204-1209;0.07;0.01;0.01;0.01;0.01;0;0;1;;
84811;python3.9;pycore_pystate.h:55-55,call.c:359-363;0.07;0.01;0.01;0.01;0.01;0;0;1;;
83007;python3.9;pycore_pystate.h:55-55,object.c:710-714;0.07;0.01;0.01;0.01;0.01;0;0;1;;
81359;python3.9;object.c:1086-1087,object.c:1096-1096;0.07;0.01;0.01;0.01;0.01;0;0;1;;
81275;python3.9;descrobject.c:187-187;0.07;0.01;0.01;0.01;0.01;0;0;1;;
81207;python3.9;bltinmodule.c:1055-1058;0.07;0.01;0.01;0.01;0.01;0;0;1;;
81018;python3.9;object.h:408-408,frameobject.c:778-779,frameobject.c:836-836;0.07;0.01;0.01;0.01;0.01;0;0;1;;
80972;python3.9;pycore_pystate.h:55-55,call.c:354-363;0.07;0.01;0.01;0.01;0.01;0;0;1;;
80463;python3.9;dictobject.c:942-945;0.07;0.01;0.01;0.01;0.01;0;0;1;;
80484;python3.9;object.h:408-408,object.h:422-422,typeobject.c:3287-3289,typeobject.c:3298-3298;0.07;0.01;0.01;0.01;0.01;0;0;1;;
80471;python3.9;object.h:422-422;0.07;0.01;0.01;0.01;0.01;0;0;1;;
80257;python3.9;methodobject.c:412-412,methodobject.c:486-486;0.07;0.01;0.01;0.01;0.01;0;0;1;;
80027;python3.9;tupleobject.c:233-233,pycore_object.h:74-79;0.07;0.01;0.01;0.01;0.01;0;0;1;;
78420;python3.9;object.h:422-422;0.07;0.01;0.01;0.01;0.01;0;0;1;;
78059;python3.9;tupleobject.c:131-131,object.h:133-133,object.h:408-408,object.h:628-628,funcobject.c:41-54;0.07;0.01;0.01;0.01;0.01;0;0;1;;
76715;python3.9;ceval.c:2833-2833,dictobject.c:1346-1346;0.07;0.01;0.01;0.01;0.01;0;0;1;;
76394;python3.9;ceval.c:3150-3152;0.07;0.01;0.01;0.01;0.01;0;0;1;;
76364;python3.9;ceval.c:2556-2556;0.07;0.01;0.01;0.01;0.01;0;0;1;;
76365;python3.9;ceval.c:2558-2558;0.07;0.01;0.01;0.01;0.01;0;0;1;;
76347;python3.9;ceval.c:1467-1467;0.07;0.01;0.01;0.01;0.01;0;0;1;;
76510;python3.9;ceval.c:2433-2438;0.07;0.01;0.01;0.01;0.01;0;0;1;;
76401;python3.9;ceval.c:2056-2056,ceval.c:3826-3826;0.07;0.01;0.01;0.01;0.01;0;0;1;;
76456;python3.9;object.h:422-422;0.07;0.01;0.01;0.01;0.01;0;0;1;;
76372;python3.9;abstract.h:73-74;0.07;0.01;0.01;0.01;0.01;0;0;1;;
76409;python3.9;ceval.c:3850-3850;0.07;0.01;0.01;0.01;0.01;0;0;1;;
76072;python3.9;object.h:408-408,frameobject.c:778-779;0.07;0.01;0.01;0.01;0.01;0;0;1;;
76076;python3.9;object.h:487-487,frameobject.c:894-895;0.07;0.01;0.01;0.01;0.01;0;0;1;;
73844;python3.9;typeobject.c:3254-3255;0.07;0.01;0.01;0.01;0.01;0;0;1;;
73800;python3.9;object.c:980-984;0.07;0.01;0.01;0.01;0.01;0;0;1;;
71871;python3.9;typeobject.c:3764-3764;0.07;0.01;0.01;0.01;0.01;0;0;1;;
70703;python3.9;object.c:2204-2209;0.07;0.01;0.01;0.01;0.01;0;0;1;;
69539;python3.9;thread_pthread.h:923-925;0.07;0.01;0.01;0.01;0.01;0;0;1;;
78486;python3.9;object.h:422-422,pycore_ceval.h:94-94;0.07;0.01;0.01;0.01;0.01;0;0;1;;
111900;python3.9;unicodeobject.c:2305-2305,object.h:408-408;0.07;0.01;0.01;0.01;0.01;0;0;1;;
72887;python3.9;gcmodule.c:626-626;0.07;0.01;0.01;0.01;0.01;0;0;1;;
73231;python3.9;gcmodule.c:93-93,gcmodule.c:565-565;0.07;0.01;0.01;0.01;0.01;0;0;1;;
80045;python3.9;object.h:422-422;0.07;0.01;0.01;0.01;0.01;0;0;1;;
85103;python3.9;tupleobject.c:411-411;0.07;0.01;0.01;0.01;0.01;0;0;1;;
80752;python3.9;pycore_pystate.h:55-55,methodobject.c:107-113,object.h:133-133,object.h:408-408,pycore_object.h:46-51;0.07;0.01;0.01;0.01;0.01;0;0;1;;
73229;python3.9;gcmodule.c:467-469;0.07;0.01;0.01;0.01;0.01;0;0;1;;
70369;python3.9;dictobject.c:849-849;0.07;0.01;0.01;0.01;0.01;0;0;1;;
73018;python3.9;gcmodule.c:313-314;0.07;0.01;0.01;0.01;0.01;0;0;1;;
71897;python3.9;dictobject.c:346-346,dictobject.c:893-893;0.07;0.01;0.01;0.01;0.01;0;0;1;;
70544;python3.9;dictobject.c:350-350,dictobject.c:893-893;0.07;0.01;0.01;0.01;0.01;0;0;1;;
165485;python3.9;dictobject.c:2740-2741;0.04;0.01;0.01;0.01;0.01;0;0;1;;
155547;python3.9;typeobject.c:6623-6623;0.04;0.01;0.01;0.01;0.01;0;0;1;;
147810;python3.9;object.h:422-422;0.04;0.01;0.01;0.01;0.01;0;0;1;;
115882;python3.9;abstract.c:1598-1601;0.04;0.01;0.01;0.01;0.01;0;0;1;;
