name;time_p;time_s;cpi_ratio;
/home/aaron/.pyenv/versions/3.12.0/lib/libpython3.12.so.1.0;55.04;44.25;;
/home/aaron/.pyenv/versions/3.12.0/lib/python3.12/site-packages/numpy/core/_multiarray_umath.cpython-312-x86_64-linux-gnu.so;14.1;11.34;;
/home/aaron/.pyenv/versions/3.12.0/lib/python3.12/site-packages/sklearn/tree/_tree.cpython-312-x86_64-linux-gnu.so;4.55;3.66;;
/usr/lib/libc.so.6;3.98;3.2;;
/usr/lib/libm.so.6;3.96;3.18;;
/home/aaron/.pyenv/versions/3.12.0/lib/python3.12/site-packages/sklearn/tree/_splitter.cpython-312-x86_64-linux-gnu.so;3.59;2.89;;
/home/aaron/.pyenv/versions/3.12.0/lib/python3.12/site-packages/sklearn/svm/_libsvm.cpython-312-x86_64-linux-gnu.so;2.91;2.34;;
/usr/lib/ld-linux-x86-64.so.2;1.94;1.56;;
/home/aaron/.pyenv/versions/3.12.0/lib/python3.12/site-packages/sklearn/tree/_criterion.cpython-312-x86_64-linux-gnu.so;1.78;1.44;;
/home/aaron/.pyenv/versions/3.12.0/lib/python3.12/site-packages/scipy.libs/libopenblasp-r0-01191904.3.27.so;1.44;1.15;;
/home/aaron/.pyenv/versions/3.12.0/lib/python3.12/site-packages/sklearn/neighbors/_kd_tree.cpython-312-x86_64-linux-gnu.so;1.28;1.03;;
kernel;1.06;0.85;;
/home/aaron/.pyenv/versions/3.12.0/lib/python3.12/site-packages/numpy/random/bit_generator.cpython-312-x86_64-linux-gnu.so;0.78;0.62;;
/home/aaron/.pyenv/versions/3.12.0/lib/python3.12/site-packages/numpy/random/_mt19937.cpython-312-x86_64-linux-gnu.so;0.53;0.43;;
/home/aaron/.pyenv/versions/3.12.0/lib/python3.12/site-packages/sklearn/utils/_cython_blas.cpython-312-x86_64-linux-gnu.so;0.29;0.23;;
/home/aaron/.pyenv/versions/3.12.0/lib/python3.12/site-packages/pandas/_libs/internals.cpython-312-x86_64-linux-gnu.so;0.25;0.2;;
/home/aaron/.pyenv/versions/3.12.0/lib/python3.12/site-packages/pandas/_libs/lib.cpython-312-x86_64-linux-gnu.so;0.22;0.18;;
/home/aaron/.pyenv/versions/3.12.0/lib/python3.12/site-packages/sklearn/utils/_weight_vector.cpython-312-x86_64-linux-gnu.so;0.21;0.17;;
/home/aaron/.pyenv/versions/3.12.0/lib/python3.12/site-packages/numpy/random/_bounded_integers.cpython-312-x86_64-linux-gnu.so;0.2;0.16;;
/home/aaron/.pyenv/versions/3.12.0/lib/python3.12/site-packages/pandas/_libs/algos.cpython-312-x86_64-linux-gnu.so;0.2;0.16;;
/home/aaron/.pyenv/versions/3.12.0/lib/python3.12/site-packages/sklearn/linear_model/_sgd_fast.cpython-312-x86_64-linux-gnu.so;0.19;0.15;;
/home/aaron/.pyenv/versions/3.12.0/lib/python3.12/site-packages/pandas/_libs/hashtable.cpython-312-x86_64-linux-gnu.so;0.17;0.14;;
/home/aaron/.pyenv/versions/3.12.0/lib/python3.12/site-packages/pandas/_libs/parsers.cpython-312-x86_64-linux-gnu.so;0.16;0.13;;
/home/aaron/.pyenv/versions/3.12.0/lib/python3.12/site-packages/pandas/_libs/pandas_parser.cpython-312-x86_64-linux-gnu.so;0.14;0.11;;
/home/aaron/.pyenv/versions/3.12.0/lib/python3.12/site-packages/sklearn/svm/_liblinear.cpython-312-x86_64-linux-gnu.so;0.12;0.1;;
/home/aaron/.pyenv/versions/3.12.0/lib/python3.12/site-packages/sklearn/tree/_utils.cpython-312-x86_64-linux-gnu.so;0.12;0.1;;
/home/aaron/.pyenv/versions/3.12.0/lib/python3.12/site-packages/pandas/_libs/properties.cpython-312-x86_64-linux-gnu.so;0.11;0.09;;
/home/aaron/.pyenv/versions/3.12.0/lib/python3.12/site-packages/sklearn/utils/_seq_dataset.cpython-312-x86_64-linux-gnu.so;0.11;0.09;;
/home/aaron/.pyenv/versions/3.12.0/lib/python3.12/site-packages/scipy/linalg/cython_blas.cpython-312-x86_64-linux-gnu.so;0.1;0.08;;
/home/aaron/.pyenv/versions/3.12.0/lib/python3.12/site-packages/pandas/_libs/missing.cpython-312-x86_64-linux-gnu.so;0.09;0.07;;
/home/aaron/.pyenv/versions/3.12.0/lib/python3.12/site-packages/pandas/_libs/index.cpython-312-x86_64-linux-gnu.so;0.07;0.06;;
/home/aaron/.pyenv/versions/3.12.0/lib/python3.12/site-packages/numpy/random/mtrand.cpython-312-x86_64-linux-gnu.so;0.06;0.05;;
/home/aaron/.pyenv/versions/3.12.0/lib/python3.12/site-packages/scipy/optimize/_lbfgsb.cpython-312-x86_64-linux-gnu.so;0.05;0.04;;
/home/aaron/.pyenv/versions/3.12.0/lib/python3.12/site-packages/sklearn/utils/_heap.cpython-312-x86_64-linux-gnu.so;0.04;0.03;;
/home/aaron/.pyenv/versions/3.12.0/lib/python3.12/site-packages/sklearn/_loss/_loss.cpython-312-x86_64-linux-gnu.so;0.02;0.02;;
/home/aaron/.pyenv/versions/3.12.0/lib/python3.12/site-packages/numpy.libs/libopenblas64_p-r0-0cf96a72.3.23.dev.so;0.02;0.01;;
/home/aaron/.pyenv/versions/3.12.0/lib/python3.12/site-packages/pandas/_libs/indexing.cpython-312-x86_64-linux-gnu.so;0.01;0.01;;
[vdso];0.01;0.01;;
/home/aaron/.pyenv/versions/3.12.0/lib/python3.12/lib-dynload/_random.cpython-312-x86_64-linux-gnu.so;0.01;0;;
/home/aaron/.pyenv/versions/3.12.0/lib/python3.12/site-packages/pandas/_libs/arrays.cpython-312-x86_64-linux-gnu.so;0.01;0;;
/home/aaron/.pyenv/versions/3.12.0/lib/python3.12/site-packages/pandas/_libs/interval.cpython-312-x86_64-linux-gnu.so;0.01;0;;
/home/aaron/.pyenv/versions/3.12.0/lib/python3.12/site-packages/pandas/_libs/tslibs/offsets.cpython-312-x86_64-linux-gnu.so;0.01;0;;
/home/aaron/.pyenv/versions/3.12.0/lib/python3.12/site-packages/pandas/_libs/tslibs/period.cpython-312-x86_64-linux-gnu.so;0.01;0;;
/home/aaron/.pyenv/versions/3.12.0/lib/python3.12/site-packages/scipy/sparse/_csparsetools.cpython-312-x86_64-linux-gnu.so;0.01;0;;
/home/aaron/.pyenv/versions/3.12.0/lib/python3.12/site-packages/sklearn/metrics/_dist_metrics.cpython-312-x86_64-linux-gnu.so;0.01;0;;
/home/aaron/.pyenv/versions/3.12.0/lib/python3.12/site-packages/sklearn/utils/_sorting.cpython-312-x86_64-linux-gnu.so;0.01;0;;
/usr/lib/libstdc++.so.6.0.33;0.01;0;;
