block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;flops;
76351;python3.9;ceval.c:1492-1495,object.h:408-408;1.26;0.96;0.96;0.96;0.96;0;0;1;;
20770;_tree.cpython-39-x86_64-linux-gnu.so;;1.21;0.93;0.93;0.93;0.93;0;0;1;;
20768;_tree.cpython-39-x86_64-linux-gnu.so;;1.05;0.8;0.8;0.8;0.8;0;0;1;;
76363;python3.9;ceval.c:2552-2553;0.99;0.76;0.75;0.75;0.75;0;0;1;;
76366;python3.9;ceval.c:2561-2566,object.h:408-408;0.9;0.69;0.69;0.69;0.69;0;0;1;;
20773;_tree.cpython-39-x86_64-linux-gnu.so;;0.86;0.66;0.66;0.66;0.66;0;0;1;;
76349;python3.9;ceval.c:1486-1487,object.h:408-408;0.73;0.56;0.56;0.56;0.56;0;0;1;;
80445;python3.9;object.c:1199-1200,object.h:408-408;0.69;0.53;0.53;0.53;0.53;0;0;1;;
76348;python3.9;ceval.c:1478-1479;0.67;0.51;0.51;0.51;0.51;0;0;1;;
20774;_tree.cpython-39-x86_64-linux-gnu.so;;0.66;0.5;0.5;0.5;0.5;0;0;1;;
80443;python3.9;typeobject.c:3255-3255;0.65;0.49;0.49;0.49;0.49;0;0;1;;
80092;python3.9;object.c:880-883;0.59;0.45;0.45;0.45;0.45;0;0;1;;
80467;python3.9;object.h:408-408,object.h:422-422;0.52;0.4;0.4;0.4;0.4;0;0;1;;
76362;python3.9;ceval.c:2552-2552;0.49;0.38;0.38;0.38;0.38;0;0;1;;
71490;python3.9;pycore_pystate.h:55-55,pycore_object.h:39-39,pycore_object.h:46-51;0.48;0.37;0.37;0.37;0.37;0;0;1;;
76345;python3.9;ceval.c:1442-1442;0.46;0.35;0.35;0.35;0.35;0;0;1;;
76445;python3.9;ceval.c:2995-2997;0.45;0.35;0.34;0.34;0.34;0;0;1;;
70534;python3.9;dictobject.c:897-900;0.37;0.28;0.28;0.28;0.28;0;0;1;;
70703;python3.9;object.c:2204-2209;0.37;0.28;0.28;0.28;0.28;0;0;1;;
20775;_tree.cpython-39-x86_64-linux-gnu.so;;0.33;0.26;0.26;0.26;0.26;0;0;1;;
72672;python3.9;obmalloc.c:1608-1612;0.33;0.25;0.25;0.25;0.25;0;0;1;;
79447;python3.9;dictobject.c:854-857;0.32;0.25;0.25;0.25;0.25;0;0;1;;
78405;python3.9;frameobject.c:574-578;0.31;0.24;0.24;0.24;0.24;0;0;1;;
76358;python3.9;ceval.c:2549-2549;0.31;0.24;0.24;0.24;0.24;0;0;1;;
76374;python3.9;abstract.h:114-114,string3.h:52-52;0.29;0.22;0.23;0.23;0.23;0;0;1;;
72361;python3.9;typeobject.c:1422-1426;0.26;0.2;0.2;0.2;0.2;0;0;1;;
69665;python3.9;obmalloc.c:1617-1621;0.24;0.19;0.19;0.19;0.19;0;0;1;;
76372;python3.9;abstract.h:73-74;0.24;0.18;0.19;0.19;0.19;0;0;1;;
81372;python3.9;object.c:1108-1108,object.h:408-408;0.24;0.18;0.18;0.18;0.18;0;0;1;;
76353;python3.9;ceval.c:1500-1501,object.h:496-496;0.23;0.18;0.17;0.17;0.17;0;0;1;;
69663;python3.9;obmalloc.c:1608-1612;0.22;0.17;0.17;0.17;0.17;0;0;1;;
82415;python3.9;obmalloc.c:1679-1686;0.22;0.16;0.17;0.17;0.17;0;0;1;;
80025;python3.9;tupleobject.c:229-231,gcmodule.c:2241-2241;0.22;0.16;0.17;0.17;0.17;0;0;1;;
72674;python3.9;obmalloc.c:1617-1621;0.22;0.16;0.17;0.17;0.17;0;0;1;;
81022;python3.9;object.h:487-487,frameobject.c:894-895;0.2;0.16;0.16;0.16;0.16;0;0;1;;
78415;python3.9;object.h:422-422,frameobject.c:585-585;0.2;0.16;0.16;0.16;0.16;0;0;1;;
76076;python3.9;object.h:487-487,frameobject.c:894-895;0.2;0.15;0.15;0.15;0.15;0;0;1;;
76370;python3.9;ceval.c:3521-3521,ceval.c:5067-5074;0.19;0.15;0.15;0.15;0.15;0;0;1;;
80457;python3.9;dictobject.c:1476-1476;0.19;0.14;0.14;0.14;0.14;0;0;1;;
72363;python3.9;typeobject.c:1431-1436;0.18;0.14;0.14;0.14;0.14;0;0;1;;
71888;python3.9;dictobject.c:1444-1444;0.18;0.14;0.14;0.14;0.14;0;0;1;;
76347;python3.9;ceval.c:1467-1467;0.18;0.14;0.14;0.14;0.14;0;0;1;;
78420;python3.9;object.h:422-422;0.18;0.14;0.14;0.14;0.14;0;0;1;;
71899;python3.9;dictobject.c:897-900;0.18;0.14;0.14;0.14;0.14;0;0;1;;
82412;python3.9;obmalloc.c:1422-1422;0.17;0.13;0.13;0.13;0.13;0;0;1;;
81050;python3.9;typeobject.c:1431-1432;0.17;0.13;0.13;0.13;0.13;0;0;1;;
76394;python3.9;ceval.c:3150-3152;0.17;0.13;0.13;0.13;0.13;0;0;1;;
76350;python3.9;ceval.c:1487-1487;0.17;0.13;0.13;0.13;0.13;0;0;1;;
71887;python3.9;object.h:628-628,dictobject.c:1439-1439,dictobject.c:1489-1489;0.17;0.13;0.13;0.13;0.13;0;0;1;;
20771;_tree.cpython-39-x86_64-linux-gnu.so;;0.17;0.13;0.13;0.13;0.13;0;0;1;;
70705;python3.9;object.c:2205-2210;0.16;0.12;0.13;0.13;0.13;0;0;1;;
80444;python3.9;object.c:1197-1197,typeobject.c:3260-3260;0.16;0.12;0.12;0.12;0.12;0;0;1;;
80434;python3.9;object.c:1167-1167,object.c:1174-1174,object.c:1181-1181;0.16;0.12;0.12;0.12;0.12;0;0;1;;
76365;python3.9;ceval.c:2558-2558;0.15;0.12;0.12;0.12;0.12;0;0;1;;
76336;python3.9;ceval.c:1332-1337;0.15;0.11;0.11;0.11;0.11;0;0;1;;
82406;python3.9;typeobject.c:3950-3951;0.14;0.11;0.11;0.11;0.11;0;0;1;;
80973;python3.9;pycore_pystate.h:55-55,call.c:359-363;0.14;0.11;0.11;0.11;0.11;0;0;1;;
71701;python3.9;pycore_pystate.h:55-55,errors.c:249-255;0.14;0.11;0.11;0.11;0.11;0;0;1;;
78504;python3.9;typeobject.c:1431-1432;0.14;0.11;0.11;0.11;0.11;0;0;1;;
76410;python3.9;ceval.c:3433-3437;0.14;0.11;0.11;0.11;0.11;0;0;1;;
78468;python3.9;pycore_pystate.h:55-55,pycore_object.h:39-39,pycore_object.h:46-51;0.14;0.11;0.11;0.11;0.11;0;0;1;;
80971;python3.9;call.c:348-348,call.c:354-354;0.14;0.11;0.11;0.11;0.11;0;0;1;;
80027;python3.9;tupleobject.c:233-233,pycore_object.h:74-79;0.14;0.11;0.11;0.11;0.11;0;0;1;;
73845;python3.9;typeobject.c:3255-3255;0.14;0.11;0.11;0.11;0.11;0;0;1;;
71717;python3.9;typeobject.c:1043-1048;0.14;0.11;0.11;0.11;0.11;0;0;1;;
70532;python3.9;dictobject.c:346-346,dictobject.c:893-893;0.14;0.11;0.11;0.11;0.11;0;0;1;;
70802;python3.9;obmalloc.c:1422-1422;0.13;0.1;0.1;0.1;0.1;0;0;1;;
74015;python3.9;dictobject.c:1444-1444;0.13;0.1;0.1;0.1;0.1;0;0;1;;
76401;python3.9;ceval.c:2056-2056,ceval.c:3826-3826;0.12;0.09;0.09;0.09;0.09;0;0;1;;
71487;python3.9;tupleobject.c:75-76,object.c:1824-1824;0.12;0.09;0.09;0.09;0.09;0;0;1;;
70525;python3.9;dictobject.c:874-874,dictobject.c:880-881;0.12;0.09;0.09;0.09;0.09;0;0;1;;
74014;python3.9;object.h:628-628,typeobject.c:3226-3226,dictobject.c:1439-1439;0.12;0.09;0.09;0.09;0.09;0;0;1;;
81165;python3.9;pycore_pystate.h:55-55,methodobject.c:392-392,methodobject.c:419-419;0.12;0.09;0.09;0.09;0.09;0;0;1;;
77507;python3.9;dictobject.c:1521-1522;0.12;0.09;0.09;0.09;0.09;0;0;1;;
