address;source_location;insn;indent
0x62d79c5;:0;INC	%R15;
0x62d79c8;:0;MOVSXD	0x18(%R8),%RAX;
0x62d79cc;:0;ADD	$0x10,%R12;
0x62d79d0;:0;ADD	$0x30,%R13;
0x62d79d4;:0;CMP	%RAX,%R15;
0x62d79d7;:0;JGE	62d7bea <_ZN10tensorflow12_GLOBAL__N_113ExecutorStateINS_21SimplePropagatorStateEE7ProcessERKNS2_10TaggedNodeEl+0xa4a>;
0x62d79dd;:0;TESTB	$0x40,0x5(%R8);
0x62d79e2;:0;JNE	62d7ba9 <_ZN10tensorflow12_GLOBAL__N_113ExecutorStateINS_21SimplePropagatorStateEE7ProcessERKNS2_10TaggedNodeEl+0xa09>;
0x62d79e8;:0;XOR	%EBX,%EBX;
0x62d79ea;:0;TESTB	$0x1,-0x410(%RBP);
0x62d79f1;:0;LEA	-0x408(%RBP),%RAX;
0x62d79f8;:0;JE	62d7a01 <_ZN10tensorflow12_GLOBAL__N_113ExecutorStateINS_21SimplePropagatorStateEE7ProcessERKNS2_10TaggedNodeEl+0x861>;
0x62d79fa;:0;MOV	-0x408(%RBP),%RAX;
0x62d7a01;:0;MOV	0x24(%R13),%RCX;
0x62d7a05;:0;MOV	%RCX,(%RAX,%R15,8);
0x62d7a09;:0;TESTB	$0x1,(%RDX);
0x62d7a0c;:0;MOV	-0x650(%RBP),%R14;
0x62d7a13;:0;JE	62d7a19 <_ZN10tensorflow12_GLOBAL__N_113ExecutorStateINS_21SimplePropagatorStateEE7ProcessERKNS2_10TaggedNodeEl+0x879>;
0x62d7a15;:0;MOV	0x8(%RDX),%R14;
0x62d7a19;:0;MOV	0x20(%R13),%EAX;
0x62d7a1d;:0;CMP	$0x3,%RAX;
0x62d7a21;:0;JA	62d79c5 <_ZN10tensorflow12_GLOBAL__N_113ExecutorStateINS_21SimplePropagatorStateEE7ProcessERKNS2_10TaggedNodeEl+0x825>;
0x62d7ba9;:0;MOVSXD	0x24(%R8),%RAX;
0x62d7bad;:0;MOVSXD	0x28(%R8),%RCX;
0x62d7bb1;:0;SAL	$0x2,%RCX;
0x62d7bb5;:0;MOVSXD	0x1c(%R8),%RDX;
0x62d7bb9;:0;ADD	%RAX,%RDX;
0x62d7bbc;:0;LEA	(%RDX,%RDX,2),%RAX;
0x62d7bc0;:0;MOV	-0x5a8(%RBP),%RDX;
0x62d7bc7;:0;LEA	(%RCX,%RAX,4),%RAX;
0x62d7bcb;:0;ADD	-0x648(%RBP),%RAX;
0x62d7bd2;:0;CMPB	$0x65,(%R15,%RAX,1);
0x62d7bd7;:0;SETAE	%BL;
0x62d7bda;:0;JMP	62d79ea <_ZN10tensorflow12_GLOBAL__N_113ExecutorStateINS_21SimplePropagatorStateEE7ProcessERKNS2_10TaggedNodeEl+0x84a>;
