loop_id;module;function_name;function_id;source_info;level;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;flops;
1576;python3.12;PyCode_Addr2Line;5258;codeobject.c:456-459,codeobject.c:471-472,codeobject.c:482-485,codeobject.c:494-494,codeobject.c:857-857,codeobject.c:873-873,codeobject.c:887-887,codeobject.c:961-963,codeobject.c:968-972,codeobject.c:1071-1071;InBetween;1.03;0.22;;;;;;;;
1568;python3.12;PyTraceBack_Here;5254;codeobject.c:456-459,codeobject.c:471-472,codeobject.c:482-485,codeobject.c:494-494,codeobject.c:857-857,codeobject.c:873-873,codeobject.c:887-887,codeobject.c:961-963,codeobject.c:968-972,codeobject.c:1071-1071;Outermost;0.76;0.16;;;;;;;;
940;python3.12;_Py_dict_lookup;4867;unicodeobject.h:250-250,dictobject.c:1059-1062;Innermost;0.67;0.14;;;;;;;;
934;python3.12;_Py_dict_lookup;4867;unicodeobject.h:219-219,unicodeobject.h:247-250,unicodeobject.h:262-262,unicodeobject.h:280-280,dictobject.c:344-344,dictobject.c:348-350,dictobject.c:353-353,dictobject.c:360-360,dictobject.c:932-933,dictobject.c:937-938,dictobject.c:942-942,dictobject.c:945-946,dictobject.c:949-949,dictobject.c:954-954,dictobject.c:958-958,dictobject.c:961-962,eq.h:9-16;Outermost;0.64;0.13;;;;;;;;
1405;python3.12;_PyEvalFrameClearAndPop;5126;object.c:2611-2611,object.c:2625-2625,frame.c:139-140,object.h:243-243,object.h:701-705,object.h:798-798;Single;0.55;0.12;;;;;;;;
1330;python3.12;deduce_unreachable;5069;pycore_pystate.h:118-118,pycore_gc.h:60-68,pycore_gc.h:74-74,object.h:243-243,gcmodule.c:107-107,gcmodule.c:289-292,gcmodule.c:424-424,gcmodule.c:430-433;Single;0.5;0.11;;;;;;;;
1320;python3.12;gc_collect_main;5067;pycore_gc.h:60-60,gcmodule.c:322-323;Innermost;0.45;0.09;;;;;;;;
1603;python3.12;_Py_type_getattro;5278;pycore_pystate.h:118-118,object.c:2611-2611,object.c:2625-2625,typeobject.c:891-913,typeobject.c:4725-4733,typeobject.c:4741-4743,typeobject.c:4758-4766,typeobject.c:4815-4829,typeobject.c:4839-4849,typeobject.c:4860-4862,typeobject.c:4869-4869,typeobject.c:4875-4875,typeobject.c:4882-4882,typeobject.c:4890-4891,pycore_object.h:150-150,object.h:220-220,object.h:243-243,object.h:644-647,object.h:701-705,object.h:798-798;Single;0.43;0.09;;;;;;;;
1325;python3.12;gc_collect_main;5067;typeobject.c:5307-5307,tupleobject.c:136-136,tupleobject.c:140-141,tupleobject.c:145-145,pycore_gc.h:40-40,pycore_gc.h:59-60,pycore_gc.h:63-63,pycore_gc.h:68-68,pycore_gc.h:74-74,pycore_object.h:248-249,pycore_object.h:331-332,object.h:220-220,object.h:234-234,gcmodule.c:648-648,gcmodule.c:651-651;Outermost;0.41;0.08;;;;;;;;
936;python3.12;_Py_dict_lookup;4867;dictobject.c:934-937;Innermost;0.38;0.08;;;;;;;;
1926;python3.12;tuplehash;5420;object.c:894-895,tupleobject.c:325-332,object.h:220-220;Single;0.31;0.07;;;;;;;;
942;python3.12;_Py_dict_lookup;4867;object.c:871-875,dictobject.c:979-981,dictobject.c:984-984,dictobject.c:989-989,dictobject.c:992-993,object.h:243-243,object.h:644-644,object.h:647-647,object.h:701-701,object.h:705-706;InBetween;0.29;0.06;;;;;;;;
4211;libtensorflow_framework.so.2;std::vector<tensorflow::DtypeAndPartialTensorShape, std::allocator<tensorflow::DtypeAndPartialTensorShape> >::operator=(std::vector<tensorflow::DtypeAndPartialTensorShape, std::allocator<tensorflow::DtypeAndPartialTensorShape> > const&);3507;;Single;0.29;0.06;;;;;;;;
935;python3.12;_Py_dict_lookup;4867;dictobject.c:344-346,dictobject.c:933-933,dictobject.c:942-953,dictobject.c:961-962;Innermost;0.26;0.05;;;;;;;;
1323;python3.12;gc_collect_main;5067;pycore_gc.h:59-60,gcmodule.c:663-666;Innermost;0.24;0.05;;;;;;;;
