loop_id;module;function_name;function_id;source_info;level;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;flops;
1116;python3.9;lookdict_unicode;4273;eq.h:17-21,dictobject.c:344-353,dictobject.c:360-360,dictobject.c:849-857,dictobject.c:863-864;Innermost;0.49;0.11;;;;;;;;
801;python3.9;lookdict_unicode_nodummy;4115;dictobject.c:344-346,dictobject.c:893-906;Innermost;0.42;0.09;;;;;;;;
837;python3.9;_PyDict_GetItemIdWithError;4134;unicodeobject.c:2306-2316,object.h:628-628,dictobject.c:880-882,dictobject.c:885-888,dictobject.c:902-902,dictobject.c:1439-1439,dictobject.c:1444-1445,dictobject.c:1448-1448,dictobject.c:1487-1489,dictobject.c:1492-1492;Outermost;0.42;0.09;;;;;;;;
947;python3.9;find_name_in_mro;4197;pycore_pystate.h:55-55,object.h:628-628,typeobject.c:3223-3223,typeobject.c:3226-3226,typeobject.c:3229-3231,dictobject.c:880-882,dictobject.c:885-888,dictobject.c:902-902,dictobject.c:1439-1439,dictobject.c:1444-1445,dictobject.c:1448-1448;Outermost;0.33;0.07;;;;;;;;
906;python3.9;deduce_unreachable;4172;gcmodule.c:108-108,gcmodule.c:413-413;Single;0.29;0.06;;;;;;;;
1175;python3.9;function_code_fastcall;4304;object.c:1824-1824,object.c:2205-2205,object.c:2209-2209,call.c:326-328,call.c:332-334,call.c:337-339,call.c:342-342,object.h:133-133,object.h:408-408,object.h:422-422,object.h:487-487,frameobject.c:805-806,frameobject.c:816-824,frameobject.c:894-897,frameobject.c:900-902,frameobject.c:905-905,frameobject.c:917-917,frameobject.c:920-926,pycore_ceval.h:40-40;Outermost;0.29;0.06;;;;;;;;
902;python3.9;collect;4171;tupleobject.c:179-179,tupleobject.c:182-184,tupleobject.c:188-189,gcmodule.c:626-629,gcmodule.c:1209-1209,object.h:128-128,typeobject.c:3764-3764,pycore_object.h:74-79,pycore_object.h:112-114;Outermost;0.26;0.06;;;;;;;;
948;python3.9;find_name_in_mro;4197;eq.h:17-24,dictobject.c:344-353,dictobject.c:360-360,dictobject.c:890-906;Innermost;0.24;0.05;;;;;;;;
929;python3.9;dict_traverse;4178;gcmodule.c:81-81,gcmodule.c:117-117,gcmodule.c:449-449,typeobject.c:3764-3764,pycore_object.h:112-114,dictobject.c:3142-3148;Single;0.22;0.05;;;;;;;;
896;python3.9;collect;4171;gcmodule.c:313-314;Single;0.2;0.04;;;;;;;;
