block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;flops;
191787;libtensorflow_framework.so.2;;0.92;0.19;0.4;0.4;0.4;0;0;1;;
128645;libpython3.12.so.1.0;ceval.c:738-738,ceval.c:762-762,bytecodes.c:169-169,pycore_frame.h:153-154;0.49;0.1;0.21;0.21;0.21;0;0;1;;
131094;libpython3.12.so.1.0;object.h:644-644;0.45;0.09;0.19;0.19;0.19;0;0;1;;
1139047;libtensorflow_framework.so.2;;0.38;0.08;0;0.02;0.11;4.5952925682068;0.034645024687052;10;;
75183;libpython3.12.so.1.0;typeobject.c:4728-4728;0.37;0.08;0.16;0.16;0.16;0;0;1;;
353663;libtensorflow_framework.so.2;;0.35;0.07;0;0.05;0.11;0.22500392794609;0.050332233309746;3;;
66623;libpython3.12.so.1.0;obmalloc.c:1540-1544;0.35;0.07;0.15;0.15;0.15;0;0;1;;
1280821;libtensorflow_framework.so.2;;0.34;0.07;0;0.05;0.12;0.32433959841728;0.065383478999138;3;;
33913;libpython3.12.so.1.0;codeobject.c:873-873,codeobject.c:887-887,codeobject.c:961-969;0.33;0.07;0.14;0.14;0.14;0;0;1;;
66621;libpython3.12.so.1.0;obmalloc.c:1531-1535;0.32;0.07;0.14;0.14;0.14;0;0;1;;
244355;libtensorflow_framework.so.2;;0.31;0.06;0.13;0.13;0.13;0;0;1;;
130002;libpython3.12.so.1.0;bytecodes.c:192-192,generated_cases.c.h:83-83,object.h:644-644;0.31;0.06;0.13;0.13;0.13;0;0;1;;
1139048;libtensorflow_framework.so.2;;0.3;0.06;0;0.01;0.08;4.1374430656433;0.026509955525398;9;;
129181;libpython3.12.so.1.0;pycore_frame.h:246-246;0.29;0.06;0.12;0.12;0.12;0;0;1;;
130189;libpython3.12.so.1.0;bytecodes.c:1829-1830,pycore_dict.h:135-135;0.29;0.06;0.12;0.12;0.12;0;0;1;;
131093;libpython3.12.so.1.0;bytecodes.c:1363-1364,pycore_dict.h:135-135;0.29;0.06;0.12;0.12;0.12;0;0;1;;
65088;libpython3.12.so.1.0;object.h:220-220,object.c:1033-1035;0.26;0.06;0.11;0.11;0.11;0;0;1;;
165933;libtensorflow_framework.so.2;;0.26;0.06;0;0.06;0.11;0.10791443288326;0.0742462053895;2;;
1139046;libtensorflow_framework.so.2;;0.25;0.05;0;0.01;0.06;4.1749749183655;0.016583122313023;11;;
130243;libpython3.12.so.1.0;bytecodes.c:1905-1905,pycore_frame.h:246-247;0.24;0.05;0.1;0.1;0.1;0;0;1;;
1280808;libtensorflow_framework.so.2;;0.23;0.05;0;0.01;0.05;9.2546014785767;0.018803495913744;7;;
130006;libpython3.12.so.1.0;bytecodes.c:204-204,generated_cases.c.h:107-107,object.h:644-644;0.22;0.05;0.09;0.09;0.09;0;0;1;;
162100;libtensorflow_framework.so.2;;0.22;0.05;0.09;0.09;0.09;0;0;1;;
33917;libpython3.12.so.1.0;codeobject.c:971-972;0.21;0.04;0.09;0.09;0.09;0;0;1;;
33919;libpython3.12.so.1.0;codeobject.c:972-972;0.21;0.04;0.09;0.09;0.09;0;0;1;;
70877;libpython3.12.so.1.0;tupleobject.c:1148-1149,tupleobject.c:1157-1157;0.21;0.04;0.09;0.09;0.09;0;0;1;;
176598;libpython3.12.so.1.0;gcmodule.c:430-430,pycore_gc.h:59-60,pycore_gc.h:68-68,object.h:243-243;0.19;0.04;0.08;0.08;0.08;0;0;1;;
1280954;libtensorflow_framework.so.2;;0.18;0.04;0;0.01;0.03;6.8717494010925;0.0082073817029595;9;;
176421;libpython3.12.so.1.0;pycore_object.h:331-331,object.h:220-220;0.18;0.04;0.08;0.08;0.08;0;0;1;;
130190;libpython3.12.so.1.0;object.h:644-644;0.18;0.04;0.08;0.08;0.08;0;0;1;;
130003;libpython3.12.so.1.0;bytecodes.c:169-169,generated_cases.c.h:83-83,generated_cases.c.h:90-92;0.18;0.04;0.08;0.08;0.08;0;0;1;;
130219;libpython3.12.so.1.0;object.h:644-644;0.17;0.04;0.07;0.07;0.07;0;0;1;;
176849;libpython3.12.so.1.0;gcmodule.c:322-323,pycore_gc.h:60-60;0.17;0.04;0.07;0.07;0.07;0;0;1;;
1280965;libtensorflow_framework.so.2;;0.16;0.03;0;0.04;0.06;0.21703048050404;0.042426407337189;2;;
176431;libpython3.12.so.1.0;pycore_object.h:331-331,object.h:220-220;0.15;0.03;0.06;0.06;0.06;0;0;1;;
245039;libtensorflow_framework.so.2;;0.15;0.03;0;0.03;0.06;0.2760326564312;0.03889087215066;2;;
353616;libtensorflow_framework.so.2;;0.15;0.03;0.02;0.03;0.04;0.044555224478245;0.010606603696942;2;;
130009;libpython3.12.so.1.0;bytecodes.c:677-677,generated_cases.c.h:970-970,object.h:644-644;0.15;0.03;0.06;0.06;0.06;0;0;1;;
129567;libpython3.12.so.1.0;bytecodes.c:1760-1760;0.15;0.03;0.06;0.06;0.06;0;0;1;;
244520;libtensorflow_framework.so.2;;0.15;0.03;0.06;0.06;0.06;0;0;1;;
56549;libpython3.12.so.1.0;dictobject.c:1060-1062;0.14;0.03;0.06;0.06;0.06;0;0;1;;
143775;libpython3.12.so.1.0;object.h:243-243,object.h:701-701;0.14;0.03;0.06;0.06;0.06;0;0;1;;
33937;libpython3.12.so.1.0;codeobject.c:828-828,codeobject.c:834-839,codeobject.c:846-846,bytesobject.h:37-37;0.14;0.03;0.06;0.06;0.06;0;0;1;;
31457;libpython3.12.so.1.0;pycore_pystate.h:82-82,call.c:418-418;0.14;0.03;0.06;0.06;0.06;0;0;1;;
129180;libpython3.12.so.1.0;bytecodes.c:2770-2771;0.13;0.03;0.05;0.05;0.05;0;0;1;;
74126;libpython3.12.so.1.0;typeobject.c:2130-2130,object.h:234-234;0.13;0.03;0.05;0.05;0.05;0;0;1;;
66335;libpython3.12.so.1.0;obmalloc.c:1604-1611,obmalloc.c:1821-1821;0.13;0.03;0.05;0.05;0.05;0;0;1;;
56904;libpython3.12.so.1.0;dictobject.c:1728-1733,object.h:967-967;0.13;0.03;0.05;0.05;0.05;0;0;1;;
1493712;libtensorflow_framework.so.2;basic_string.tcc:254-254,basic_string.h:187-187,basic_string.h:203-203,basic_string.h:937-937,basic_string.h:995-995;0.11;0.02;0.05;0.05;0.05;0;0;1;;
130747;libpython3.12.so.1.0;bytecodes.c:1377-1377;0.11;0.02;0.05;0.05;0.05;0;0;1;;
130187;libpython3.12.so.1.0;bytecodes.c:1825-1825;0.11;0.02;0.05;0.05;0.05;0;0;1;;
71284;libpython3.12.so.1.0;tupleobject.c:1181-1181,object.h:220-220;0.11;0.02;0.05;0.05;0.05;0;0;1;;
520;libtensorflow_framework.so.2;;0.11;0.02;0.05;0.05;0.05;0;0;1;;
177141;libpython3.12.so.1.0;pycore_object.h:150-150,pycore_object.h:341-342,gcmodule.c:2380-2383,pycore_gc.h:30-30;0.1;0.02;0.04;0.04;0.04;0;0;1;;
248071;libtensorflow_framework.so.2;;0.1;0.02;0.04;0.04;0.04;0;0;1;;
130749;libpython3.12.so.1.0;object.h:644-644;0.1;0.02;0.04;0.04;0.04;0;0;1;;
130242;libpython3.12.so.1.0;pycore_frame.h:246-246;0.1;0.02;0.04;0.04;0.04;0;0;1;;
75181;libpython3.12.so.1.0;typeobject.c:4725-4728,pycore_pystate.h:118-118;0.1;0.02;0.04;0.04;0.04;0;0;1;;
66331;libpython3.12.so.1.0;obmalloc.c:1028-1029;0.1;0.02;0.04;0.04;0.04;0;0;1;;
65367;libpython3.12.so.1.0;object.h:644-644;0.1;0.02;0.04;0.04;0.04;0;0;1;;
100;libpython3.12.so.1.0;dictobject.c:346-346,dictobject.c:945-949;0.1;0.02;0.04;0.04;0.04;0;0;1;;
176619;libpython3.12.so.1.0;gcmodule.c:651-651,pycore_gc.h:60-60;0.1;0.02;0.04;0.04;0.04;0;0;1;;
130748;libpython3.12.so.1.0;bytecodes.c:1380-1381,pycore_dict.h:135-135;0.1;0.02;0.04;0.04;0.04;0;0;1;;
129557;libpython3.12.so.1.0;bytecodes.c:2566-2566;0.1;0.02;0.04;0.04;0.04;0;0;1;;
130630;libpython3.12.so.1.0;generated_cases.c.h:252-256,object.h:243-243;0.09;0.02;0.04;0.04;0.04;0;0;1;;
244358;libtensorflow_framework.so.2;;0.09;0.02;0.04;0.04;0.04;0;0;1;;
207470;libtensorflow_framework.so.2;;0.09;0.02;0;0.01;0.02;13.060959815979;0.007071066647768;4;;
177144;libpython3.12.so.1.0;gcmodule.c:2394-2394,pycore_pystate.h:118-118;0.09;0.02;0.04;0.04;0.04;0;0;1;;
130625;libpython3.12.so.1.0;bytecodes.c:192-192,generated_cases.c.h:128-128,object.h:644-644;0.09;0.02;0.04;0.04;0.04;0;0;1;;
129543;libpython3.12.so.1.0;bytecodes.c:169-169,generated_cases.c.h:3062-3063;0.09;0.02;0.04;0.04;0.04;0;0;1;;
129560;libpython3.12.so.1.0;object.h:644-644;0.09;0.02;0.04;0.04;0.04;0;0;1;;
130613;libpython3.12.so.1.0;bytecodes.c:204-204,generated_cases.c.h:168-168,object.h:644-644;0.09;0.02;0.04;0.04;0.04;0;0;1;;
130199;libpython3.12.so.1.0;bytecodes.c:1013-1013,bytecodes.c:1307-1307,bytecodes.c:1840-1840,pycore_code.h:313-313,generated_cases.c.h:2538-2539,object.h:220-220;0.09;0.02;0.04;0.04;0.04;0;0;1;;
130239;libpython3.12.so.1.0;bytecodes.c:1896-1896,pycore_code.h:320-320,pycore_code.h:336-336,generated_cases.c.h:2632-2633;0.09;0.02;0.04;0.04;0.04;0;0;1;;
64479;libpython3.12.so.1.0;object.h:220-220,object.c:892-894;0.09;0.02;0.04;0.04;0.04;0;0;1;;
47;libpython3.12.so.1.0;dictobject.c:933-933;0.09;0.02;0.04;0.04;0.04;0;0;1;;
177043;libpython3.12.so.1.0;pycore_object.h:248-249,pycore_gc.h:63-68,pycore_gc.h:74-74;0.08;0.02;0.04;0.04;0.04;0;0;1;;
177041;libpython3.12.so.1.0;gcmodule.c:2241-2241,pycore_gc.h:30-30;0.08;0.02;0.04;0.04;0.04;0;0;1;;
129987;libpython3.12.so.1.0;bytecodes.c:643-643,generated_cases.c.h:930-931,pycore_frame.h:161-161;0.08;0.02;0.04;0.04;0.04;0;0;1;;
130581;libpython3.12.so.1.0;bytecodes.c:1358-1358,pycore_code.h:313-313,generated_cases.c.h:1834-1834;0.08;0.02;0.04;0.04;0.04;0;0;1;;
75180;libpython3.12.so.1.0;typeobject.c:4720-4720,pycore_pystate.h:118-118;0.08;0.02;0.04;0.04;0.04;0;0;1;;
66334;libpython3.12.so.1.0;obmalloc.c:1808-1813;0.08;0.02;0.04;0.04;0.04;0;0;1;;
245058;libtensorflow_framework.so.2;;0.08;0.02;0.03;0.03;0.03;0;0;1;;
