address;source_location;insn;indent
0x73b8968;:0;PUSH	%RBP;
0x73b8969;:0;MOV	%RSP,%RBP;
0x73b896c;:0;PUSH	%R15;
0x73b896e;:0;PUSH	%R14;
0x73b8970;:0;PUSH	%R13;
0x73b8972;:0;PUSH	%R12;
0x73b8974;:0;PUSH	%RBX;
0x73b8975;:0;SUB	$0x38,%RSP;
0x73b8979;:0;MOV	%RSI,%R14;
0x73b897c;:0;MOV	%RDI,%RBX;
0x73b897f;:0;MOV	(%RDI),%R15;
0x73b8982;:0;CALL	768a510 <_ZNK4absl12lts_202308025Mutex16AssertReaderHeldEv@plt>;
0x73b8987;:0;LEA	-0x6a21f04(%RIP),%RSI;
0x73b898e;:0;MOV	%R15,%RDI;
0x73b8991;:0;CALL	73b9ac0 <_ZN4absl12lts_20230802L23CheckForMutexCorruptionElPKc>;
0x73b8996;:0;TEST	$0x10,%R15B;
0x73b899a;:0;JE	73b89b1 <_ZN4absl12lts_202308025Mutex10UnlockSlowEPNS0_15SynchWaitParamsE+0x49>;
0x73b899c;:0;AND	$0x8,%R15D;
0x73b89a0;:0;XOR	%ESI,%ESI;
0x73b89a2;:0;CMP	$0x1,%R15;
0x73b89a6;:0;ADC	$0x8,%ESI;
0x73b89a9;:0;MOV	%RBX,%RDI;
0x73b89ac;:0;CALL	73b9620 <_ZN4absl12lts_20230802L14PostSynchEventEPvi>;
0x73b89b1;:0;MOVQ	$0x1,-0x50(%RBP);
0x73b89b9;:0;TEST	%R14,%R14;
0x73b89bc;:0;JE	73b89d3 <_ZN4absl12lts_202308025Mutex10UnlockSlowEPNS0_15SynchWaitParamsE+0x6b>;
0x73b89be;:0;MOV	0x20(%R14),%RAX;
0x73b89c2;:0;CMPQ	$0,0x20(%RAX);
0x73b89c7;:0;JE	73b89d3 <_ZN4absl12lts_202308025Mutex10UnlockSlowEPNS0_15SynchWaitParamsE+0x6b>;
0x73b89c9;:0;CMPB	$0,0x14(%RAX);
0x73b89cd;:0;JE	73b9070 <_ZN4absl12lts_202308025Mutex10UnlockSlowEPNS0_15SynchWaitParamsE+0x708>;
0x73b89d3;:0;XOR	%R13D,%R13D;
0x73b89d6;:0;XOR	%EAX,%EAX;
0x73b89d8;:0;MOV	%RAX,-0x60(%RBP);
0x73b89dc;:0;XOR	%EAX,%EAX;
0x73b89de;:0;MOV	%RAX,-0x30(%RBP);
0x73b89e2;:0;XOR	%EAX,%EAX;
0x73b89e4;:0;MOV	%RAX,-0x48(%RBP);
0x73b89e8;:0;XOR	%EAX,%EAX;
0x73b89ea;:0;MOV	%RAX,-0x38(%RBP);
0x73b89ee;:0;XOR	%R15D,%R15D;
0x73b89f1;:0;MOV	(%RBX),%R12;(43819) 
0x73b89f4;:0;TEST	$0x8,%R12B;(43819) 
0x73b89f8;:0;JNE	73b8a21 <_ZN4absl12lts_202308025Mutex10UnlockSlowEPNS0_15SynchWaitParamsE+0xb9>;(43819) 
0x73b89fa;:0;TEST	%R14,%R14;(43819) 
0x73b89fd;:0;JNE	73b8a47 <_ZN4absl12lts_202308025Mutex10UnlockSlowEPNS0_15SynchWaitParamsE+0xdf>;(43819) 
0x73b89ff;:0;MOV	%R12D,%EAX;(43819) 
0x73b8a02;:0;AND	$0x5,%EAX;(43819) 
0x73b8a05;:0;CMP	$0x1,%EAX;(43819) 
0x73b8a08;:0;JNE	73b8a47 <_ZN4absl12lts_202308025Mutex10UnlockSlowEPNS0_15SynchWaitParamsE+0xdf>;(43819) 
0x73b8a0a;:0;CMP	$0x200,%R12;(43819) 
0x73b8a11;:0;MOV	%R12,%RCX;(43819) 
0x73b8a14;:0;SBB	$0,%RCX;(43819) 
0x73b8a18;:0;ADD	$-0x100,%RCX;(43819) 
0x73b8a1f;:0;JMP	73b8a38 <_ZN4absl12lts_202308025Mutex10UnlockSlowEPNS0_15SynchWaitParamsE+0xd0>;(43819) 
0x73b8a21;:0;TEST	%R14,%R14;(43819) 
0x73b8a24;:0;JNE	73b89fa <_ZN4absl12lts_202308025Mutex10UnlockSlowEPNS0_15SynchWaitParamsE+0x92>;(43819) 
0x73b8a26;:0;MOV	%R12D,%EAX;(43819) 
0x73b8a29;:0;AND	$0x6,%EAX;(43819) 
0x73b8a2c;:0;CMP	$0x4,%EAX;(43819) 
0x73b8a2f;:0;JE	73b89fa <_ZN4absl12lts_202308025Mutex10UnlockSlowEPNS0_15SynchWaitParamsE+0x92>;(43819) 
0x73b8a31;:0;MOV	%R12,%RCX;(43819) 
0x73b8a34;:0;AND	$-0x29,%RCX;(43819) 
0x73b8a38;:0;MOV	%R12,%RAX;(43819) 
0x73b8a3b;:0;LOCK CMPXCHG	%RCX,(%RBX);(43819) 
0x73b8a40;:0;JNE	73b8a5e <_ZN4absl12lts_202308025Mutex10UnlockSlowEPNS0_15SynchWaitParamsE+0xf6>;(43819) 
0x73b8a42;:0;JMP	73b8fe4 <_ZN4absl12lts_202308025Mutex10UnlockSlowEPNS0_15SynchWaitParamsE+0x67c>;
0x73b8a47;:0;TEST	$0x40,%R12B;(43819) 
0x73b8a4b;:0;JNE	73b8a5e <_ZN4absl12lts_202308025Mutex10UnlockSlowEPNS0_15SynchWaitParamsE+0xf6>;(43819) 
0x73b8a4d;:0;MOV	%R12,%RCX;(43819) 
0x73b8a50;:0;OR	$0x40,%RCX;(43819) 
0x73b8a54;:0;MOV	%R12,%RAX;(43819) 
0x73b8a57;:0;LOCK CMPXCHG	%RCX,(%RBX);(43819) 
0x73b8a5c;:0;JE	73b8a6d <_ZN4absl12lts_202308025Mutex10UnlockSlowEPNS0_15SynchWaitParamsE+0x105>;(43819) 
0x73b8a5e;:0;MOV	%R15D,%EDI;(43819) 
0x73b8a61;:0;XOR	%ESI,%ESI;(43819) 
0x73b8a63;:0;CALL	768fbf0 <_ZN4absl12lts_2023080224synchronization_internal10MutexDelayEii@plt>;(43819) 
0x73b8a68;:0;MOV	%EAX,%R15D;(43819) 
0x73b8a6b;:0;JMP	73b89f1 <_ZN4absl12lts_202308025Mutex10UnlockSlowEPNS0_15SynchWaitParamsE+0x89>;(43819) 
0x73b8a6d;:0;TEST	$0x4,%R12B;(43819) 
0x73b8a71;:0;JE	73b8d03 <_ZN4absl12lts_202308025Mutex10UnlockSlowEPNS0_15SynchWaitParamsE+0x39b>;(43819) 
0x73b8a77;:0;MOV	%R12,%R8;(43819) 
0x73b8a7a;:0;AND	$-0x100,%R8;(43819) 
0x73b8a81;:0;TEST	$0x1,%R12B;(43819) 
0x73b8a85;:0;JE	73b8aa2 <_ZN4absl12lts_202308025Mutex10UnlockSlowEPNS0_15SynchWaitParamsE+0x13a>;(43819) 
0x73b8a87;:0;MOV	0x28(%R8),%RAX;(43819) 
0x73b8a8b;:0;MOV	%RAX,%RCX;(43819) 
0x73b8a8e;:0;AND	$-0x100,%RCX;(43819) 
0x73b8a95;:0;CMP	$0x101,%RCX;(43819) 
0x73b8a9c;:0;JGE	73b8ef4 <_ZN4absl12lts_202308025Mutex10UnlockSlowEPNS0_15SynchWaitParamsE+0x58c>;(43819) 
0x73b8aa2;:0;CMPQ	$0,-0x30(%RBP);(43819) 
