block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;flops;
129865;libpython3.12.so.1.0;bytecodes.c:457-457,object.h:644-644;32.58;18.38;;;;;;;;
129866;libpython3.12.so.1.0;bytecodes.c:460-460,object.h:243-243;6.71;3.79;;;;;;;;
129871;libpython3.12.so.1.0;bytecodes.c:169-169,generated_cases.c.h:647-650;3.57;2.02;;;;;;;;
129743;libpython3.12.so.1.0;bytecodes.c:307-309,object.h:211-211,object.h:243-243;2.38;1.34;;;;;;;;
66623;libpython3.12.so.1.0;obmalloc.c:1540-1544;1.95;1.1;;;;;;;;
129869;libpython3.12.so.1.0;bytecodes.c:460-460;1.88;1.06;;;;;;;;
176421;libpython3.12.so.1.0;pycore_object.h:331-331,object.h:220-220;1.82;1.03;;;;;;;;
129861;libpython3.12.so.1.0;bytecodes.c:449-449,generated_cases.c.h:628-630;1.79;1.01;;;;;;;;
130003;libpython3.12.so.1.0;bytecodes.c:169-169,generated_cases.c.h:83-83,generated_cases.c.h:90-92;1.78;1;;;;;;;;
176431;libpython3.12.so.1.0;pycore_object.h:331-331,object.h:220-220;1.73;0.98;;;;;;;;
66621;libpython3.12.so.1.0;obmalloc.c:1531-1535;1.59;0.9;;;;;;;;
129931;libpython3.12.so.1.0;bytecodes.c:568-571,listobject.h:44-44,object.h:243-243;1.23;0.69;;;;;;;;
129867;libpython3.12.so.1.0;object.h:647-647;1.13;0.64;;;;;;;;
130114;libpython3.12.so.1.0;bytecodes.c:169-169,generated_cases.c.h:4679-4687;1.11;0.63;;;;;;;;
43963;libpython3.12.so.1.0;floatobject.c:278-278,object.h:220-220;1.06;0.6;;;;;;;;
129868;libpython3.12.so.1.0;bytecodes.c:461-461,object.h:243-243;1.05;0.59;;;;;;;;
66333;libpython3.12.so.1.0;obmalloc.c:1126-1129;1.03;0.58;;;;;;;;
129872;libpython3.12.so.1.0;bytecodes.c:461-461;1;0.56;;;;;;;;
66331;libpython3.12.so.1.0;obmalloc.c:1028-1029;0.88;0.5;;;;;;;;
48449;libpython3.12.so.1.0;object.h:243-243,object.h:701-701;0.88;0.5;;;;;;;;
48069;libpython3.12.so.1.0;listobject.c:2705-2705;0.85;0.48;;;;;;;;
130628;libpython3.12.so.1.0;bytecodes.c:169-169,generated_cases.c.h:140-140,generated_cases.c.h:150-153;0.81;0.46;;;;;;;;
130002;libpython3.12.so.1.0;bytecodes.c:192-192,generated_cases.c.h:83-83,object.h:644-644;0.8;0.45;;;;;;;;
66327;libpython3.12.so.1.0;obmalloc.c:1017-1017,obmalloc.c:1795-1795;0.73;0.41;;;;;;;;
129009;libpython3.12.so.1.0;bytecodes.c:169-169,generated_cases.c.h:4634-4634,generated_cases.c.h:4641-4643;0.63;0.35;;;;;;;;
130626;libpython3.12.so.1.0;bytecodes.c:192-192,generated_cases.c.h:140-140,object.h:644-644;0.61;0.34;;;;;;;;
129008;libpython3.12.so.1.0;generated_cases.c.h:4634-4635,object.h:644-644;0.6;0.34;;;;;;;;
130619;libpython3.12.so.1.0;bytecodes.c:209-209,object.h:243-243;0.58;0.33;;;;;;;;
44279;libpython3.12.so.1.0;floatobject.c:136-137,pycore_pystate.h:118-118;0.57;0.32;;;;;;;;
129927;libpython3.12.so.1.0;bytecodes.c:558-558,generated_cases.c.h:795-798;0.55;0.31;;;;;;;;
129864;libpython3.12.so.1.0;bytecodes.c:454-455;0.54;0.3;;;;;;;;
130625;libpython3.12.so.1.0;bytecodes.c:192-192,generated_cases.c.h:128-128,object.h:644-644;0.52;0.29;;;;;;;;
43967;libpython3.12.so.1.0;floatobject.c:260-260,pycore_pystate.h:118-118;0.52;0.29;;;;;;;;
131284;libpython3.12.so.1.0;bytecodes.c:169-169,generated_cases.c.h:3421-3424;0.47;0.26;;;;;;;;
66325;libpython3.12.so.1.0;obmalloc.c:1844-1844,pycore_pystate.h:118-118;0.45;0.25;;;;;;;;
50307;libpython3.12.so.1.0;longobject.c:3283-3283;0.44;0.25;;;;;;;;
130623;libpython3.12.so.1.0;bytecodes.c:169-169,generated_cases.c.h:191-191,generated_cases.c.h:201-202;0.43;0.24;;;;;;;;
64578;libpython3.12.so.1.0;object.c:2193-2193,object.c:2205-2205;0.43;0.24;;;;;;;;
66332;libpython3.12.so.1.0;obmalloc.c:1124-1129;0.42;0.23;;;;;;;;
64580;libpython3.12.so.1.0;object.c:2197-2197,object.c:2210-2210;0.42;0.23;;;;;;;;
129750;libpython3.12.so.1.0;bytecodes.c:169-169,generated_cases.c.h:418-421;0.41;0.23;;;;;;;;
129532;libpython3.12.so.1.0;bytecodes.c:169-169,generated_cases.c.h:3039-3039;0.4;0.22;;;;;;;;
44281;libpython3.12.so.1.0;floatobject.c:142-143;0.4;0.22;;;;;;;;
129741;libpython3.12.so.1.0;bytecodes.c:304-304,generated_cases.c.h:406-408;0.39;0.22;;;;;;;;
66616;libpython3.12.so.1.0;obmalloc.c:859-859,pycore_pystate.h:27-27,pycore_pystate.h:118-118;0.38;0.21;;;;;;;;
51688;libpython3.12.so.1.0;pycore_object.h:167-167,longobject.c:215-216,pycore_long.h:222-222,object.h:274-274;0.38;0.21;;;;;;;;
129546;libpython3.12.so.1.0;bytecodes.c:2424-2427;0.37;0.21;;;;;;;;
129933;libpython3.12.so.1.0;bytecodes.c:571-571;0.35;0.2;;;;;;;;
44278;libpython3.12.so.1.0;floatobject.c:132-132,pycore_pystate.h:118-118;0.35;0.2;;;;;;;;
129903;libpython3.12.so.1.0;bytecodes.c:379-381,object.h:211-211,object.h:243-243;0.34;0.19;;;;;;;;
